TIPO_DE_ELECCIÓN:,PRESIDENTE Y VICEPRESIDENTE
25 junio 2023 20:54 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
24585,2314,9.4122,2311,9.4000,3,890962,476417,53.4722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,AZUL,VALOR UNIONISTA,CABAL,TODOS,VAMOS,PHG,PR,PIN,ELEFANTE,VICTORIA,SEMILLA,FCN-NACION,PPN,UR,URNG-MAIZ WINAQ,CREO,BIEN,VIVA,MI FAMILIA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,PRES-VOTAR,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
107,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
108,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
109,"Distrito Central",0,"Guatemala",1,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
110,"Distrito Central",0,"Guatemala",1,8,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
111,"Distrito Central",0,"Guatemala",1,8,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
112,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
113,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
114,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
115,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
116,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
117,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
118,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
119,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
120,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
121,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
122,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
123,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
124,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
125,"Distrito Central",0,"Guatemala",1,9,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
126,"Distrito Central",0,"Guatemala",1,9,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
127,"Distrito Central",0,"Guatemala",1,9,344,6,3,18,8,0,7,2,1,0,1,1,97,1,0,1,2,1,12,6,1,0,15,183,6,1,190,0,190,--,344,154,190,183,190,190,Algún campo sin dato,1,6dc72349491f9e9d68b887057038fb0ed9b3a1c37c8c5895944185e8c319345a,25/06/2023 20:47:08,ESCANER
128,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
129,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
130,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
131,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
132,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
133,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
134,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
135,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
136,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
137,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
138,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
139,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
140,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
141,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
142,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
143,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
144,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
145,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
146,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
147,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
148,"Distrito Central",0,"Guatemala",1,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
149,"Distrito Central",0,"Guatemala",1,11,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
