TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18190,13802,75.8768

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,UNE,CABAL,VIVA,SEMILLA,U R N G - MAIZ,UR,CAMBIO,VICTORIA,AZUL,MLP,VALOR,PODEMOS,WINAQ,TODOS,PPN,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10131,"Totonicapán",8,"San Andrés Xecul",4,1316,380,46,46,7,5,2,6,1,5,32,3,12,11,38,0,21,20,55,310,5,3,318,0,318,0,380,62,310,318,318,,1,892d9cfb9f52e925e25c4ba80b01b59e3bdb4b070ef452d14f8944524d43a0c5,26/06/2023 02:20:38,ESCANER
10132,"Totonicapán",8,"San Andrés Xecul",4,1316,266,44,37,3,8,7,5,0,3,13,2,3,5,15,0,14,7,42,208,3,0,211,0,211,0,266,55,208,211,211,,1,df9c07733ed2f4cb6cdb01e88b0cd2bbde169dd7ef0c56f7b27f053275e9fb58,25/06/2023 23:27:47,ESCANER
10133,"Totonicapán",8,"San Andrés Xecul",4,1316,265,37,29,6,5,3,6,2,2,19,4,4,4,11,0,11,6,46,195,1,0,196,0,196,0,265,69,195,196,196,,1,1cfb36ef7cbd14ab10e8e3d2d4db450c7a59613cffc3d1bccf515317c65b8bb7,26/06/2023 00:05:29,ESCANER
10134,"Totonicapán",8,"San Andrés Xecul",4,1317,380,37,35,8,3,4,1,2,1,0,1,5,2,5,0,24,1,176,305,16,11,332,0,332,0,380,48,305,332,332,,1,5a21e6a94246acd2bbfe211db8993c77e6371776eefe242cd9a1f7428a70ebc4,26/06/2023 00:40:11,ESCANER
10135,"Totonicapán",8,"San Andrés Xecul",4,1317,380,32,31,8,1,5,2,1,2,2,2,1,1,3,1,43,3,179,317,12,9,338,0,338,0,382,44,317,338,338,,1,a71d81db96b999f97064fabbc736103127c36e61a7ff422ae926873100287261,26/06/2023 00:48:46,ESCANER
10136,"Totonicapán",8,"San Andrés Xecul",4,1317,380,24,38,7,2,9,2,1,1,1,4,2,2,7,0,41,0,171,312,15,19,346,0,346,0,380,34,312,346,346,,1,af383e57b4c2d51f8fdd7891d645eae86d0611cc66ac761fbf56157af2a28ccd,26/06/2023 00:51:35,ESCANER
10137,"Totonicapán",8,"San Andrés Xecul",4,1317,380,27,42,9,12,4,2,0,2,1,6,1,2,6,2,29,0,169,314,16,9,339,0,339,0,380,41,314,339,339,,1,7501f7225c5b908a61dd232dba70a9da5e8754a4e81c896c559062625e2e1c94,26/06/2023 01:02:50,ESCANER
10138,"Totonicapán",8,"San Andrés Xecul",4,1317,380,32,24,6,1,8,0,2,1,1,3,0,3,4,0,30,2,167,284,7,5,296,0,296,0,380,84,284,296,296,,1,85bbae909078dfbdcdfc63734f61bba9bf1443e9450153d87a0e96d8b48d8171,26/06/2023 01:08:10,ESCANER
10139,"Totonicapán",8,"San Andrés Xecul",4,1318,380,35,23,9,2,8,6,0,1,3,2,5,2,4,0,38,0,149,287,11,3,301,0,301,0,380,79,287,301,301,,1,5ad42b82239df24c80fac40f285dbf8068a46055ad447e598a5f51821eada637,26/06/2023 00:11:52,ESCANER
10140,"Totonicapán",8,"San Andrés Xecul",4,1318,380,30,31,5,1,4,0,2,3,2,0,2,2,7,0,31,2,174,296,2,4,302,0,303,1,380,77,296,302,302,Sumas Asentadas sin cuadrar,1,b5bf1973a66f12a08eba6442d38901c7cac008825b8120211fe94f3f91605109,26/06/2023 00:00:41,ESCANER
10141,"Totonicapán",8,"San Andrés Xecul",4,1318,376,23,38,2,3,2,0,2,1,0,0,2,2,4,0,35,1,177,292,1,0,293,0,293,0,376,83,292,293,293,,1,3b2f49a6f33e7da30943607a5e75c07cf224681b73eb3f10627f4947b754355d,26/06/2023 00:04:47,ESCANER
10142,"Totonicapán",8,"San Andrés Xecul",4,1318,376,22,28,4,2,14,2,1,4,0,1,2,4,9,0,39,1,143,276,5,2,283,0,283,0,376,93,276,283,283,,1,41829c5b592ef7d32e3ba5242dc407d9defad25ff444b2bb4acfc209485d1663,26/06/2023 00:42:26,ESCANER
10143,"Totonicapán",8,"San Andrés Xecul",4,1319,524,9,38,6,4,3,2,3,8,2,0,2,5,13,0,2,11,10,118,5,2,125,0,125,0,536,411,118,125,125,,1,730460e45e49016ea2a598c46f3921a5b583992e38fcc9a05ef12afc5236dfc6,25/06/2023 21:49:30,ESCANER
