TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
77,77,100.0000,77,100.0000,0,29314,18036,61.5269

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,VAMOS,CABAL,PODEMOS,UNE,U R N G - MAIZ,TODOS,VALOR,PHG,P A N,AZUL,BIEN,CAMBIO,MLP,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12181,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,10,100,6,51,15,18,0,3,5,0,3,1,1,0,1,240,16,10,240,0,240,--,400,160,214,240,240,Sumas Asentadas sin cuadrar,1,5f4b1d5b28ce96df40129a7b8e299041e2e012671758e49a740919d53fa37313,26/06/2023 00:15:56,ESCANER
12182,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,4,96,1,62,18,26,3,4,2,1,1,0,0,1,2,221,24,8,253,0,253,--,400,147,221,253,253,Algún campo sin dato,1,47ef77603d366f7f6309295c11727d034dde48ef89401632ad7013744819dee5,25/06/2023 23:36:01,ESCANER
12183,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,7,110,3,53,19,21,0,1,3,0,1,0,0,1,1,220,7,3,230,0,230,--,400,170,220,230,230,Algún campo sin dato,1,12de939076daedbb5c287fe2a7b0c523ad3b096709036037ed5d62c75e54c0b5,25/06/2023 23:13:40,ESCANER
12184,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,400,9,121,3,57,8,11,2,0,3,0,1,2,0,3,1,221,3,1,225,0,225,--,400,175,221,225,225,Algún campo sin dato,1,5ad4991cf7886e40406f700563caa987fc3882454613fcc677df85da419542ac,26/06/2023 00:31:17,ESCANER
12185,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,262,5,59,1,37,11,14,0,0,2,0,1,1,0,0,0,131,3,0,134,128,262,--,262,128,131,134,262,Algún campo sin dato,1,d1a6f6e3ead9e02f00db805a86036367805143594d6bab774f17df536fad8d17,25/06/2023 22:27:42,ESCANER
12186,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1648,262,5,70,2,35,8,11,1,2,2,0,1,0,0,0,1,138,14,0,152,0,152,--,262,110,138,152,152,Algún campo sin dato,1,3931ff1d9c0a2ec0c1a49b2bafe78f2a8a9d29abc966713d3474cff808b20408,25/06/2023 23:21:12,ESCANER
12187,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,380,52,66,2,50,13,34,6,5,2,1,3,0,1,0,0,235,19,5,259,0,259,--,380,121,235,259,259,Algún campo sin dato,1,e1381992d1ca1a2fd9afed7bdc4617b98b5a10ed7aafddd99b116dd3474d0ac7,26/06/2023 00:59:16,ESCANER
12188,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,380,43,65,7,68,14,25,1,10,1,0,1,1,0,1,3,240,22,5,267,0,267,--,380,113,240,267,267,Algún campo sin dato,1,8034f8d7fdc43ee4b2ee98fe4249d3329bf4fa18e94400add86f37e72f0f8977,25/06/2023 23:48:58,ESCANER
12189,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,380,41,72,3,51,9,29,1,3,2,2,3,--,1,1,2,220,38,4,262,0,--,--,381,119,220,262,262,Algún campo sin dato,1,555497ebde8c8527fb94b87ed35aa7012ce8e62fb2f89079e1b70bf63a7302bb,26/06/2023 00:23:21,ESCANER
12190,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1649,380,56,63,4,69,17,23,1,2,1,1,2,0,1,0,1,241,19,9,269,0,269,--,269,111,241,269,269,Algún campo sin dato,1,862c61f2d65ac17eeab0d4e97714b7f8ee97a2e043afcade1e1d13636ca2e85f,26/06/2023 02:21:40,ESCANER
