TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
107,107,100.0000,107,100.0000,0,41073,23057,56.1366

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,AZUL,VAMOS,CABAL,VALOR,PODEMOS,UNE,UNIONISTA,P A N,VOS,VICTORIA,PPN,UR,ELEFANTE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6335,"Chimaltenango",3,"Tecpán Guatemala",6,671,270,9,1,37,8,20,23,0,10,1,1,11,2,0,2,0,125,3,0,128,0,128,--,270,142,125,128,128,Algún campo sin dato,1,74288e4b294f5f3f5cd8c30df549778d2f4736d3dbbb312a6f97b3a3d028e02d,25/06/2023 22:45:59,ESCANER
6336,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,20,5,44,26,3,25,19,2,1,1,5,2,1,3,0,157,15,6,178,0,178,--,380,202,157,178,178,Algún campo sin dato,1,7e60f4dc62dadcd6f2299a3df06899d67b4d25212a42f994a6b65237f89c436f,26/06/2023 01:37:41,ESCANER
6337,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,6,5,36,23,1,31,18,1,4,1,10,3,0,2,1,142,22,2,166,0,166,--,380,214,142,166,166,Algún campo sin dato,1,62becc6f462e50bd77aa8a8e70b27442f98c16a9a38357a858fc8753347a9e96,26/06/2023 01:39:06,ESCANER
6338,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,22,0,41,15,8,22,16,4,1,2,20,0,2,3,1,157,21,6,184,0,184,--,380,196,157,184,184,Algún campo sin dato,1,50bff7617469e8e45531028f0ae0d4b6769e2dbeb58c5454825d5d74121d8b84,26/06/2023 01:25:10,ESCANER
6339,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,12,2,29,8,3,24,43,1,0,0,11,1,1,9,0,144,15,9,168,0,168,--,380,212,144,168,168,Algún campo sin dato,1,3ab8520e1e1b0cd623eea2de97d1f10758b904119941623a40049c642810e44f,26/06/2023 00:29:37,ESCANER
6340,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,23,0,33,3,8,64,37,1,1,1,11,6,1,8,5,202,16,6,224,0,224,--,377,153,202,224,224,Algún campo sin dato,1,1ccc9c835320c8bc40a32a4a67fe5b6bacc8bfff14b4a47b07720980bcc8742f,26/06/2023 01:47:09,ESCANER
6341,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,15,2,49,9,22,36,21,1,1,0,12,4,2,7,2,183,14,8,205,0,205,--,380,175,183,205,205,Algún campo sin dato,1,2f38f19fffd95287d1f72613278ae9d4a674566e6b235c0ddeb90505f8501ef3,26/06/2023 01:42:02,ESCANER
6342,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,11,1,53,38,43,18,13,7,2,1,3,4,0,1,1,196,10,8,214,0,214,--,380,166,196,214,214,Algún campo sin dato,1,404773b3cd05818e2e0fdc0cc454d6854344bb885ec4cd80e5dda81d8aac5fd5,26/06/2023 00:41:40,ESCANER
6343,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,15,0,36,21,11,27,11,0,1,1,9,1,0,7,1,141,7,0,148,0,148,--,380,232,141,148,148,Algún campo sin dato,1,b03b62e320d6db1fd726cc05d103238ed6969a285403bfbdcd76355b351120e9,26/06/2023 00:16:46,ESCANER
6344,"Chimaltenango",3,"Tecpán Guatemala",6,672,380,20,2,32,18,8,31,22,1,1,1,8,5,0,6,3,158,10,0,168,0,168,--,380,212,158,168,168,Algún campo sin dato,1,f642a9f0394a56a60d49194aa8eaaa6ca5a60df00b2e0b875821fcde0ed58e44,26/06/2023 00:32:16,ESCANER
