TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,23210,14146,60.9478

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,VALOR,VAMOS,VIVA,BIEN,CC EL CAMINO,TODOS,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13090,"Retalhuleu",11,"El Asintal",9,1785,400,9,13,50,64,14,16,6,1,--,53,226,8,0,234,0,234,--,400,166,226,234,234,Algún campo sin dato,1,6341b8fdae9cff40e7a24a5a3d0167a37c2589febeaf61ddb9235d13624b3179,26/06/2023 00:21:12,ESCANER
13091,"Retalhuleu",11,"El Asintal",9,1785,400,5,9,54,65,13,21,8,0,0,44,219,8,2,229,0,229,--,400,171,219,229,229,Algún campo sin dato,1,1a75012c1da505357f5452a069f02162464a25e4f59aa45858f1fa916cca8d34,25/06/2023 23:19:11,ESCANER
13092,"Retalhuleu",11,"El Asintal",9,1785,400,10,10,55,55,12,25,4,1,0,60,232,3,1,236,0,236,--,400,164,232,236,236,Algún campo sin dato,1,d3fb659f09a1f85c725fc1faca2d4a267749d9c0b1a32bc746e84cc9bbe5afa3,25/06/2023 22:27:50,ESCANER
13093,"Retalhuleu",11,"El Asintal",9,1785,400,8,12,52,59,16,17,6,0,0,53,223,5,1,229,0,229,--,399,170,223,229,229,Algún campo sin dato,1,a9314850039d3e536dc5ec52afb35263a50232f3c37f37e88b1515737b44c314,26/06/2023 01:38:57,ESCANER
13094,"Retalhuleu",11,"El Asintal",9,1785,392,9,12,45,69,10,16,1,1,0,53,216,4,1,221,0,221,--,391,170,216,221,221,Algún campo sin dato,1,273e26a550e6987021ae028f58989c7d271c10a2dae9552678abdb7c05d530c9,26/06/2023 01:52:06,ESCANER
13095,"Retalhuleu",11,"El Asintal",9,1785,391,3,9,22,62,10,24,4,1,0,56,191,5,1,197,0,197,--,391,194,191,197,197,Algún campo sin dato,1,263dfcf3e55f3532691347024ebeb18ef6c82bf35826475a70c5f5f38624a76a,26/06/2023 00:44:27,ESCANER
13096,"Retalhuleu",11,"El Asintal",9,1786,380,2,32,15,37,7,97,28,0,1,28,247,13,4,264,0,264,--,383,119,247,264,264,Algún campo sin dato,1,7c4f422a1cf6bfd2f5dc4381f97cd8ea7220cc180593d5b909defe8ff37bde43,26/06/2023 02:12:44,ESCANER
13097,"Retalhuleu",11,"El Asintal",9,1786,380,7,46,5,24,2,96,38,0,1,38,257,17,6,280,1,281,--,380,99,257,280,281,Algún campo sin dato,1,e85d10bcdb532286c88daef69b9095b0563d9aa7e8e6288c82da735b858fa02b,26/06/2023 01:31:01,ESCANER
13098,"Retalhuleu",11,"El Asintal",9,1786,380,3,41,11,44,3,99,34,0,1,36,272,13,2,287,0,287,--,380,93,272,287,287,Algún campo sin dato,1,ebff6534a4ba41b70f39293b42c6bf52aafc0e24ec4cbb8b0ee10873f8c24468,26/06/2023 01:03:19,ESCANER
13099,"Retalhuleu",11,"El Asintal",9,1786,380,3,42,10,33,3,93,62,0,1,28,275,16,8,299,0,299,--,380,81,275,299,299,Algún campo sin dato,1,66dfaf7f33c7ce6d79d8ad17f198d29a251c19a19f611df47cce0ff173445400,25/06/2023 23:31:21,ESCANER
13100,"Retalhuleu",11,"El Asintal",9,1786,380,6,32,7,48,3,87,46,0,1,41,271,14,5,290,0,290,--,380,90,271,290,290,Algún campo sin dato,1,38421de5b42f2e3cf2f468afffdd2e2b9fb241cae88747325eaee5340102f5dc,26/06/2023 01:53:15,ESCANER
13101,"Retalhuleu",11,"El Asintal",9,1786,380,6,31,9,20,4,63,37,0,0,20,190,3,3,196,0,196,--,380,184,190,196,196,Algún campo sin dato,1,1579a2d41b6a52346dea0596c4101b68238c90d1fc2cef8b4b4eb8b59807adf3,25/06/2023 23:48:15,ESCANER
13102,"Retalhuleu",11,"El Asintal",9,1786,380,5,26,12,46,3,67,35,0,0,30,224,9,5,238,0,238,--,380,142,224,238,238,Algún campo sin dato,1,bf6c348e4b5bd27aaecb96960bc41afecc821d59712b367c6ae60273ad0c4944,26/06/2023 01:08:33,ESCANER
13103,"Retalhuleu",11,"El Asintal",9,1786,380,3,34,10,48,5,71,37,0,1,35,244,12,6,262,0,262,--,380,118,244,262,262,Algún campo sin dato,1,9a85ef8eaf53b78306b01a0425d30de82cfa6afae581bd3d03fe7bbec0e786bf,26/06/2023 01:12:35,ESCANER
13104,"Retalhuleu",11,"El Asintal",9,1786,380,3,29,12,41,1,82,41,0,0,24,233,10,3,246,0,246,--,380,134,233,246,246,Algún campo sin dato,1,8a63398bfe8fd86808c1ce1a74859ba79adfe84a55ab145effa163bf1499280a,26/06/2023 01:30:25,ESCANER
