TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
51,51,100.0000,51,100.0000,0,18245,9399,51.5154

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,MLP,TODOS,CABAL,AZUL,SEMILLA,CAMBIO,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21163,"Petén",17,"Las Cruces",13,3291,380,47,41,4,63,2,1,0,1,6,1,166,11,3,180,0,180,--,380,200,166,180,180,Algún campo sin dato,1,c1b1d9a22858cdf9495615edd2f6e4815cfabd0d3c00f206687dca169d70d40e,26/06/2023 01:24:15,ESCANER
21164,"Petén",17,"Las Cruces",13,3291,380,56,31,4,55,1,1,0,1,3,4,156,1,0,157,0,157,--,380,223,156,157,157,Algún campo sin dato,1,b805191ace08711139dd88701a243dc657b878653fb7a656e08904e402569f2f,26/06/2023 02:44:07,ESCANER
21165,"Petén",17,"Las Cruces",13,3291,287,34,31,4,46,1,0,2,0,9,1,128,6,1,135,0,135,--,--,--,128,135,135,Algún campo sin dato,1,c75fe168308d054eefd5264ea16bb52398accb860248fcbb3122d9c68373af90,26/06/2023 00:21:40,ESCANER
21166,"Petén",17,"Las Cruces",13,3291,287,32,19,4,33,2,0,0,1,4,0,95,1,3,99,0,99,--,287,188,95,99,99,Algún campo sin dato,1,e8a52b4b937307fb34ae0462b3bce397489707ef53fccb351b247480a6eaf930,25/06/2023 22:41:09,ESCANER
21167,"Petén",17,"Las Cruces",13,3292,380,61,19,4,44,17,3,7,0,3,6,164,13,2,179,0,179,--,377,198,164,179,179,Algún campo sin dato,1,fde4679a23f5696d00d1f7395b52db4b02d03f46bf83cbe058f6d88c31972a12,26/06/2023 00:16:55,ESCANER
21168,"Petén",17,"Las Cruces",13,3292,380,60,17,2,44,28,1,2,0,1,2,157,16,3,176,0,176,--,380,204,157,176,176,Algún campo sin dato,1,45acffbb7cc0bd07e0bb181a128bc6800ec0d2cecde7bf189cf8d4fd2ec0fa4e,26/06/2023 00:07:25,ESCANER
21169,"Petén",17,"Las Cruces",13,3292,303,36,9,3,32,14,0,2,0,3,3,102,8,2,112,0,112,--,303,191,102,112,112,Algún campo sin dato,1,e3493eb218a6088372089626431385156bd364a24d40df83ecca174a6fcca1eb,26/06/2023 00:01:50,ESCANER
21170,"Petén",17,"Las Cruces",13,3292,303,41,13,0,32,11,0,2,0,3,1,103,4,2,109,0,109,--,303,194,103,109,109,Algún campo sin dato,1,40a3bd8d02a1678ad4d33b4981ed451f18abf87e9f797fed64f483c2e0b51336,25/06/2023 23:38:34,ESCANER
21171,"Petén",17,"Las Cruces",13,3293,380,36,71,7,41,3,3,1,1,2,3,168,17,2,187,0,187,--,380,193,168,187,187,Algún campo sin dato,1,22fa4a951c14e866d32956673e54e9ba83485621185ca2057539da47abb6c398,26/06/2023 03:06:17,ESCANER
21172,"Petén",17,"Las Cruces",13,3293,380,31,72,2,33,2,0,2,0,2,3,147,16,3,166,0,166,--,380,214,147,166,166,Algún campo sin dato,1,eb5fd7193e72b0f59df3dfb6d36fffd40240f3b0080bc0eac711a62745b920fd,26/06/2023 01:28:00,ESCANER
21173,"Petén",17,"Las Cruces",13,3293,380,37,71,2,47,3,1,2,0,1,6,170,11,1,182,0,182,--,380,198,170,182,182,Algún campo sin dato,1,c625e046a6cc79365c7154433ee464a9bac633beec453e26966e8d6d70c5feac,26/06/2023 02:34:42,ESCANER
21174,"Petén",17,"Las Cruces",13,3293,380,24,63,4,48,3,1,1,1,1,11,157,22,5,184,0,184,--,380,196,157,184,184,Algún campo sin dato,1,6455d512f99c5ce7c5039053146a89453c1286e088210e1d975487304261e150,26/06/2023 01:18:13,ESCANER
