TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
68,68,100.0000,68,100.0000,0,25029,13946,55.7193

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,CABAL,CAMBIO,UNE,MLP,VALOR UNIONISTA,AZUL,VAMOS,PPN,TODOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20349,"Petén",17,"Flores",1,3168,380,8,33,50,57,4,19,3,38,3,3,10,223,19,3,245,0,245,--,380,135,228,250,250,Sumas Asentadas sin cuadrar,1,0e1f6fbdd6a9db85c1ae2691669916ee6486b6d292bf3f1812e93d2685ce3f1b,26/06/2023 01:31:01,ESCANER
20350,"Petén",17,"Flores",1,3168,380,6,30,43,62,2,16,2,43,1,3,18,226,21,0,247,0,247,--,380,133,226,247,247,Algún campo sin dato,1,b86b9f2beeb9d3d5b685ce3a5b1d093461595abe3fdd7779f67ca574e9a7e5a8,26/06/2023 00:24:09,ESCANER
20351,"Petén",17,"Flores",1,3168,380,9,34,54,77,3,18,3,43,1,2,7,251,18,2,271,0,271,--,380,109,251,271,271,Algún campo sin dato,1,3be898b4938273aa64cb1197405941e51fbf81f8f421e3aac803bccf2e89c5d8,26/06/2023 00:57:08,ESCANER
20352,"Petén",17,"Flores",1,3168,380,6,26,48,49,1,19,1,34,2,3,18,207,8,3,218,0,218,--,377,159,207,218,218,Algún campo sin dato,1,f74e5baeca9186ecfc4f2b95ed9b018a4d5a497140ed922c5f9202acdf6ae780,26/06/2023 01:14:50,ESCANER
20353,"Petén",17,"Flores",1,3168,380,7,30,48,42,1,18,3,32,1,2,14,212,14,0,212,0,212,--,377,165,198,212,212,Sumas Asentadas sin cuadrar,1,1835b408d940e5a14ae5c36758fd07b8a3d8f0abd56a74a2ffbfa5aae0d1d887,26/06/2023 01:23:03,ESCANER
20354,"Petén",17,"Flores",1,3168,380,10,37,32,41,3,14,2,37,9,3,12,200,19,2,221,0,221,--,380,159,200,221,221,Algún campo sin dato,1,bdd7bdecc9006c5b8da23eb13642b560b317a8f6c41f7dcec78e930b3ba58929,25/06/2023 23:21:40,ESCANER
20355,"Petén",17,"Flores",1,3168,380,5,36,46,43,1,22,1,30,1,1,9,195,16,2,213,0,213,--,380,167,195,213,213,Algún campo sin dato,1,3fb3411ddf12b632a1e702e69f8180cac91eaca2892ce1d01e5a9ed2fa19cbb4,26/06/2023 01:17:59,ESCANER
20356,"Petén",17,"Flores",1,3168,380,4,30,46,56,4,18,0,34,0,1,11,204,8,4,216,0,216,--,380,164,204,216,216,Algún campo sin dato,1,f23b8b3963e9c0e0de9e1f44579c64d629473cb994833b593b7d4484b6626a6a,25/06/2023 23:13:31,ESCANER
20357,"Petén",17,"Flores",1,3168,380,8,27,37,56,1,27,2,34,3,1,9,204,16,2,222,0,222,--,380,158,205,223,223,Sumas Asentadas sin cuadrar,1,c298b262933a02cb28f8472a9b7c28037e03779f5139ac6e5fa675871442423c,26/06/2023 01:19:15,ESCANER
20358,"Petén",17,"Flores",1,3169,380,6,26,55,64,2,21,2,35,1,3,10,225,5,3,233,1,234,1,380,146,225,233,234,,1,04827b005cf7503071150f8d61ba23ec308798bcb3da50faddf6b1464b7b7991,26/06/2023 01:26:56,ESCANER
20359,"Petén",17,"Flores",1,3169,380,7,31,47,49,1,22,0,31,2,1,6,197,11,0,208,0,208,--,380,172,197,208,208,Algún campo sin dato,1,fffbba5e7359cf71bf09f10fdc647e7421f6fad9d93ad0d66fe51cabcf470ec2,26/06/2023 01:37:46,ESCANER
20360,"Petén",17,"Flores",1,3169,380,7,30,51,44,2,24,1,23,2,0,10,194,16,6,216,0,216,--,380,164,194,216,216,Algún campo sin dato,1,26d8e431eb998a915a489b5ad2c618f770fe94b22edf54eb9fde28aa8fa20bc6,26/06/2023 01:25:22,ESCANER
20361,"Petén",17,"Flores",1,3169,380,6,27,51,47,1,17,1,29,2,1,7,189,10,2,201,0,201,--,380,179,189,201,201,Algún campo sin dato,1,fd41e2d33396cb3ba8762eb7c5080e3c173643040ff8899c333563e13218584d,26/06/2023 01:33:34,ESCANER
20362,"Petén",17,"Flores",1,3169,380,10,31,53,50,0,25,0,23,2,0,10,204,15,3,222,1,223,--,380,157,204,222,223,Algún campo sin dato,1,d60bf0c0fd9cb3ab183ef62f0ae857e30305c7742ef36cec9a9eb13bd27ae350,26/06/2023 01:30:25,ESCANER
20363,"Petén",17,"Flores",1,3169,380,6,30,42,30,5,20,4,19,3,3,9,171,12,2,185,0,185,--,380,195,171,185,185,Algún campo sin dato,1,4368cbbfc5c11c2181bcfd8e131f48f380213f26576108e86e1409dedfa4952e,25/06/2023 23:06:06,ESCANER
20364,"Petén",17,"Flores",1,3169,380,4,32,35,37,3,20,1,32,4,4,16,188,8,1,197,0,197,--,380,183,188,197,197,Algún campo sin dato,1,efa9076e5180ea1f0024da4392c380f551f582c5e2b7be63ac8031b9dba72edd,26/06/2023 00:01:15,ESCANER
20365,"Petén",17,"Flores",1,3169,380,6,24,51,39,0,14,0,21,4,2,11,172,10,1,183,0,183,--,380,197,172,183,183,Algún campo sin dato,1,52b096a1fa1a0ba92018bae345317a53c5899dd185d34fcf3aec3edf91d850e1,26/06/2023 00:18:49,ESCANER
20366,"Petén",17,"Flores",1,3169,380,9,28,48,39,5,22,0,45,3,0,24,223,2,1,226,0,226,--,350,154,223,226,226,Algún campo sin dato,1,f49db5a4ef0f1657b0503b53f42342213a7f57c23bedbef7639ea03f5de5e4b9,26/06/2023 01:19:19,ESCANER
20367,"Petén",17,"Flores",1,3169,380,6,25,48,58,0,13,1,23,2,3,16,195,11,174,380,0,380,--,380,174,195,380,380,Algún campo sin dato,1,056422a35b28fbefcc7c1fce4d589ea39937ab10b12a87a005412e2e061737a4,26/06/2023 01:34:58,ESCANER
20368,"Petén",17,"Flores",1,3169,380,7,26,45,32,1,15,1,24,1,1,19,172,3,0,175,0,175,--,380,205,172,175,175,Algún campo sin dato,1,bdcbaf7acc26794ed3e19d9fbd6c322e410177a11413662b3e8c422a85371bd0,26/06/2023 00:48:48,ESCANER
20369,"Petén",17,"Flores",1,3169,380,5,24,70,50,2,19,1,27,3,1,14,224,8,0,224,0,224,--,377,153,216,224,224,Sumas Asentadas sin cuadrar,1,75e6ab04ae621dc9ee933681f30d54df189bfbfee156a63e0a3200472bc6dec5,25/06/2023 23:57:38,ESCANER
20370,"Petén",17,"Flores",1,3169,274,4,20,32,35,3,13,0,16,2,0,9,134,5,1,140,0,140,--,274,134,134,140,140,Algún campo sin dato,1,0a4c2c4b0304c00e617138d13af59d21c7d289c6c746f466c47773c9e2e1896c,26/06/2023 01:25:22,ESCANER
20371,"Petén",17,"Flores",1,3169,274,8,8,23,18,1,3,0,17,2,0,6,86,0,0,86,0,86,--,274,188,86,86,86,Algún campo sin dato,1,b1a5be1743a3e38cfad6445a70e07107e942419a01ccd313081badc438fee180,25/06/2023 22:13:54,ESCANER
20372,"Petén",17,"Flores",1,3170,380,4,56,62,25,0,8,0,37,2,3,3,200,18,3,221,0,221,1,380,159,200,221,221,,1,f0030024a049a2331d63fcc3eb661a801de5133241abef3b7b74aa2a04084a35,25/06/2023 22:51:15,ESCANER
20373,"Petén",17,"Flores",1,3170,380,5,52,51,23,0,6,1,32,3,2,5,180,12,2,194,0,194,--,380,186,180,194,194,Algún campo sin dato,1,efa990bf10fbcbc7042ca5a40590063055a2269de07b912717f4f2b9e0ca38de,25/06/2023 23:07:06,ESCANER
