TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,32804,19741,60.1786

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,VAMOS,AZUL,BIEN,TODOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20461,"Petén",17,"San Benito",3,3188,400,76,8,10,125,7,6,1,2,2,237,14,4,255,0,255,--,400,145,237,255,255,Algún campo sin dato,1,acbeb92fd7df1d992130971260cb0bea5233a0538e1ffbcfc736f80a59e9198c,25/06/2023 23:49:58,ESCANER
20462,"Petén",17,"San Benito",3,3188,400,71,3,9,110,0,3,0,5,5,206,26,3,235,--,--,--,400,165,206,235,235,Algún campo sin dato,1,cb07122346833ab3ebb964a6718536b913de4bd9c17939a3d0616aa42b9f54e1,26/06/2023 01:35:01,ESCANER
20463,"Petén",17,"San Benito",3,3188,400,79,1,10,99,5,0,0,2,2,198,17,7,222,0,222,--,400,178,198,222,222,Algún campo sin dato,1,3bb71f403a7783eabe40f8f9a7e45ba0acae84e138762c84f78ee97e4d170ff1,26/06/2023 02:57:18,ESCANER
20464,"Petén",17,"San Benito",3,3188,315,59,9,9,87,3,2,0,1,0,170,3,0,173,0,173,--,315,142,170,173,173,Algún campo sin dato,1,fc17af7917328b835b2bdfc231d9cc4e26926a97857e7398b96d55ac68b5b7fd,26/06/2023 03:46:43,ESCANER
20465,"Petén",17,"San Benito",3,3188,315,49,3,8,91,0,1,0,0,0,152,5,2,159,0,--,--,315,153,152,159,159,Algún campo sin dato,1,24177f328626582e0df2c8969ddb2c600f6e8fd10a00a9f1dbd8632aa9242494,26/06/2023 01:25:15,ESCANER
20466,"Petén",17,"San Benito",3,3189,400,100,16,16,96,1,3,0,1,3,236,19,3,258,0,258,--,400,142,236,258,258,Algún campo sin dato,1,7e92f9779bd612eafdd608ddda7eda858200d261f00f33751c9ccaaf93cadd05,26/06/2023 02:57:58,ESCANER
20467,"Petén",17,"San Benito",3,3189,400,96,9,17,111,4,1,2,5,4,249,16,5,270,0,270,--,400,127,249,270,270,Algún campo sin dato,1,fd1f9d2b768d6d66fb153201e80749e08c7bce75664cbdcfd4f3c3b3a14f6c11,26/06/2023 03:04:41,ESCANER
20468,"Petén",17,"San Benito",3,3189,400,103,8,19,95,1,1,0,6,2,235,10,3,248,0,248,--,400,152,235,248,248,Algún campo sin dato,1,fb1b173be796d11a7506c586b45c45b6920aa99a6d2ec28bcffdb15228a4dab3,25/06/2023 23:02:54,ESCANER
20469,"Petén",17,"San Benito",3,3189,400,105,10,8,88,2,0,0,3,1,217,19,1,237,0,237,--,400,163,217,237,237,Algún campo sin dato,1,51ab76ac1faa83d2329ff7e7408feb004e3afd683203882aa7056ee12cf292e8,26/06/2023 00:15:39,ESCANER
20470,"Petén",17,"San Benito",3,3189,400,110,5,8,100,3,2,0,4,1,233,27,4,264,0,264,--,400,136,233,264,264,Algún campo sin dato,1,c510afd474c14ba611b30e6c67c25206f96642e1016c540329dc4b8e15ccce67,26/06/2023 00:43:11,ESCANER
