TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
63,63,100.0000,63,100.0000,0,23399,13836,59.1307

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIECH,UNE,COCIEC,COCERNA,VALOR UNIONISTA,COCIEAR,CABAL,MLP,U R N G - MAIZ,VICTORIA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18344,"Baja Verapaz",15,"Rabinal",3,2808,380,48,44,3,12,1,80,0,2,2,1,1,194,15,3,212,0,212,--,404,192,194,212,212,Algún campo sin dato,1,df7a03a92aefab0c52265f8133f4e2d33cd680336cf9cc738cdb734c2c8331c8,26/06/2023 00:28:24,ESCANER
18345,"Baja Verapaz",15,"Rabinal",3,2808,203,28,38,1,8,2,29,1,0,0,0,0,107,1,1,109,0,109,--,203,94,107,109,109,Algún campo sin dato,1,12f92a20521da7b5c6a653b1d720ea292a28a1bf39c78f85bd749e6d8198e5c8,25/06/2023 22:09:17,ESCANER
18346,"Baja Verapaz",15,"Rabinal",3,2808,203,28,32,1,4,2,16,1,1,0,0,0,85,1,0,86,0,86,--,203,117,85,86,86,Algún campo sin dato,1,c9d5ae283d0181990cf7666b760a31caa9690bfa7b6a225afec69ab1d064b267,25/06/2023 22:35:55,ESCANER
18347,"Baja Verapaz",15,"Rabinal",3,2809,356,69,86,4,13,1,64,1,0,0,0,1,239,18,0,257,0,257,--,356,99,239,257,257,Algún campo sin dato,1,88ea025b2123c07305d312b9d01892ccfba793c29165fa10ecd2f275b865bddd,26/06/2023 00:30:13,ESCANER
18348,"Baja Verapaz",15,"Rabinal",3,2809,355,71,77,4,11,2,33,0,0,2,0,1,201,12,1,214,1,215,--,355,140,201,214,215,Algún campo sin dato,1,49eeb3a4e315377757ec9fa233f5e89c9551b3831ba4f2df33182baabdf698f7,26/06/2023 00:27:14,ESCANER
18349,"Baja Verapaz",15,"Rabinal",3,2810,299,83,45,4,1,2,25,--,1,--,1,--,162,23,4,189,0,189,--,299,110,162,189,189,Algún campo sin dato,1,955ff5c366d35f431094b553dd710a62170eae5a187e3827b1a60526278a4c48,25/06/2023 23:26:22,ESCANER
18350,"Baja Verapaz",15,"Rabinal",3,2810,298,51,31,1,2,4,19,0,0,0,0,0,108,13,1,122,0,122,--,298,176,108,122,122,Algún campo sin dato,1,0bc30f3a94252a20f8cfe5ee3a067452393ae09b413a2ee4b7d23d5c5ef0adc7,25/06/2023 23:42:13,ESCANER
18351,"Baja Verapaz",15,"Rabinal",3,2811,341,13,155,10,2,2,29,1,0,0,0,0,212,27,4,243,0,243,0,341,95,212,243,243,,1,1de84410c33edfc16cbb659b7b9138b32f2a520165d0522fab4c66ba37e71064,26/06/2023 00:26:30,ESCANER
18352,"Baja Verapaz",15,"Rabinal",3,2811,341,14,113,16,1,1,10,2,0,0,0,0,157,9,2,168,0,168,--,341,173,157,168,168,Algún campo sin dato,1,77da5d856dba0eedf2160dd55c3a1370acdf01b5bc77b4f023075876c1bc3180,26/06/2023 00:35:21,ESCANER
18353,"Baja Verapaz",15,"Rabinal",3,2812,579,69,44,2,6,3,30,1,1,1,1,0,158,10,1,169,0,169,--,579,410,158,169,169,Algún campo sin dato,1,1f7ba3ceaf5fef7caa00c4dffc64acd089a6613c83618fa551f4d71b70ae28ae,25/06/2023 23:43:30,ESCANER
18354,"Baja Verapaz",15,"Rabinal",3,2812,578,30,32,2,12,2,18,0,4,0,2,2,104,6,3,113,0,113,--,578,465,104,113,113,Algún campo sin dato,1,7d0ae96c9d65204b4e97b2f3f7294fecde98d58a67b6459c08c6c04b129a61b1,25/06/2023 22:47:21,ESCANER
