TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,132,99.2481,1,49066,30260,61.6720

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VIVA,VAMOS,VALOR UNIONISTA,WINAQ,URNG-MAIZ SEMILLA,TODOS,UR,PPN,PR,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16742,"Quiché",14,"Santa Cruz Del Quiché",1,2509,400,22,94,60,59,2,7,14,11,3,2,0,4,288,12,0,288,106,394,--,394,106,278,290,396,Sumas Asentadas sin cuadrar,1,4e1c1866e70c7e66894bb840d508149e2c4274a6f5d4843b26746ddf0be22018,25/06/2023 22:55:10,ESCANER
16743,"Quiché",14,"Santa Cruz Del Quiché",1,2509,400,21,83,54,84,0,5,15,8,1,2,0,2,275,11,4,290,0,290,--,380,90,275,290,290,Algún campo sin dato,1,1a8e6e640cb0c9feb5ea7957cbc18488259bad3f7f5b3a65b35f238ed8b16f85,25/06/2023 23:05:45,ESCANER
16744,"Quiché",14,"Santa Cruz Del Quiché",1,2509,348,20,67,44,71,4,9,10,6,1,2,1,0,235,13,0,248,0,248,--,--,--,235,248,248,Algún campo sin dato,1,f2709baa7fbba8305ab5488e69c688f3414fb9b1768abd6c633893484b37cba6,25/06/2023 23:55:13,ESCANER
16745,"Quiché",14,"Santa Cruz Del Quiché",1,2509,348,17,55,55,58,2,4,15,6,0,0,0,2,214,1,0,215,0,215,--,348,133,214,215,215,Algún campo sin dato,1,c14c8a67ab4fe39e8b74750ac50ffb5dfd48e77e0eba68e79be9827075ea5030,25/06/2023 22:31:26,ESCANER
16746,"Quiché",14,"Santa Cruz Del Quiché",1,2510,380,12,113,6,150,0,0,1,1,0,1,0,0,284,19,10,314,0,314,1,381,67,284,313,313,Sumas Asentadas sin cuadrar,1,5d313a5eb039bddbdd555e9e7b4aece9fed7b082931dd90f15feca8e0302a06c,26/06/2023 02:00:07,ESCANER
16747,"Quiché",14,"Santa Cruz Del Quiché",1,2510,380,7,98,2,156,0,2,2,0,0,0,0,1,268,25,10,303,1,304,1,380,77,268,303,304,,1,9f6b9d7e41505855d01ebb622b92b03e05333d0b5c916d68cb23aaafb9bf9dd3,26/06/2023 02:02:27,ESCANER
16748,"Quiché",14,"Santa Cruz Del Quiché",1,2510,380,15,86,11,147,0,2,5,1,4,1,0,1,272,13,8,293,0,293,0,380,87,273,294,294,Sumas Asentadas sin cuadrar,1,054e3806f365eb40d62ea265caffd4858cb846d7726656c7f573d6a0cde6f4a7,26/06/2023 02:15:02,ESCANER
16749,"Quiché",14,"Santa Cruz Del Quiché",1,2510,301,3,71,10,94,0,2,2,0,0,1,0,1,184,6,4,194,0,194,0,301,107,184,194,194,,1,626e4fb5b84ed4868efdc94e7a91efd5abf7dabb846c7b05a68c5992543cb5fc,26/06/2023 02:25:34,ESCANER
16750,"Quiché",14,"Santa Cruz Del Quiché",1,2510,301,8,67,2,93,1,1,6,0,1,0,0,0,179,1,1,181,--,--,--,298,117,179,181,181,Algún campo sin dato,1,b4268b917810546d5a121277d0782956b1549de59386f4cbe1857e2b2a16779a,26/06/2023 04:52:45,ESCANER
16751,"Quiché",14,"Santa Cruz Del Quiché",1,2511,380,34,71,19,69,3,0,3,5,0,2,1,0,209,30,8,247,0,247,--,380,133,207,245,245,Sumas Asentadas sin cuadrar,1,bd01e47caa456d945636aed5b2d2a88081996783601d00157b3d314222344f7c,25/06/2023 23:43:20,ESCANER
