TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
56,56,100.0000,56,100.0000,0,21017,11315,53.8373

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PODEMOS,VAMOS,UNE,VOS,AZUL,BIEN,ELEFANTE,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12015,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1618,380,35,56,16,12,3,4,4,0,9,139,23,7,169,0,169,--,380,221,139,169,169,Algún campo sin dato,1,136c85634e450bf0e39b926b522036d7254b7c4f6fd01a72f11f1399317f1d35,25/06/2023 23:08:30,ESCANER
12016,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1618,380,26,52,24,14,2,1,1,0,9,129,12,4,145,0,145,--,380,235,129,145,145,Algún campo sin dato,1,7cbf9e31c03f21441221144e10acbb6fde2c351ae97c339052239c28b9033602,25/06/2023 22:24:14,ESCANER
12017,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1619,362,29,33,16,12,2,0,4,1,6,103,23,7,133,0,133,--,362,229,103,133,133,Algún campo sin dato,1,7863eb3d3721b82fe6b185aed1791fbe8a8389a253be3e20b8342f832e2baa8b,25/06/2023 22:43:49,ESCANER
12018,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1619,362,20,50,19,9,3,1,0,1,6,109,8,3,120,0,120,--,362,242,109,120,120,Algún campo sin dato,1,2f59d9d9b26e8687b2a1fa49ccf7272b81493bd9ac941f11675a24dc5acac093,25/06/2023 22:54:53,ESCANER
12019,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1620,342,30,56,13,10,0,3,0,0,2,114,21,8,143,0,143,--,342,199,114,143,143,Algún campo sin dato,1,5fc0acac1a77140ab3cb55d60fe775f148cb2c77210ab2472f99e23cad55eafc,25/06/2023 22:17:30,ESCANER
12020,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1620,342,32,35,10,11,1,1,1,0,7,98,9,8,115,0,--,--,--,--,98,115,115,Algún campo sin dato,1,951cee951f6049871933611a49f8b85fe5092efa5f85d9f773a9403ec356ea8f,25/06/2023 22:36:22,ESCANER
12021,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1621,380,84,26,64,12,1,2,2,2,8,201,24,3,228,0,228,--,380,152,201,228,228,Algún campo sin dato,1,f5431a4bf3fad273a4743cbc5916b0a8feedddff2baaf7dc5dd5d35e37db125b,26/06/2023 01:36:54,ESCANER
12022,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1621,380,98,24,52,8,2,3,3,0,16,206,15,8,229,1,230,--,380,150,206,229,230,Algún campo sin dato,1,ae1ba90d7101a62bcd2e298b1d76e07251c5c60d877a47830716655e5b0b9434,26/06/2023 02:22:32,ESCANER
12023,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1621,380,125,23,44,12,1,2,3,0,13,223,35,16,274,0,274,--,380,106,223,274,274,Algún campo sin dato,1,06e800657ced6940a680ee0ad2f07b0b5f57979d5c0fe1d6f7f20ff0751d8b06,26/06/2023 00:47:49,ESCANER
12024,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1621,380,81,24,84,13,1,3,4,1,14,225,25,8,258,0,258,--,380,122,225,258,258,Algún campo sin dato,1,12c06f3b9d2c73a124bc30bbf7d05bc85a76c068e9c3b39764b8769ef285f700,26/06/2023 01:57:16,ESCANER
12025,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1621,380,82,21,64,9,0,0,3,0,14,193,11,2,206,0,206,--,380,174,193,206,206,Algún campo sin dato,1,577596c65c3dceac80782ef8391943eb84d1e01f4cacc4aae9e658d0a7f4e5d7,26/06/2023 00:26:59,ESCANER
12026,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1621,380,70,20,67,4,0,0,2,1,5,169,33,13,215,1,216,--,380,164,169,215,216,Algún campo sin dato,1,c845083a8a40f86fee00e185a8fef9a959864d0cbe7bbc96cf4a8cff1dd1e9c6,26/06/2023 01:48:06,ESCANER
12027,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1621,317,63,26,56,5,1,0,0,0,12,163,13,1,177,0,177,--,317,140,163,177,177,Algún campo sin dato,1,1905e628c406decd825d2f38b3449ed5ee4cb43130370c1d7a66072f071fda59,25/06/2023 21:59:51,ESCANER
12028,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1621,317,61,13,40,8,1,1,3,1,14,142,11,3,156,0,156,--,321,162,142,156,156,Algún campo sin dato,1,958b5a2b27ec371225326a4fd3b0484ccc5f0343b50107086c783e35d3e16399,25/06/2023 22:51:03,ESCANER
12029,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1622,380,22,46,68,13,1,5,2,2,6,165,18,8,191,0,191,--,380,189,165,191,191,Algún campo sin dato,1,dca1c90783d10c1f2bad694122dec1b784e391ab8733b89143f5d487c5259e27,25/06/2023 22:27:18,ESCANER
12030,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1622,318,27,35,52,12,2,2,1,1,6,138,13,3,154,0,154,--,318,164,138,154,154,Algún campo sin dato,1,f6c7fa482c85bd98cd78aa4e26320dc93c10def5fcc1c0eaf8886c13aba56aad,25/06/2023 22:17:55,ESCANER
12031,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1622,318,22,25,47,11,4,3,1,1,2,116,14,9,139,0,139,--,318,179,116,139,139,Algún campo sin dato,1,9d140b29fae285282f9f937ff1e434ac268fea7ca347967fca2ab41c381fc4d5,25/06/2023 22:44:25,ESCANER
12032,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1623,380,91,27,42,7,17,1,1,0,10,196,22,10,228,0,228,--,380,152,196,228,228,Algún campo sin dato,1,c09ba950c838dee077f5d2917801ff3a2ad10410e92a3de98d52db018e36b348,26/06/2023 02:47:24,ESCANER
12033,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1623,380,66,30,48,11,19,2,4,1,18,199,21,10,230,0,230,--,--,--,199,230,230,Algún campo sin dato,1,23bbcc4c87420d6f1d367ced4e65a9180ac5d8791b2b65e639d7e403e0da1562,25/06/2023 23:00:59,ESCANER
12034,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1623,380,67,12,53,7,19,1,2,0,5,166,20,5,191,0,191,--,380,189,166,191,191,Algún campo sin dato,1,8a4c661874a1fe13bd65eaa7e69c849f266c42e96b9ee5fac7577d345736ef99,26/06/2023 00:28:36,ESCANER
12035,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1623,269,53,9,29,5,11,0,1,1,3,112,8,3,123,1,124,--,269,145,112,123,124,Algún campo sin dato,1,529a297f15c198c6836be66b323643acde8d5ee9440a94ebea9171af3f2cb8ae,25/06/2023 23:15:33,ESCANER
12036,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1623,269,58,20,30,3,12,0,0,0,3,126,6,3,135,0,135,--,269,134,126,135,135,Algún campo sin dato,1,0b0c6628e73501de0cae18e566acccb25497f60a89c07c80400c401b9bed97ad,25/06/2023 23:35:06,ESCANER
12037,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1624,578,32,25,38,12,0,2,1,2,7,119,7,0,126,0,126,--,596,470,119,126,126,Algún campo sin dato,1,5fc3c875213b418c988cb7faf366e828b09cbd47a9eba2158d77609255190665,25/06/2023 23:15:04,ESCANER
12038,"Suchitepéquez",10,"Santo Domingo Suchitepéquez",6,1624,578,15,15,16,6,0,4,1,1,1,59,6,1,66,0,66,--,584,518,59,66,66,Algún campo sin dato,1,bcab0764e6ba13048ee41e2793edec535b10335705ddad96a341580834356faf,25/06/2023 21:58:27,ESCANER
