TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
209,209,100.0000,209,100.0000,0,79314,41849,52.7636

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,UR,AZUL,MLP,CAMBIO,VAMOS,VALOR,VIVA,UNE,SEMILLA,BIEN,PPN,VICTORIA,PHG,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23111,"Jalapa",21,"Jalapa",1,3633,400,37,23,2,8,1,2,44,78,3,14,21,2,2,6,0,0,243,13,1,257,0,257,0,400,143,243,257,257,,1,927565c186b48cda89755e8a732347db171dd1063aa70935e1535ff22ef4020e,25/06/2023 23:38:21,ESCANER
23112,"Jalapa",21,"Jalapa",1,3633,400,35,15,3,14,1,4,41,62,4,21,19,4,0,5,0,0,228,12,6,246,0,246,--,400,154,228,246,246,Algún campo sin dato,1,a07b493fa52356dcb8efa12815685b0059ca599b132ee92fae2622415f68be11,26/06/2023 03:05:19,ESCANER
23113,"Jalapa",21,"Jalapa",1,3633,347,23,15,4,1,1,2,24,58,2,17,17,6,1,5,1,0,177,9,0,186,0,186,--,347,161,177,186,186,Algún campo sin dato,1,72779e59f42151fabc8713c118111ec2db22b4318562b88512cc1fedf4f38828,25/06/2023 22:45:51,ESCANER
23114,"Jalapa",21,"Jalapa",1,3633,346,32,10,2,5,0,2,29,74,0,10,16,3,1,7,0,0,191,5,0,196,0,196,--,344,148,191,196,196,Algún campo sin dato,1,6dfed41ec844d498111455e043aa12ae3bd11ed447d12b5455b88da02b646f9f,26/06/2023 00:19:39,ESCANER
23115,"Jalapa",21,"Jalapa",1,3634,400,32,26,3,5,3,3,46,61,5,18,11,6,2,6,0,2,229,19,4,252,0,252,--,400,148,229,252,252,Algún campo sin dato,1,7b2073331a43dc652a2e23d2c50e6169db298fc5cfd9709c013e982ab355fcae,26/06/2023 00:53:34,ESCANER
23116,"Jalapa",21,"Jalapa",1,3634,400,30,19,5,7,2,3,44,77,7,19,13,1,3,3,0,0,233,21,2,256,0,256,--,400,144,233,256,256,Algún campo sin dato,1,580911be2d83102f44429c4ecc98f5f2dff063f40d95ed0121fc78d54857684b,26/06/2023 00:15:22,ESCANER
23117,"Jalapa",21,"Jalapa",1,3634,400,34,17,8,7,2,2,37,73,5,28,9,0,2,2,0,0,226,28,6,260,0,260,--,400,140,226,260,260,Algún campo sin dato,1,de6a4053f3c997b6e6a543a766f30599fc6011c555fa3ddbf6f60a98275b3342,26/06/2023 01:26:50,ESCANER
23118,"Jalapa",21,"Jalapa",1,3634,400,33,16,4,2,2,1,41,78,4,32,8,4,2,10,0,0,237,23,3,263,0,263,--,400,137,237,263,263,Algún campo sin dato,1,f3ca0b5c58adfe8d88c3c5a6c3b71dea702eca54c1a04c9c7d76f9373edaeb3c,26/06/2023 01:18:53,ESCANER
23119,"Jalapa",21,"Jalapa",1,3634,400,36,25,4,2,1,2,26,76,5,23,14,2,3,5,0,0,224,20,6,250,0,250,--,400,150,224,250,250,Algún campo sin dato,1,52bbd64cebb842c8f5e3bd8f213fab64f25eee27439b1571a6bf104e6d58be95,25/06/2023 23:38:24,ESCANER
23120,"Jalapa",21,"Jalapa",1,3634,400,27,16,2,4,3,3,32,81,3,15,5,6,2,4,2,0,205,10,2,217,0,217,--,400,183,205,217,217,Algún campo sin dato,1,e580867b0d90cf426e71485b7404614536329c2cda8ac96292f7fe52364a538f,26/06/2023 00:59:15,ESCANER
23121,"Jalapa",21,"Jalapa",1,3634,400,30,22,3,5,2,2,31,52,5,23,13,2,2,8,1,1,203,13,5,221,0,221,--,400,179,202,220,220,Sumas Asentadas sin cuadrar,1,fc13aeed97fb269bb0bba4ef81d407b9fe182043b60ba55d148e18f34eee5585,26/06/2023 01:30:10,ESCANER
23122,"Jalapa",21,"Jalapa",1,3634,400,40,23,5,2,1,2,36,75,4,17,11,5,3,4,0,0,228,15,3,246,0,246,--,400,154,228,246,246,Algún campo sin dato,1,c2746238171092552e31b2f7bf0e00cdb872020fb263d2272c2e3a6cbeeb2338,26/06/2023 01:14:49,ESCANER
