TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
112,112,100.0000,112,100.0000,0,40118,21953,54.7210

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,UNE,CABRA,MLP,VAMOS,CABAL,TODOS,PPN,PHG,PODEMOS,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20934,"Petén",17,"Sayaxché",10,3256,380,5,33,66,0,78,2,10,1,4,1,1,1,202,29,5,236,0,236,--,380,144,202,236,236,Algún campo sin dato,1,74956c6539a759eeff8f76163797fb0b467d412247d765e251bb6e81d2c035d2,26/06/2023 01:27:48,ESCANER
20935,"Petén",17,"Sayaxché",10,3256,380,7,41,75,3,63,4,10,6,1,0,2,1,213,35,132,248,0,380,--,380,127,213,380,380,Sumas Asentadas sin cuadrar,1,f0f49f0eef38ddeec9a825fa9b6f31eb5d5b1bbf068b5942bdd274b73df673a3,26/06/2023 02:16:19,ESCANER
20936,"Petén",17,"Sayaxché",10,3256,380,23,27,63,2,102,10,4,7,2,0,2,1,243,19,3,265,--,265,--,380,115,243,265,265,Algún campo sin dato,1,e66506f7c4210e9eb42892129b31caaa11aa226b68a5198b182439285f9e3bfd,26/06/2023 04:10:44,ESCANER
20937,"Petén",17,"Sayaxché",10,3256,380,11,33,78,1,61,4,9,5,4,0,1,1,208,12,3,223,0,223,--,380,157,208,223,223,Algún campo sin dato,1,87cb42cde6799bd2e052f7666369c421a6913f39786b83e174795ca71f0891eb,26/06/2023 01:46:14,ESCANER
20938,"Petén",17,"Sayaxché",10,3256,380,3,27,72,1,63,8,9,4,3,0,1,1,192,23,2,217,0,217,--,380,163,192,217,217,Algún campo sin dato,1,f58d705bb008cfc763257ac88ff19eecc8efeddd2c2570be6eb9c5933d3243f5,26/06/2023 04:51:43,ESCANER
20939,"Petén",17,"Sayaxché",10,3256,380,6,38,63,0,68,6,10,3,2,0,1,0,197,11,2,210,0,210,--,380,170,197,210,210,Algún campo sin dato,1,8d75768edd753ba51725c9603df1a9629240350f4ed629aeac4d7a123373ef1d,26/06/2023 01:09:54,ESCANER
20940,"Petén",17,"Sayaxché",10,3256,380,5,28,87,0,67,3,13,3,1,0,2,2,211,24,3,238,0,238,0,380,142,211,238,238,,1,8f20875b80e4db650a2665afa1b84dc87f3a419a500fb1d4801130b2b2e60fec,26/06/2023 02:15:28,ESCANER
20941,"Petén",17,"Sayaxché",10,3257,380,8,19,60,1,66,5,10,4,0,0,0,0,173,24,7,204,176,380,--,380,176,173,204,380,Algún campo sin dato,1,4555fe068a8f3063156a4519d923044fa713af8476af795a10bd94a1c788b2c8,26/06/2023 01:57:34,ESCANER
20942,"Petén",17,"Sayaxché",10,3257,380,3,34,55,0,76,1,5,3,3,0,1,0,181,15,3,199,0,199,--,380,181,181,199,199,Algún campo sin dato,1,10f83970a50205afbe26b1f53aa31dfe243b9c064a2edb730150542d583b65bc,26/06/2023 01:34:25,ESCANER
20943,"Petén",17,"Sayaxché",10,3257,366,7,17,82,2,74,1,6,3,4,1,1,0,198,5,1,204,0,204,--,363,159,198,204,204,Algún campo sin dato,1,bb505cef23ba59e063d2487b81d602a99d5f884273001b0eec9a2bfeb73b4d9f,26/06/2023 00:02:59,ESCANER
