TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25822,13287,51.4561

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CREO,PHG,UNE,CABAL,TODOS,AZUL,VICTORIA,VIVA,PODEMOS,PPN,VALOR,WINAQ,UR,MLP,ELEFANTE,BIEN,PODER,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13815,"San Marcos",12,"Tajumulco",9,1931,221,16,0,36,17,11,1,3,1,0,0,1,0,0,2,0,1,0,0,89,8,5,102,0,102,--,221,119,89,102,102,Algún campo sin dato,1,bd718252368df7dd724419cebf8e82cf37a8468804bcc626f5e77a09cb2cdd16,26/06/2023 07:10:20,ESCANER
13816,"San Marcos",12,"Tajumulco",9,1932,380,14,0,39,45,10,1,5,0,3,1,1,0,1,1,14,5,0,4,144,22,6,172,0,172,--,377,206,144,172,172,Algún campo sin dato,1,0f1ec3acaaf4f48d7a74dc98d6b12495130656fe07803f1ab78cdb77917fc346,26/06/2023 07:24:59,ESCANER
13817,"San Marcos",12,"Tajumulco",9,1932,380,13,1,39,58,16,1,7,1,4,1,5,0,0,0,29,2,0,7,184,22,9,215,0,215,--,380,165,184,215,215,Algún campo sin dato,1,17492863a4d78b2231e7dd801e9f72ab31b0c1485797ff79dad4414e228939da,26/06/2023 07:41:11,ESCANER
13818,"San Marcos",12,"Tajumulco",9,1932,380,15,0,29,48,12,1,3,0,5,1,1,0,0,0,22,2,1,5,145,12,6,163,0,163,--,377,214,145,163,163,Algún campo sin dato,1,f1d6c5d87e203f36bd07dcd0db4adaa3aa20a5cf78ba0ef0d8ccd46a92811fe8,26/06/2023 07:20:32,ESCANER
13819,"San Marcos",12,"Tajumulco",9,1932,380,17,1,23,39,22,1,3,0,3,1,1,1,0,0,71,3,0,7,143,24,7,174,0,174,--,377,203,193,224,224,Sumas Asentadas sin cuadrar,1,427da93ff63b8d5b6c3f3d438e16a3707c91f77cd19ca612cbc3c13bcc0469c3,26/06/2023 07:28:58,ESCANER
13820,"San Marcos",12,"Tajumulco",9,1932,312,11,1,20,45,16,2,5,0,3,0,0,0,2,1,9,1,0,2,118,3,4,125,0,125,--,312,187,118,125,125,Algún campo sin dato,1,38426248c70a7f25682163b5dcd9ef6b4747f796c5012119d721fa8a8bd233c1,26/06/2023 07:29:26,ESCANER
13821,"San Marcos",12,"Tajumulco",9,1932,311,9,2,24,34,10,1,8,0,1,0,1,0,0,0,6,4,0,1,101,8,4,113,0,113,--,308,195,101,113,113,Algún campo sin dato,1,48ec765da49ec7565851a347b9f437bade1a2d13bbecfa274c7ac4ccd6cc867c,26/06/2023 07:22:47,ESCANER
13822,"San Marcos",12,"Tajumulco",9,1933,380,19,29,55,54,94,0,1,0,6,1,5,0,1,0,0,0,0,13,278,9,6,293,0,293,--,380,87,278,293,293,Algún campo sin dato,1,4d1ee7851374c35bfde8ccf574d33ec2014f9a243c09126227bcc0202c8222cf,26/06/2023 03:41:03,ESCANER
13823,"San Marcos",12,"Tajumulco",9,1933,294,8,44,30,27,71,0,1,4,6,1,0,0,0,0,0,0,0,18,210,3,5,218,1,219,--,294,75,210,218,219,Algún campo sin dato,1,4853c6c6fe64eb2d122c0e43542123069435c4c7d9c78a41c460ad6d53eb4a6c,26/06/2023 01:07:37,ESCANER
13824,"San Marcos",12,"Tajumulco",9,1933,293,10,33,25,27,70,0,1,3,7,2,0,0,0,0,0,0,0,12,190,4,5,199,0,199,--,293,94,190,199,199,Algún campo sin dato,1,6c3162f31c6a231185cef0557f364b8ffceb843877d618b5a4a27fbae0efbc6c,26/06/2023 03:45:36,ESCANER
