TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,73,100.0000,73,100.0000,0,28302,21834,77.1464

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,MLP,ELEFANTE,VIVA,CAMBIO,CABAL,PPN,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
3498,"Guatemala",1,"San Pedro Sacatepéquez",9,340,257,56,29,19,3,3,39,10,3,5,0,167,7,0,174,0,174,--,257,83,167,174,174,Algún campo sin dato,1,d04f284f4b8ef0169f3f7d2e8fbd15e03c86e3c74c5d898cfc1319227d492c18,25/06/2023 23:16:11,ESCANER
3499,"Guatemala",1,"San Pedro Sacatepéquez",9,341,400,121,80,65,1,4,31,2,2,5,2,313,14,3,330,0,330,--,400,70,313,330,330,Algún campo sin dato,1,3521cce6b16b0a5979e82b12696c0c70f0db004aa86eda723be90ad5d3765353,26/06/2023 01:27:26,ESCANER
3500,"Guatemala",1,"San Pedro Sacatepéquez",9,341,400,117,55,59,2,5,42,6,4,8,2,300,12,1,313,0,313,--,397,84,300,313,313,Algún campo sin dato,1,d9e3312df45209b8a44af36859580358be6bda9074d67d3f554143ba0246b143,26/06/2023 01:22:11,ESCANER
3501,"Guatemala",1,"San Pedro Sacatepéquez",9,341,400,128,74,60,3,3,25,2,3,2,0,300,5,4,309,0,309,--,400,91,300,309,309,Algún campo sin dato,1,f7b47cdf89377620bd5d93468873ec51f271deffb54b48871862a2fbd48118eb,25/06/2023 23:31:38,ESCANER
3502,"Guatemala",1,"San Pedro Sacatepéquez",9,341,400,117,71,56,0,1,46,4,1,4,0,300,10,3,313,0,313,--,400,87,300,313,313,Algún campo sin dato,1,28eaafa8068c6e133557cee0513291e1c6fbfa0bc3b244147c2ffb42747234a2,26/06/2023 00:07:41,ESCANER
3503,"Guatemala",1,"San Pedro Sacatepéquez",9,341,400,117,74,70,0,7,39,5,2,5,0,319,7,12,338,0,338,--,401,63,319,338,338,Algún campo sin dato,1,c5a39e7c7d6fd26dcc0987163a0925e5f00d2a52bfa1adabf01e660404427bd3,26/06/2023 01:10:18,ESCANER
3504,"Guatemala",1,"San Pedro Sacatepéquez",9,342,400,120,74,54,1,5,48,6,2,5,1,316,9,2,327,0,327,--,396,69,316,327,327,Algún campo sin dato,1,9689c8d2b532892c934d1810d98ae07315f29e490b1e1e0b491449af28a56beb,25/06/2023 23:39:59,ESCANER
3505,"Guatemala",1,"San Pedro Sacatepéquez",9,342,348,71,66,53,2,2,55,4,3,4,1,261,6,4,271,0,271,--,348,77,261,271,271,Algún campo sin dato,1,8da341c9b0940ecb83a11115508ef7876edf0bbb83c532177b7f223b6fcd40d8,25/06/2023 23:07:36,ESCANER
3506,"Guatemala",1,"San Pedro Sacatepéquez",9,342,347,94,72,38,2,1,43,2,3,3,1,259,3,1,263,0,263,--,347,84,259,263,263,Algún campo sin dato,1,d03368624541ddc70c48471fa692e1fb56f95d13086b405b8033260cae494928,25/06/2023 23:19:56,ESCANER
3507,"Guatemala",1,"San Pedro Sacatepéquez",9,343,380,114,37,20,4,21,52,7,1,4,0,260,27,12,299,0,299,--,380,81,260,299,299,Algún campo sin dato,1,43ce2d9b8ade136576ea125743aa4be24490be3398d4b827d5243622f0e41080,26/06/2023 01:08:42,ESCANER
3508,"Guatemala",1,"San Pedro Sacatepéquez",9,343,380,132,21,17,2,24,70,6,1,1,0,274,8,3,285,0,285,--,380,95,274,285,285,Algún campo sin dato,1,f9a8af117990440c4b3768d997222b76c59e6068d8efabc37f5624d9621bc951,26/06/2023 01:13:43,ESCANER
3509,"Guatemala",1,"San Pedro Sacatepéquez",9,343,380,132,20,19,1,27,59,5,2,6,0,271,12,9,292,0,292,--,380,88,271,292,292,Algún campo sin dato,1,ca319a061a684320a5ffbf352687c5d558d7c908a7b23ffcef4c69f29a56f2a4,26/06/2023 01:23:59,ESCANER
3510,"Guatemala",1,"San Pedro Sacatepéquez",9,343,315,85,23,19,2,17,52,1,0,1,1,201,12,8,221,0,221,--,315,94,201,221,221,Algún campo sin dato,1,e9d1ed78b00eb99871fd3dbbbabe311779a87a22ec6e25f4b02fbdd9c8faa7d2,26/06/2023 00:02:48,ESCANER
3511,"Guatemala",1,"San Pedro Sacatepéquez",9,343,314,72,10,15,0,20,48,10,0,2,0,177,8,0,185,0,185,--,314,129,177,185,185,Algún campo sin dato,1,29ffbfd6c741d1d9d83d6c7cbcecbd324c1e26a3c4f721142e14f87d2dd01977,25/06/2023 22:55:02,ESCANER
3512,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,48,41,15,5,8,141,8,3,6,2,277,14,7,298,0,298,--,380,82,277,298,298,Algún campo sin dato,1,c6000391717519d54e5cad30ed1706189f008e01734b7abbb4928c43980d286d,26/06/2023 00:33:59,ESCANER
3513,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,45,40,27,4,14,132,4,2,3,0,270,18,2,291,0,291,1,380,89,271,291,291,Sumas Asentadas sin cuadrar,1,42b0abd99618ee0b75d8fb494cb83ad1214fdffa7f12e7bdbfe81565eb090b45,26/06/2023 01:27:34,ESCANER
3514,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,47,40,30,5,14,134,7,2,9,1,289,14,5,308,0,308,--,380,72,289,308,308,Algún campo sin dato,1,3e2bae9a5dda4f113d401079ce193eb4a73a0d096514bed2fcde895faaeb6c7b,25/06/2023 23:37:59,ESCANER
3515,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,40,47,25,4,5,140,12,2,13,1,289,11,2,302,0,302,--,380,78,289,302,302,Algún campo sin dato,1,eef1ec2b163a4cd7c98ff2873f6f680aadd224b949d4f34ad4fc02fc55faf17b,26/06/2023 00:13:58,ESCANER
3516,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,30,39,26,12,17,140,6,4,13,0,287,17,2,306,0,306,--,380,74,287,306,306,Algún campo sin dato,1,28b67dc6daecf2b08123739e0112111f6506b2842e7c7b3b258f2464d2347090,25/06/2023 22:24:21,ESCANER
3517,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,38,35,22,6,13,157,9,5,6,0,291,16,2,309,0,309,--,380,71,291,309,309,Algún campo sin dato,1,8ab7dba1d34744bc436de84caa3a601adfce61bc98f13b2997e9d2bc7e78bda1,26/06/2023 00:17:31,ESCANER
3518,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,42,53,35,9,18,129,2,2,9,2,301,13,0,314,0,314,--,380,66,301,314,314,Algún campo sin dato,1,ee776b69ba7e8332791ef4ac07c7287db6fb7325d2db6f5c65eacb2bfe6b04ae,25/06/2023 23:44:52,ESCANER
3519,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,36,41,34,4,12,151,3,3,7,1,292,4,1,297,0,297,--,380,83,292,297,297,Algún campo sin dato,1,3bd7ec203475ccc870ef57de84ee0329c7ca86bd73f5d67b829cba1f057b33e0,26/06/2023 00:48:36,ESCANER
3520,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,41,45,16,4,11,148,5,2,14,0,286,4,0,290,0,290,--,381,91,286,290,290,Algún campo sin dato,1,80402faf93c906cc90925d3bf0cb534b49e3d6c4c3dc8ed970d9de1c496a7fa9,25/06/2023 23:11:41,ESCANER
3521,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,44,46,23,7,10,133,11,3,12,0,289,15,1,305,1,306,--,380,75,289,305,306,Algún campo sin dato,1,9cfb27f270661ffbd7320d07ec6ce4352cdcf549e4fd215fd2e126c4daa6d8f7,26/06/2023 04:19:45,ESCANER
3522,"Guatemala",1,"San Pedro Sacatepéquez",9,344,380,39,45,41,1,5,118,7,2,11,0,269,13,0,282,0,282,--,380,98,269,282,282,Algún campo sin dato,1,331a15ecb27356f1bc627b9b150e6fa2ff14bcc5d970d409b5074cb3c4fcb721,25/06/2023 22:47:22,ESCANER
3523,"Guatemala",1,"San Pedro Sacatepéquez",9,345,380,49,47,18,9,9,126,8,3,12,1,282,11,4,297,0,297,--,380,83,282,297,297,Algún campo sin dato,1,e1676c956cc908e3ec4ccde6aea3f5371e07d2f40d1cc108ca5c4739cac8922b,26/06/2023 00:19:49,ESCANER
3524,"Guatemala",1,"San Pedro Sacatepéquez",9,345,380,39,34,31,5,6,142,13,1,11,0,282,17,0,299,0,299,--,379,80,282,299,299,Algún campo sin dato,1,5d53c13bb0892de819bd6ab6995f27db9f9482fd1094a383d0fa042e3843bf65,26/06/2023 00:00:55,ESCANER
3525,"Guatemala",1,"San Pedro Sacatepéquez",9,345,380,32,31,29,10,19,124,7,1,8,0,261,9,4,274,0,274,--,380,106,261,274,274,Algún campo sin dato,1,c739e0a2ffa24c6d3d0ccfb16d377c3d5f089576f09fd23f88332d4de1b5d76b,25/06/2023 23:20:53,ESCANER
