TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,32145,16909,52.6022

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PHG,UNE,VIVA,CAMBIO,VALOR,VAMOS,PODEMOS,CABAL,PPN,AZUL,WINAQ,U R N G - MAIZ,LI INUP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20191,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3138,380,0,68,49,37,1,4,22,5,0,23,0,2,6,1,218,24,6,248,0,248,--,380,132,218,248,248,Algún campo sin dato,1,448b52efc3e6486558dd49901d663f73319bcc22fba630cdb28d5f65e52a9e44,26/06/2023 05:04:39,ESCANER
20192,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3138,380,5,51,21,13,4,6,12,6,0,85,0,3,4,1,211,28,2,241,0,241,--,381,140,211,241,241,Algún campo sin dato,1,eaa5bf7fc68d930861d3d77d5ae057fa06a264d1262856a3f2bba9b95f4981f9,26/06/2023 04:29:25,ESCANER
20193,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3138,380,1,62,32,37,1,2,26,5,0,54,0,3,6,2,231,20,5,256,0,256,--,380,123,231,256,256,Algún campo sin dato,1,4a715500fb0d69dc239023044d129287baf3031bbd75a503066082f8737cea67,26/06/2023 04:51:29,ESCANER
20194,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3138,380,0,63,29,21,0,5,18,1,3,38,1,0,3,0,182,19,7,208,0,208,--,380,172,182,208,208,Algún campo sin dato,1,a66ddd890b56e6004412523949df01de7960d142259cad77b5438339b78a7805,26/06/2023 04:22:44,ESCANER
20195,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3138,258,3,24,12,15,1,1,11,7,0,27,0,1,3,0,105,9,0,114,0,114,--,260,146,105,114,114,Algún campo sin dato,1,c191d4c8e22604ee050df0784a637df58181223420a780ec3cdbadfbe01564bb,26/06/2023 04:22:20,ESCANER
20196,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3138,257,0,38,14,17,0,2,2,3,0,27,0,2,0,0,105,1,1,107,0,107,--,254,147,105,107,107,Algún campo sin dato,1,3f727dbcb8224ee3534c4afbc6e89fb040f465ebd1e6ee9a868d7aa229dacffa,25/06/2023 21:36:09,ESCANER
20197,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3139,380,0,49,43,8,5,5,3,11,2,16,3,3,8,1,157,29,6,192,0,192,--,380,188,157,192,192,Algún campo sin dato,1,a29c5b4224c1215de24835d339fec7eb3fdf1a6db60958162fe5fd22021c61e9,26/06/2023 04:33:18,ESCANER
20198,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3139,380,0,61,51,8,2,8,8,3,11,21,0,0,9,0,182,35,7,224,0,224,--,380,156,182,224,224,Algún campo sin dato,1,43027ce73bc82777677920fbe5c3b61c638ca2e6b608188f5e6f40ceaf75e713,26/06/2023 04:43:48,ESCANER
20199,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3139,380,1,57,42,3,2,6,6,5,8,10,0,0,6,0,146,26,7,179,0,179,--,380,201,146,179,179,Algún campo sin dato,1,f5c544b2508ef43724e9897e431d25fcce7d9afb3487a230b9d6ae1cf3bca985,26/06/2023 04:41:54,ESCANER
20200,"Alta Verapaz",16,"Fray Bartolomé De Las Casas",15,3139,380,1,56,44,9,2,2,8,12,2,9,2,1,8,1,157,44,5,206,0,206,--,380,174,157,206,206,Algún campo sin dato,1,9e533d022fd416c2ddea5bd3605c7fea176429f80dcbca3ebfd0ef259f66fd24,26/06/2023 04:23:33,ESCANER
