TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,21354,15123,70.8204

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VALOR,UNE,VAMOS,PPN,CABAL,VIVA,CAMBIO,TODOS,VOS,PHG,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19090,"Alta Verapaz",16,"Tactic",4,2927,278,0,18,18,40,54,0,3,8,1,1,4,1,148,1,0,149,11,160,--,281,121,148,149,160,Algún campo sin dato,1,62e37bafee49580309944607c0d901330ea6815c33893a621f39c52abbb5ad96,26/06/2023 00:25:58,ESCANER
19091,"Alta Verapaz",16,"Tactic",4,2928,380,10,7,43,97,91,2,12,3,1,3,6,0,275,20,2,297,0,297,--,581,84,275,297,297,Algún campo sin dato,1,4fa3358f8b7e5ecf541dc5b1693e71da5e0169a700422e58f737c09ec26549d7,26/06/2023 05:50:22,ESCANER
19092,"Alta Verapaz",16,"Tactic",4,2928,380,1,18,39,102,96,3,13,1,1,1,4,0,279,27,2,308,1,309,--,383,74,279,308,309,Algún campo sin dato,1,d396d483e8a5fb673f931511a35c950682a60ff8cf56b43bd4d72a07438cb77e,26/06/2023 01:28:41,ESCANER
19093,"Alta Verapaz",16,"Tactic",4,2928,380,1,8,30,106,123,4,8,6,3,3,2,0,294,21,5,320,0,320,--,384,64,294,320,320,Algún campo sin dato,1,1bf4afe562be122d52d43fa2357a790be41d621d628c0c41ed62153701ead2c5,26/06/2023 04:08:34,ESCANER
19094,"Alta Verapaz",16,"Tactic",4,2928,380,8,17,25,102,106,8,12,2,1,1,7,1,290,13,4,312,0,312,--,384,72,290,307,307,Sumas Asentadas sin cuadrar,1,7fb13884c035c8dd8b61725043525add9d70fefaa8f8fd1a7ebb995c26cbc66f,26/06/2023 02:05:28,ESCANER
19095,"Alta Verapaz",16,"Tactic",4,2928,380,1,10,42,91,98,1,7,4,3,1,2,0,260,6,7,273,0,274,1,380,106,260,273,273,Sumas Asentadas sin cuadrar,1,9e214d20cde84e3ef18e829bc127c6bb503ce45f4e39d023d3ac9aa86da9c400,26/06/2023 01:15:26,ESCANER
19096,"Alta Verapaz",16,"Tactic",4,2928,340,0,16,35,66,85,6,7,1,0,1,0,0,219,10,4,233,0,233,--,341,108,217,231,231,Sumas Asentadas sin cuadrar,1,6077a31e1eb167250a4084a4d727591aa956a6e6dd7e8172ac36cf0b2484471d,25/06/2023 23:59:28,ESCANER
19097,"Alta Verapaz",16,"Tactic",4,2928,339,1,11,35,73,73,2,9,1,0,1,6,0,212,2,1,215,0,215,--,343,128,212,215,215,Algún campo sin dato,1,79f195aa246bdb198dec22f54268bbb89dd2be06b28fc43d76a318a00b15354a,26/06/2023 04:12:00,ESCANER
19098,"Alta Verapaz",16,"Tactic",4,2929,380,4,19,54,68,98,1,8,8,4,13,3,0,280,18,4,302,0,302,1,384,82,280,302,302,,1,098f588bb1f8f6b247788a39e682288a1e8994944ccbebd501477622b369cdaf,26/06/2023 02:32:31,ESCANER
19099,"Alta Verapaz",16,"Tactic",4,2929,380,9,26,85,77,76,3,10,13,3,10,1,2,315,17,3,335,0,335,0,384,49,315,335,335,,1,b81b9a710b0ca3facc717f59c341c4be4ce7a5ce6f85b4989016ed0a622344b6,26/06/2023 02:28:01,ESCANER
19100,"Alta Verapaz",16,"Tactic",4,2929,380,9,21,60,67,103,4,8,24,1,2,1,0,300,18,2,320,1,321,--,384,63,300,320,321,Algún campo sin dato,1,e76389e8cce54707758d9065eb145b51c93f37e12e3da5559b41cd85eea17031,25/06/2023 23:51:37,ESCANER
19101,"Alta Verapaz",16,"Tactic",4,2929,380,3,16,71,48,113,2,6,33,7,2,2,0,303,15,0,318,0,318,--,384,66,303,318,318,Algún campo sin dato,1,5d3987050d280e320f4eb12e90139194d4a58c2af826c6f27513e8deaccc2dc6,26/06/2023 02:36:00,ESCANER
19102,"Alta Verapaz",16,"Tactic",4,2929,380,2,27,55,69,71,2,8,17,2,4,3,0,260,13,0,273,0,273,0,384,111,260,273,273,,1,7f807bbc219d83ac9951d4d154dfdb1f263c4cbe1821956753a38f6b1e154dc2,26/06/2023 01:57:06,ESCANER
19103,"Alta Verapaz",16,"Tactic",4,2929,380,1,25,59,66,80,3,4,14,1,3,2,0,258,11,0,269,0,269,1,381,112,258,269,269,,1,cdbf8bc3ad5b889c1f67d3f6752c811e1b7fe4198a4deaa53f3326aa82325ccb,26/06/2023 02:30:51,ESCANER
19104,"Alta Verapaz",16,"Tactic",4,2929,355,0,12,54,58,82,2,5,20,2,7,2,0,244,1,2,247,0,247,--,355,108,244,247,247,Algún campo sin dato,1,b5bd83759062419b554b6f672d8b08b169819c97230148c2ae5564a918527e9e,26/06/2023 01:15:41,ESCANER
19105,"Alta Verapaz",16,"Tactic",4,2929,354,0,18,51,38,83,0,4,22,0,3,3,0,222,5,0,227,0,227,--,354,127,222,227,227,Algún campo sin dato,1,b023c72a642d2ae2f212e9f42c6d54041a604f2ef6acbea83266beee8476e127,25/06/2023 23:25:59,ESCANER
19106,"Alta Verapaz",16,"Tactic",4,2930,516,5,34,33,67,79,3,4,18,2,1,4,1,251,12,8,271,0,271,--,521,250,251,271,271,Algún campo sin dato,1,f038f66e2482a844d15551cc1f810ef2890c7afa4967d1fa6fe0a4e59a264660,26/06/2023 02:29:46,ESCANER
19107,"Alta Verapaz",16,"Tactic",4,2930,515,1,16,21,51,82,3,3,10,0,3,1,5,196,3,1,200,8,208,--,520,312,196,200,208,Algún campo sin dato,1,50943399a28f7d747e80892a7ad10ab7cd46b39aa584aa20f92a04bee9b99eee,26/06/2023 00:45:07,ESCANER
