TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,18126,10667,58.8491

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,PPN,TODOS,UNE,AZUL,VAMOS,VICTORIA,ELEFANTE,WINAQ,CABAL,VALOR,VIVA,P A N,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20329,"Alta Verapaz",16,"Raxruhá",17,3164,380,3,11,1,86,14,17,45,0,7,0,0,0,20,1,205,23,8,236,0,236,--,376,140,205,236,236,Algún campo sin dato,1,6a42426d09de54a76f9592d24cd0b63819a672248feb0f81a3738befe3d855e8,26/06/2023 00:38:42,ESCANER
20330,"Alta Verapaz",16,"Raxruhá",17,3164,338,5,13,4,61,26,15,54,0,1,0,0,0,15,0,194,13,2,209,0,209,--,338,129,194,209,209,Algún campo sin dato,1,e0368c118f299566da029d3482b01e4791c3a8173478abd1d4ccec24364be1bc,26/06/2023 00:48:23,ESCANER
20331,"Alta Verapaz",16,"Raxruhá",17,3164,338,4,9,3,39,14,12,50,0,1,0,0,0,25,0,157,4,1,162,0,162,--,335,173,157,162,162,Algún campo sin dato,1,3421498aafed5e1f95ba4a0718b9e693e56d7d14c6a89fd01f563b908f7fbc16,26/06/2023 02:32:00,ESCANER
20332,"Alta Verapaz",16,"Raxruhá",17,3165,380,0,5,1,61,37,20,34,1,13,8,2,3,1,1,181,12,21,214,16,230,1,377,146,187,220,236,Sumas Asentadas sin cuadrar,1,bb2ea8e513880978ff1d5f0ec7aaf1a5db071f95d79b2dd6564055c2ec655431,26/06/2023 06:06:28,ESCANER
20333,"Alta Verapaz",16,"Raxruhá",17,3165,380,0,3,1,52,50,35,49,1,6,0,0,1,3,1,202,16,6,224,1,225,--,377,152,202,224,225,Algún campo sin dato,1,d467ed39ba93487e927e0cc783219fef8df3bfe6bb7ed9ec355daf59dd6d733f,26/06/2023 01:32:17,ESCANER
20334,"Alta Verapaz",16,"Raxruhá",17,3165,380,3,9,0,47,37,36,50,0,10,1,1,1,3,0,198,16,2,216,0,216,--,380,161,198,216,216,Algún campo sin dato,1,1bf3a421cb1397ac2fc28357c71e838506b657eb77ac97e2e086199c7bd7cfb1,26/06/2023 02:49:27,ESCANER
20335,"Alta Verapaz",16,"Raxruhá",17,3165,380,1,7,2,46,33,27,47,0,10,1,0,1,0,0,175,18,2,195,0,195,--,377,182,175,195,195,Algún campo sin dato,1,cb5b0db91bed883b59932ee0972603974ecb1ecaa944759573b61db3ecddb592,26/06/2023 03:22:15,ESCANER
20336,"Alta Verapaz",16,"Raxruhá",17,3165,380,1,7,1,32,34,32,49,0,9,1,0,0,1,0,167,18,5,190,0,190,--,380,190,167,190,190,Algún campo sin dato,1,db8838e298fdb45a913648675dfcfd35e21d701f2b50d0a86cc7a60333164114,26/06/2023 01:22:17,ESCANER
20337,"Alta Verapaz",16,"Raxruhá",17,3165,355,1,5,1,40,39,32,54,1,5,1,0,0,0,0,179,4,2,185,0,185,--,352,167,179,185,185,Algún campo sin dato,1,d0a6b9c1a04fe93860ffa990adea7976e4eb276cec3e818aaf1e7c7f1f5e8f7f,26/06/2023 00:19:44,ESCANER
20338,"Alta Verapaz",16,"Raxruhá",17,3165,354,0,6,1,43,28,33,44,0,8,0,1,1,0,0,165,0,1,166,6,172,--,351,179,165,166,172,Algún campo sin dato,1,3c793c1bbf202faad1cd0e2e737f06e304088df255413c96be98558e42e9a8d9,26/06/2023 00:42:34,ESCANER
