TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
117,117,100.0000,116,99.1452,1,43667,31646,72.4712

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,MLP,VALOR,UNE,CABAL,PODEMOS,WINAQ,UR,VAMOS,P A N,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20019,"Alta Verapaz",16,"Chisec",13,3099,400,80,0,76,29,1,86,0,0,4,2,0,0,278,10,2,290,0,290,--,400,110,278,290,290,Algún campo sin dato,1,3c0cd6b14b33847482f17a9a501b9bcf4bc4a0e4d7a244dcaa65f20a3c3ad90e,25/06/2023 23:32:38,ESCANER
20020,"Alta Verapaz",16,"Chisec",13,3099,400,55,0,86,40,2,71,0,1,18,2,1,0,276,15,4,295,0,295,--,400,105,276,295,295,Algún campo sin dato,1,cfd1ce7e47c4ed7e3c72be7b8d79f220289db395e94fea994f33240f253f80e4,26/06/2023 00:09:08,ESCANER
20021,"Alta Verapaz",16,"Chisec",13,3099,400,49,0,97,25,1,75,2,0,6,8,0,0,263,10,6,279,0,279,--,397,118,263,279,279,Algún campo sin dato,1,5954919085929fb59672a5a1b9eb4e9f48c8195505f737c6d788a20698e891e4,26/06/2023 01:53:45,ESCANER
20022,"Alta Verapaz",16,"Chisec",13,3100,400,68,1,86,35,1,74,3,0,10,3,0,0,281,11,5,297,0,297,--,400,103,281,297,297,Algún campo sin dato,1,ab7420a7caf0943e79d740ce5bf899fd06ca5291376079673512b2b3235981c1,25/06/2023 22:35:06,ESCANER
20023,"Alta Verapaz",16,"Chisec",13,3100,400,66,1,73,41,0,74,3,0,7,0,0,0,265,15,5,285,0,285,--,400,115,265,285,285,Algún campo sin dato,1,1565f4c1fb67bab42c769f4fec64a5cdf5dc35b82e261988b567fa3714ea2773,26/06/2023 01:23:08,ESCANER
20024,"Alta Verapaz",16,"Chisec",13,3100,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,901ec42759df7a4fab41150cfb307750687f27b144c0ce250bd31bf00e839869,26/06/2023 04:30:42,ESCANER
20025,"Alta Verapaz",16,"Chisec",13,3100,400,56,1,67,26,2,92,1,0,10,3,0,1,259,11,9,279,0,279,--,400,121,259,279,279,Algún campo sin dato,1,714d61976b6010281935cba64db517e87321e174b7a1a82e9b865990e7396549,26/06/2023 01:40:31,ESCANER
20026,"Alta Verapaz",16,"Chisec",13,3100,400,57,1,75,40,1,80,0,0,3,7,0,0,264,8,2,274,0,274,0,400,126,264,274,274,,1,60fbc4cb6e38cd0dba0c1c296352f77fb9f9f1961a1cfe83595740044e0f7b49,26/06/2023 00:29:04,ESCANER
20027,"Alta Verapaz",16,"Chisec",13,3100,400,67,0,86,58,3,87,1,0,3,0,0,0,305,3,1,309,0,309,--,402,93,305,309,309,Algún campo sin dato,1,0aa86de25a89d0a24d08480e33eb561662c16e4688526db439995a1a888b8719,26/06/2023 00:48:23,ESCANER
20028,"Alta Verapaz",16,"Chisec",13,3100,400,79,0,83,55,2,83,1,0,2,1,0,0,306,2,1,309,0,309,0,400,91,306,309,309,,1,57df2496f95da9e4e1558d78d8809442728cded665d8abe4984cc102f2c8bdf4,26/06/2023 01:16:21,ESCANER
