TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
66,66,100.0000,66,100.0000,0,23824,18077,75.8772

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,UNE,VAMOS,CAMBIO,PPN,VICTORIA,CABAL,WINAQ,VIVA,AZUL,VALOR,CREO,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19175,"Alta Verapaz",16,"Tucurú",6,2942,380,42,27,117,0,4,100,1,1,1,1,3,1,0,298,13,7,318,0,318,--,380,62,298,318,318,Algún campo sin dato,1,156e81b493339a609c88d35eb505289af7c4849373a2e980e2086cc4c043dd4e,26/06/2023 04:30:47,ESCANER
19176,"Alta Verapaz",16,"Tucurú",6,2942,380,31,40,109,0,1,97,0,0,3,1,5,0,0,287,11,6,304,0,304,--,380,76,287,304,304,Algún campo sin dato,1,6f1754aa5dc09cac41e4aea43d2f540bcf1ea4766589cbd70b4406ff2af5318f,26/06/2023 04:35:23,ESCANER
19177,"Alta Verapaz",16,"Tucurú",6,2942,380,67,53,65,0,2,55,0,0,3,0,3,0,1,249,15,8,272,0,272,--,381,109,249,272,272,Algún campo sin dato,1,96b79749f823df81cab5c7103183c42c5e79703e25f50bc90dd11cc58a12d51b,26/06/2023 04:46:05,ESCANER
19178,"Alta Verapaz",16,"Tucurú",6,2942,295,34,33,62,0,1,67,0,0,1,0,5,0,0,203,3,3,209,0,209,--,295,86,203,209,209,Algún campo sin dato,1,dcc755ae0ba85c33badc597ba7356af8650dc8e1a6e58ef1393362578bac58b2,26/06/2023 04:52:46,ESCANER
19179,"Alta Verapaz",16,"Tucurú",6,2942,295,41,26,59,0,3,64,0,1,1,0,2,0,0,197,3,3,203,0,203,--,295,92,197,203,203,Algún campo sin dato,1,3cb0b083973c9fc5e9049b5220a08654b8cf3eb81b2e5967b4f2b12237dc93dd,26/06/2023 05:07:43,ESCANER
19180,"Alta Verapaz",16,"Tucurú",6,2943,380,13,73,118,0,12,98,2,0,6,0,3,0,0,325,6,1,332,0,332,--,380,48,325,332,332,Algún campo sin dato,1,a5ac0d708e8ce0d4e0bc2d4afac8dfd858d34412d30e7fb24d025ea9172d7f2e,26/06/2023 10:49:19,ESCANER
19181,"Alta Verapaz",16,"Tucurú",6,2943,380,8,75,126,0,36,49,0,0,2,0,8,1,0,305,14,4,323,0,323,--,380,57,305,323,323,Algún campo sin dato,1,640bc97f29bf5c6a29fb0f832bcad3e33df62b73444ca534d76c7b82a1f3eea0,26/06/2023 10:57:58,ESCANER
19182,"Alta Verapaz",16,"Tucurú",6,2943,380,8,65,8,0,31,47,1,0,10,0,9,0,1,280,15,3,298,0,298,--,380,82,180,198,198,Sumas Asentadas sin cuadrar,1,2169a87094dcbdf3516ae2a531a30f12d45239b170d9489a1e3e8d3033919db5,26/06/2023 10:41:06,ESCANER
19183,"Alta Verapaz",16,"Tucurú",6,2943,380,19,89,59,1,29,53,0,0,18,0,6,3,0,277,7,2,286,0,286,--,396,110,277,286,286,Algún campo sin dato,1,e0dc91e312d9a8bb5c07abcdf7398f7c00ac6fbec626696e005d99098b27e3e0,26/06/2023 05:24:06,ESCANER
19184,"Alta Verapaz",16,"Tucurú",6,2943,380,12,48,82,1,30,46,1,0,10,1,11,0,0,242,12,2,256,0,256,--,380,124,242,256,256,Algún campo sin dato,1,f61ca51e640959592e3cafecdc494dd6133613a4f9d5df00fc4badf6cf1f0f10,26/06/2023 05:11:38,ESCANER
19185,"Alta Verapaz",16,"Tucurú",6,2943,233,12,54,57,0,8,37,1,0,6,0,3,0,0,178,1,1,180,0,180,--,233,53,178,180,180,Algún campo sin dato,1,add3f2031bf98e27b8bfec9cb2375035e1b93a499937abef04f1c14c23d41659,26/06/2023 10:41:32,ESCANER
19186,"Alta Verapaz",16,"Tucurú",6,2943,232,8,53,46,0,15,33,2,0,3,0,7,0,0,167,2,1,170,0,170,--,232,62,167,170,170,Algún campo sin dato,1,8aa239c91041e7ee521f98f8ec414c4329e9bfb0ed60bf49bcb0cc354e367601,26/06/2023 05:05:45,ESCANER
19187,"Alta Verapaz",16,"Tucurú",6,2944,380,21,55,66,0,57,75,2,0,17,0,13,2,0,308,16,7,331,0,331,--,371,40,308,331,331,Algún campo sin dato,1,f8bffcc103f1c30b32a51143eccbbe68757b69e55c10ee638240a5a69f1f6ebe,26/06/2023 10:37:02,ESCANER
19188,"Alta Verapaz",16,"Tucurú",6,2944,380,24,71,43,--,40,79,--,2,6,0,15,4,1,285,12,8,305,0,305,--,380,75,285,305,305,Algún campo sin dato,1,d475dcce82a37afd2670e6301d77d9467c6ab6bde23586c7b6516af999b80154,26/06/2023 10:57:12,ESCANER
19189,"Alta Verapaz",16,"Tucurú",6,2944,380,13,63,58,0,50,75,2,1,14,0,10,2,1,289,5,10,304,0,304,--,380,76,289,304,304,Algún campo sin dato,1,c7a43b4f5b79d030f69edb3b3ae31dd75601083bba3534d3ed683de9fd0e7538,26/06/2023 10:59:51,ESCANER
19190,"Alta Verapaz",16,"Tucurú",6,2944,279,9,53,31,0,28,59,0,0,5,0,10,3,1,198,0,2,200,5,200,--,279,79,199,201,206,Sumas Asentadas sin cuadrar,1,835557826e4adfc2e9f72e6d4697506fa487c85bdc14439cf098b8a1a4e1f379,26/06/2023 11:06:34,ESCANER
