TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
120,119,99.1666,118,98.3333,1,45728,25732,56.2718

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,TODOS,VAMOS,PODEMOS,VIVA,AZUL,VICTORIA,ELEFANTE,SEMILLA,PPN,FCN-NACION,PHG,MLP,BIEN,PIN,CAMBIO,VOS,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11775,"Suchitepéquez",10,"Mazatenango",1,1582,400,24,33,39,49,7,13,2,2,12,5,3,1,15,0,6,1,1,8,20,241,21,3,265,0,265,--,400,135,241,265,265,Algún campo sin dato,1,a30834d2a7414d08b421c8bd3dc58c9e38c95c081fec4f9c940151fa13b491d8,26/06/2023 03:40:43,ESCANER
11776,"Suchitepéquez",10,"Mazatenango",1,1582,400,21,37,34,41,10,13,5,0,10,5,10,1,16,0,6,0,3,3,17,254,22,0,254,0,254,4,397,139,232,254,254,Sumas Asentadas sin cuadrar,1,3197891b7ad2583c43f83ad9a6a10b19e07f965c39716479aa89b1cf40bc6b1f,26/06/2023 03:37:48,ESCANER
11777,"Suchitepéquez",10,"Mazatenango",1,1582,400,17,30,45,44,7,10,4,3,12,12,11,1,11,1,4,1,0,12,13,238,14,2,254,1,255,6,400,145,238,254,255,,1,c52b06a75ddc0d360f3c3cf3e57a7ca49dc28341fa10f9db36421f40a4afe60f,26/06/2023 03:07:01,ESCANER
11778,"Suchitepéquez",10,"Mazatenango",1,1582,400,13,22,48,43,7,10,9,1,11,13,12,5,13,2,6,1,0,4,7,227,17,3,247,0,247,--,416,169,227,247,247,Algún campo sin dato,1,bb3106dc8c53e66bf0a3c5fee4695505d9d0af34b5e9a9127fe74e641d1a6964,26/06/2023 03:36:46,ESCANER
11779,"Suchitepéquez",10,"Mazatenango",1,1582,400,11,26,40,49,6,7,5,10,10,8,10,0,16,3,4,2,1,4,10,222,7,3,232,0,232,--,400,168,222,232,232,Algún campo sin dato,1,e1dda2f576e12d764de56ea146ebedbfd4fed62a640bdd90f5d34c3965140cb7,26/06/2023 00:06:22,ESCANER
11780,"Suchitepéquez",10,"Mazatenango",1,1582,400,17,27,32,39,5,8,5,3,9,11,9,2,12,1,10,1,1,6,20,218,18,1,237,0,237,--,400,163,218,237,237,Algún campo sin dato,1,1dd16655efb013041bf0634240a37651af4af6af6a56500c6e36035eaceeecff,25/06/2023 23:14:04,ESCANER
11781,"Suchitepéquez",10,"Mazatenango",1,1582,400,17,19,45,39,10,9,3,4,10,16,6,4,7,0,6,2,1,14,14,226,12,3,241,0,241,1,400,158,226,241,241,,1,81b8bdb31c73dd669b330133bc126af8467b4b5c604b395c0ba50a431465a1e8,26/06/2023 01:35:04,ESCANER
11782,"Suchitepéquez",10,"Mazatenango",1,1583,400,17,28,46,34,11,13,4,3,8,17,4,3,4,1,9,0,2,8,15,227,15,5,247,0,247,--,400,143,227,247,247,Algún campo sin dato,1,595e62cc8f4b5eaf3ea19740eeb0ef703bcbebdeee8c7974fa6696ee2f804d42,26/06/2023 01:40:41,ESCANER
11783,"Suchitepéquez",10,"Mazatenango",1,1583,400,25,26,48,38,4,9,8,4,14,9,6,1,8,1,4,1,3,2,14,225,15,2,242,0,242,--,400,158,225,242,242,Algún campo sin dato,1,9b93ec0d2981ec02758118bf13084ef7b3949a78f8c02edf795cd2e7b8ad6be9,26/06/2023 01:28:13,ESCANER
11784,"Suchitepéquez",10,"Mazatenango",1,1583,400,16,26,45,40,10,10,5,4,7,8,7,1,9,2,2,0,4,9,20,225,14,2,241,0,241,--,400,159,225,241,241,Algún campo sin dato,1,a1252198bb828257c90976e3a19c6945bec16e7f6dd7a675bcf3930c4d5615ed,26/06/2023 02:34:16,ESCANER
