TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,46814,35012,74.7895

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,CABAL,VIVA,SEMILLA,VOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9282,"Sololá",7,"Nahualá",5,1134,380,139,6,0,96,0,0,0,0,3,244,8,5,257,0,257,--,380,123,244,257,257,Algún campo sin dato,1,963301bafe76952e74e0a5448206d8cb51e61ecafde5ba02f86b344cbdd9b5d3,26/06/2023 00:24:13,ESCANER
9283,"Sololá",7,"Nahualá",5,1134,380,145,10,0,85,2,0,0,0,2,244,11,5,260,0,260,--,377,117,244,260,260,Algún campo sin dato,1,c1a0bfcdf87a8b576f7bbc25e05cfb847479541f29c2fef4013ea4b2501bf09d,26/06/2023 02:07:56,ESCANER
9284,"Sololá",7,"Nahualá",5,1134,380,117,8,3,91,4,1,0,1,6,231,11,12,254,0,254,--,380,126,231,254,254,Algún campo sin dato,1,b3cf33b9c0bab7895f8dfbf71b7ecb3140d4ba6b71291af1b699005b1b9af196,26/06/2023 01:48:41,ESCANER
9285,"Sololá",7,"Nahualá",5,1134,380,134,7,2,71,2,0,0,0,8,224,4,3,231,0,231,--,378,147,224,231,231,Algún campo sin dato,1,f6a8e788b5028dc1895bb8e5b37c899e7f6c7f8ca59836cdf1253d1a9efce441,26/06/2023 00:42:53,ESCANER
9286,"Sololá",7,"Nahualá",5,1134,380,147,5,1,81,2,0,0,0,8,244,0,0,244,0,244,--,377,133,244,244,244,Algún campo sin dato,1,6447cf1fd4478679890d242fca700f0873b36d3c27d4a783ef3097ccb17e43eb,25/06/2023 23:29:33,ESCANER
9287,"Sololá",7,"Nahualá",5,1135,252,124,1,0,54,0,0,0,0,6,185,2,0,187,0,187,--,252,65,185,187,187,Algún campo sin dato,1,a736f67f6e3edf17d0393606bb0ed7efc460d1173342258eacc49ca7a3903f0f,26/06/2023 00:16:14,ESCANER
9288,"Sololá",7,"Nahualá",5,1135,251,89,4,2,58,4,0,0,1,1,159,4,6,169,0,--,--,251,82,159,169,169,Algún campo sin dato,1,a96c9919bb50a9d86df688709b5a50424666f1693bdd524a42add0d66a728ae0,25/06/2023 23:03:12,ESCANER
9289,"Sololá",7,"Nahualá",5,1136,380,126,23,13,82,0,5,2,0,3,254,19,10,283,0,283,--,380,97,254,283,283,Algún campo sin dato,1,b7d72e88d46a3d51a8a4fc7d7f59292c1f53e4095889db8f72ad744b3a41c194,26/06/2023 01:54:13,ESCANER
9290,"Sololá",7,"Nahualá",5,1136,380,156,19,10,84,5,0,1,0,3,278,18,7,303,0,303,--,380,77,278,303,303,Algún campo sin dato,1,21a6a35f39007a45915e6b852c744e304ecd7efa76dff11098fa8958dfebede5,26/06/2023 02:21:27,ESCANER
9291,"Sololá",7,"Nahualá",5,1136,380,144,19,1,64,1,0,1,1,1,232,8,7,247,0,247,--,380,133,232,247,247,Algún campo sin dato,1,0d5ecb73408a658bc83622389b5f8d0bbbef5d47bd9b920d2996145c5b5e39dd,26/06/2023 00:49:59,ESCANER
