TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
174,174,100.0000,174,100.0000,0,65904,31957,48.4902

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR UNIONISTA,AZUL,UNE,VAMOS,VICTORIA,ELEFANTE,PODEMOS,TODOS,CAMBIO,VIVA,P A N,SEMILLA,EL TAJAS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22474,"Chiquimula",20,"Chiquimula",1,3504,380,3,12,39,42,45,0,11,0,0,6,1,2,0,5,166,12,4,182,1,183,--,377,194,166,182,183,Algún campo sin dato,1,c0b17b88f014468e450899d37d93ea6b40e696954a886433bb2f857c1aeaf63b,26/06/2023 01:49:33,ESCANER
22475,"Chiquimula",20,"Chiquimula",1,3504,380,4,19,37,53,37,0,16,0,0,11,3,1,4,10,195,7,6,208,0,208,--,376,168,195,208,208,Algún campo sin dato,1,92a59038818efb0abdb5aa4a0531c5a5e71d916c5deb852e2cd00327c46bf53c,26/06/2023 00:07:42,ESCANER
22476,"Chiquimula",20,"Chiquimula",1,3504,380,1,11,25,40,51,1,11,0,0,19,0,0,10,10,179,3,0,182,0,182,--,380,198,179,182,182,Algún campo sin dato,1,d559f6e4f204df7f76f335f3fcb1c9c401344edfe814b9a6c364cf49e1f33aea,25/06/2023 23:49:36,ESCANER
22477,"Chiquimula",20,"Chiquimula",1,3504,380,1,13,39,38,46,2,15,2,0,7,5,1,3,7,179,16,4,199,0,199,--,380,181,179,199,199,Algún campo sin dato,1,3a4b586d704c7d3a58b0b3260a0f87c7daa80c057484981ba5a4faa3e8ba6d9f,26/06/2023 00:28:32,ESCANER
22478,"Chiquimula",20,"Chiquimula",1,3504,380,3,10,35,41,31,0,11,2,0,5,2,1,3,5,149,17,3,169,0,169,1,380,211,149,169,169,,1,a6166265c91f7a744f9078b2999f6c59c07617f4fbd6abeef2376d4d515bf658,25/06/2023 23:28:12,ESCANER
22479,"Chiquimula",20,"Chiquimula",1,3504,235,3,2,23,22,17,1,8,2,0,4,1,0,5,4,92,3,1,96,0,96,--,235,139,92,96,96,Algún campo sin dato,1,956fc72905c85a62ecb59fdb8a4a757955822976043196a7d8ee2e3b21e1cd7a,25/06/2023 23:19:41,ESCANER
22480,"Chiquimula",20,"Chiquimula",1,3504,235,1,5,19,15,19,0,6,0,0,2,0,0,0,4,71,5,0,76,0,76,0,235,159,71,76,76,,1,c843e98756e6474bbbcfe8f3d315af9c11b92fe9406c5c81ce691328813b039c,25/06/2023 21:43:23,ESCANER
22481,"Chiquimula",20,"Chiquimula",1,3505,380,5,10,18,29,51,1,29,1,0,21,3,0,0,7,175,24,7,206,0,206,--,379,173,175,206,206,Algún campo sin dato,1,0bc704bec4e2e133c3ebca32b7239bcff11666e4029e48af7c9e5153dc2efe5e,25/06/2023 23:26:30,ESCANER
22482,"Chiquimula",20,"Chiquimula",1,3505,380,3,15,17,19,56,3,36,3,2,15,3,2,1,11,186,24,6,216,0,216,--,380,164,186,216,216,Algún campo sin dato,1,de002e4acfbbd5166993831bfba3f27707583f8843fb68755548f94eab482acb,25/06/2023 22:05:54,ESCANER
22483,"Chiquimula",20,"Chiquimula",1,3505,380,4,21,23,21,65,0,32,1,2,16,1,1,3,17,207,12,1,220,0,220,--,379,159,207,220,220,Algún campo sin dato,1,506e90496748aa2222c9f583db6cb64500fd0a0bd8536e01ad41790d6efdd88f,26/06/2023 03:19:21,ESCANER
22484,"Chiquimula",20,"Chiquimula",1,3505,303,0,12,15,24,45,0,22,0,0,8,2,1,1,7,137,11,0,148,0,148,--,303,155,137,148,148,Algún campo sin dato,1,172001765ef1bc3dd060fe8d9d6d0a5b3569aad6fdf0558fbffc9ea4224a417e,25/06/2023 22:40:22,ESCANER
22485,"Chiquimula",20,"Chiquimula",1,3505,302,5,18,10,17,31,0,18,0,0,7,0,1,5,7,119,8,0,127,0,127,--,302,175,119,127,127,Algún campo sin dato,1,17034513e4d0bf71638c763071b336eeb6ebcf2cd44f98de0ab68cafc464684b,25/06/2023 21:46:36,ESCANER
22486,"Chiquimula",20,"Chiquimula",1,3506,380,5,15,12,22,64,2,26,4,1,3,5,0,0,7,166,39,13,218,0,--,1,377,158,166,218,218,Algún campo sin dato,1,266d5d94fa4103d7771a922cbb8a7b38ce23244919f102effb4c29f31a2c4536,26/06/2023 00:06:27,ESCANER
22487,"Chiquimula",20,"Chiquimula",1,3506,380,3,17,20,27,56,1,19,5,5,2,1,1,7,--,166,40,11,217,0,--,1,377,159,164,215,215,Sumas Asentadas sin cuadrar,1,7ccb3f7c679b3a88e7ab903d549a2e930b17c89a17483359ff503cce28badc3c,26/06/2023 05:53:47,ESCANER
22488,"Chiquimula",20,"Chiquimula",1,3506,380,0,20,16,29,52,2,29,4,3,5,0,1,0,5,166,39,16,221,0,221,--,377,156,166,221,221,Algún campo sin dato,1,743b7c7f2ad21f95cb6290f24e24be97973698ca670b713e1ab8d50fc4f04a14,26/06/2023 01:40:22,ESCANER
22489,"Chiquimula",20,"Chiquimula",1,3506,380,1,19,11,28,48,1,23,0,5,8,2,3,0,1,151,40,7,198,0,198,--,380,182,150,197,197,Sumas Asentadas sin cuadrar,1,c8d0f93f949b0fcf8eb4da9939f552e52cb5c998dbbb60962d106898dfc77f3e,25/06/2023 22:53:03,ESCANER
22490,"Chiquimula",20,"Chiquimula",1,3507,380,3,13,15,32,55,2,24,0,2,4,1,0,0,6,157,25,11,193,1,194,--,380,186,157,193,194,Algún campo sin dato,1,cc3eb460d47b2949efcbd7c068c40e30417d8a7d13956d7fecf599a87928b962,25/06/2023 23:01:37,MOVIL
22491,"Chiquimula",20,"Chiquimula",1,3507,380,3,20,19,25,39,0,12,2,4,4,0,2,0,1,131,39,13,183,1,184,--,377,193,131,183,184,Algún campo sin dato,1,548f51b91a0f18925a108e2a7bc9f1f1c456c4e2aaa2035cd702478735e5574f,25/06/2023 23:09:13,MOVIL
22492,"Chiquimula",20,"Chiquimula",1,3507,203,0,17,5,9,37,0,10,2,0,2,1,0,0,2,85,4,5,94,1,95,--,200,105,85,94,95,Algún campo sin dato,1,d43c2cdd3e6caab49b922da703f732d479d37d40c7008adcca4f7ce98427f0b4,25/06/2023 22:14:01,MOVIL
22493,"Chiquimula",20,"Chiquimula",1,3507,202,1,5,8,15,35,1,7,0,0,3,1,2,0,2,80,5,4,89,0,89,--,202,113,80,89,89,Algún campo sin dato,1,832e321ecbb43cc4053dc070942c8481563b1afbda8c6fbe3f51c70042ab9c09,25/06/2023 21:41:43,MOVIL
22494,"Chiquimula",20,"Chiquimula",1,3508,380,4,7,3,21,53,1,14,0,1,13,6,3,2,16,143,30,2,176,0,176,--,377,201,144,176,176,Sumas Asentadas sin cuadrar,1,dfb23f4239d5011e6f4a1836323d8f38cca65a45d7fa298e1d1b70b5c42dabe8,25/06/2023 23:56:46,ESCANER
22495,"Chiquimula",20,"Chiquimula",1,3508,380,5,12,2,36,42,1,26,0,1,10,2,1,1,19,158,32,5,195,0,195,--,380,185,158,195,195,Algún campo sin dato,1,6dffe3b4f320fe6c161428a0bad6797b3bc3757a5a343ecd3fca393de93f7f83,26/06/2023 00:49:39,ESCANER
22496,"Chiquimula",20,"Chiquimula",1,3508,380,3,5,7,27,39,0,21,1,0,13,0,3,0,4,123,17,4,144,0,144,--,380,236,123,144,144,Algún campo sin dato,1,0742956d6ba10495240cbf83c296a82db044137db61b59779f573e17addeb292,26/06/2023 00:13:15,ESCANER
22497,"Chiquimula",20,"Chiquimula",1,3508,380,2,20,6,20,46,2,19,0,0,12,2,1,1,15,146,22,3,171,1,172,--,380,208,146,171,172,Algún campo sin dato,1,6c88c8610157421694d4fea31a087e9b12312974d9342569bf2433403c13e8a8,26/06/2023 03:24:02,ESCANER
22498,"Chiquimula",20,"Chiquimula",1,3508,380,2,7,0,19,56,1,16,2,2,6,2,0,1,12,126,22,2,150,0,150,--,379,229,126,150,150,Algún campo sin dato,1,c899a999f762c8045bfbc1cf2f2f82fc99dcda3bf1a560a2a88280d5136445b0,25/06/2023 22:57:40,ESCANER
