TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,31252,20761,66.4309

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,AZUL,ELEFANTE,TODOS,PODEMOS,CABAL,VOS,MI FAMILIA,P A N,URNG-MAIZ WINAQ,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22733,"Chiquimula",20,"Camotán",5,3557,380,90,61,7,55,2,1,1,1,0,0,0,23,241,15,7,263,0,263,--,380,117,241,263,263,Algún campo sin dato,1,4faf07c0b6f03ecfbaefa73ec759c0f6fbe7304e92dd9de75a114f21cee75766,26/06/2023 03:32:12,ESCANER
22734,"Chiquimula",20,"Camotán",5,3557,380,90,61,11,74,2,0,2,1,0,0,1,33,275,17,9,301,0,301,--,380,79,275,301,301,Algún campo sin dato,1,a50238f370512b6aeab424acbb0bd14d31e7b84c55bc088b599f2058d77dfd52,26/06/2023 02:23:02,ESCANER
22735,"Chiquimula",20,"Camotán",5,3557,380,80,46,7,63,3,2,0,0,0,0,1,21,223,1,4,228,12,240,4,377,140,223,228,240,,1,de4c59498d33da7751b46db2f91ae605781bbf2c305b0640cdcd1e04ae018280,26/06/2023 02:24:32,ESCANER
22736,"Chiquimula",20,"Camotán",5,3558,337,65,43,11,58,2,0,1,0,0,1,1,21,203,10,2,215,0,215,8,337,122,203,215,215,,1,c8e57ea9504b141f7688bc81904ddfe68a01a31930cac5530fc8dcfef604a360,26/06/2023 00:16:40,MOVIL
22737,"Chiquimula",20,"Camotán",5,3558,337,70,57,11,44,0,0,1,0,0,0,0,9,192,2,2,196,0,196,2,334,136,192,196,196,,1,7041ad4fab4cfe6de7b9605633e413493d7c2b78cb95866a69e5de598cb5e865,26/06/2023 03:08:21,ESCANER
22738,"Chiquimula",20,"Camotán",5,3559,380,129,47,2,76,2,0,2,0,0,0,0,1,259,12,4,275,0,275,--,377,102,259,275,275,Algún campo sin dato,1,dda5abe5c2b0e0544c10c1faff611f25dd39af9104be16c3b27a3d286d312d3d,26/06/2023 01:48:39,ESCANER
22739,"Chiquimula",20,"Camotán",5,3559,380,134,58,1,90,6,0,0,1,0,1,0,3,294,22,7,323,0,323,--,380,57,294,323,323,Algún campo sin dato,1,5eb5617ffbaa3f135583c400926135e4f2bf5be2416929a9e3aeb13bf284e2d6,26/06/2023 02:01:54,ESCANER
22740,"Chiquimula",20,"Camotán",5,3559,380,94,56,3,96,3,0,2,0,2,0,1,1,258,24,4,286,0,286,--,377,91,258,286,286,Algún campo sin dato,1,e68c0d943946fbb14c1729cabf0434c2d1dcbad96ff013b00667678f378c1b24,26/06/2023 03:30:00,ESCANER
22741,"Chiquimula",20,"Camotán",5,3559,380,86,36,5,78,2,0,3,0,0,0,0,2,212,19,8,239,0,239,--,380,141,212,239,239,Algún campo sin dato,1,10dbc489eb334fa76678b9976e999698d349705e4e1c8e8d8f0a2251cc31177d,26/06/2023 02:13:37,ESCANER
22742,"Chiquimula",20,"Camotán",5,3560,349,98,42,1,72,2,2,1,0,0,0,0,1,219,4,0,223,0,223,1,349,126,219,223,223,,1,efe44657569a8db93713a0446d295874b596934cb2936070b6e9f599f25d32bd,25/06/2023 23:28:03,ESCANER
22743,"Chiquimula",20,"Camotán",5,3560,348,79,40,0,73,3,0,1,0,0,0,0,2,213,7,8,228,0,228,--,350,137,198,213,213,Sumas Asentadas sin cuadrar,1,58ddf972f2872d463c33d0c9b15242f3fac4e1c00ae9118a8c1c511c816e725d,26/06/2023 03:21:46,ESCANER
22744,"Chiquimula",20,"Camotán",5,3561,380,47,33,23,112,1,0,2,0,0,0,0,7,226,24,7,257,0,257,--,380,123,225,256,256,Sumas Asentadas sin cuadrar,1,7ad3334f919b39c24d1bc7ef66132138cdf6c9dea3bc67ff5ba7137a0a9cb45a,26/06/2023 05:01:50,ESCANER
22745,"Chiquimula",20,"Camotán",5,3561,380,52,23,31,142,3,1,2,0,0,1,0,1,256,15,8,279,0,279,--,380,101,256,279,279,Algún campo sin dato,1,d9fd2a2262d6e5250984bea550941dbcfec96869b5c9c6cfdcdf08b2f214f367,26/06/2023 04:04:04,ESCANER
