TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
57,57,100.0000,57,100.0000,0,21598,12745,59.0100

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,VAMOS,MLP,UNE,VIVA,ELEFANTE,PIN,TODOS,UR,PPN,BIEN,CREO,URNG-MAIZ WINAQ SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12991,"Retalhuleu",11,"Champerico",7,1774,380,26,32,18,25,16,29,1,0,2,0,58,0,1,5,213,13,3,229,0,229,--,384,155,213,229,229,Algún campo sin dato,1,c2c9ac8353be2266fdd07a05ea325d616b9e218e26d1f2c52c2672a10faa2ed0,25/06/2023 22:29:51,ESCANER
12992,"Retalhuleu",11,"Champerico",7,1774,380,24,30,34,14,11,26,1,0,0,0,51,0,1,5,197,11,2,210,0,210,--,380,170,197,210,210,Algún campo sin dato,1,117854d6794f7e0758f7cbee0b914bdc1e6fbed4362e67cd703fe26096a0d475,25/06/2023 22:16:35,ESCANER
12993,"Retalhuleu",11,"Champerico",7,1774,361,36,40,26,9,15,39,1,0,0,0,54,0,0,5,225,8,0,233,0,233,--,365,132,225,233,233,Algún campo sin dato,1,0fea9093c67f223c535cc8e8ac46f0293ad0b6c1c8ce9971816b443cb4df15dd,25/06/2023 22:22:45,ESCANER
12994,"Retalhuleu",11,"Champerico",7,1774,361,30,21,17,32,11,18,2,0,1,0,38,0,0,3,173,8,1,182,0,182,--,361,179,173,182,182,Algún campo sin dato,1,72b22eb056480138751ecf119234d08bd83ab18b2b9224187aca639f82dd0b6b,26/06/2023 03:27:56,ESCANER
12995,"Retalhuleu",11,"Champerico",7,1775,380,6,19,13,111,9,17,6,0,0,3,15,1,0,29,229,26,9,264,0,264,--,384,120,229,264,264,Algún campo sin dato,1,913aacc8bab5531b11317844f7f21b6b7b28856d20830ee1bd7b54aa468de579,25/06/2023 23:27:14,ESCANER
12996,"Retalhuleu",11,"Champerico",7,1775,380,11,15,13,46,12,21,1,0,2,1,20,0,1,65,208,27,6,241,0,241,--,384,143,208,241,241,Algún campo sin dato,1,e2bbe89bd511f4ec96b1f8283125d218fe2a985dd50678903b9f2470edef17f5,26/06/2023 00:28:14,ESCANER
12997,"Retalhuleu",11,"Champerico",7,1775,380,12,15,16,65,14,12,1,0,1,0,19,0,0,34,189,14,7,210,0,210,--,383,173,189,210,210,Algún campo sin dato,1,9cf1084401d72ae3d36a170c2ec98e167be7ea799668aecf0e393a9ec5d7fdd4,26/06/2023 00:48:54,ESCANER
12998,"Retalhuleu",11,"Champerico",7,1775,380,16,18,20,35,13,16,3,3,1,1,28,3,1,32,190,12,2,204,0,204,--,384,180,190,204,204,Algún campo sin dato,1,991db9d062d8ae75d038bd6adb276b46c5ff250d0e9a424fb0460752b170c99c,26/06/2023 00:40:52,ESCANER
12999,"Retalhuleu",11,"Champerico",7,1775,223,6,8,13,43,15,11,1,0,0,0,13,0,0,17,127,4,3,134,0,134,--,227,93,127,134,134,Algún campo sin dato,1,eaee8d3885865613f1f94d701af186771bdb6f04877b2bc15a05c2410f60394e,25/06/2023 22:05:24,ESCANER
13000,"Retalhuleu",11,"Champerico",7,1775,223,16,3,12,39,5,16,0,0,0,0,11,0,0,16,118,3,1,122,0,122,--,223,101,118,122,122,Algún campo sin dato,1,3d15b48ed39aa73861db9eb9b6d63dcc01c794af1cd033e9fd447340cedd7393,25/06/2023 23:20:53,ESCANER
13001,"Retalhuleu",11,"Champerico",7,1776,600,17,21,11,5,7,39,4,0,0,0,12,1,0,8,125,13,6,144,0,144,--,600,456,125,144,144,Algún campo sin dato,1,f58545e51aeeb5682cbacd0de7031705298a364bdc55aa0c691ec31be17798bd,25/06/2023 22:35:00,ESCANER
13002,"Retalhuleu",11,"Champerico",7,1776,411,7,10,5,3,6,15,1,0,0,0,6,4,1,4,62,3,0,65,0,65,--,412,347,62,65,65,Algún campo sin dato,1,a8209c943f5073a0938b8327e47c66a0f63c2a7d9297209f6c500b584113e509,25/06/2023 22:47:24,ESCANER
13003,"Retalhuleu",11,"Champerico",7,1776,410,4,4,2,1,2,6,2,0,0,0,2,1,0,1,25,1,0,26,--,26,--,414,388,25,26,26,Algún campo sin dato,1,1ef4862840814b78904ba264770a4c8e81ad4fab14ce79af6ba6793af5c41129,25/06/2023 22:03:25,ESCANER
