TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
745,745,100.0000,742,99.5973,3,296306,186114,62.8114

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPG,TODOS,VAMOS,AZUL,UNIONISTA,WINAQ,CAMBIO,PPN,VIVA,CABAL,MLP,PIN,ELEFANTE,P A N,VICTORIA,PODEMOS,CREO,VALOR,FCN-NACION,UR,BIEN,SEMILLA,VOS,MI FAMILIA,PHG,PODER,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2771,"Guatemala",1,"Mixco",8,250,400,98,5,7,28,3,2,7,12,6,10,0,1,7,2,15,1,2,11,0,9,6,11,9,1,14,1,3,271,9,2,282,0,282,--,400,118,271,282,282,Algún campo sin dato,1,25f1e9066c141c36e3a6c142eb000b604013c21efde7e1c83c3b5f094b099367,26/06/2023 00:52:38,ESCANER
2772,"Guatemala",1,"Mixco",8,250,400,92,0,9,39,1,3,9,12,10,5,0,0,6,2,5,5,12,1,6,3,4,4,3,0,13,0,3,252,9,2,263,0,263,--,400,137,247,258,258,Sumas Asentadas sin cuadrar,1,cb8e1bbf769d57b6dd3b9bd1b1e19b332fc0b8558e934276de793126f39017ff,26/06/2023 01:50:54,ESCANER
2773,"Guatemala",1,"Mixco",8,250,400,79,1,19,30,3,7,9,8,13,6,1,1,8,3,8,1,1,13,0,7,1,15,6,2,23,1,7,272,14,1,287,0,287,--,400,113,273,288,288,Sumas Asentadas sin cuadrar,1,2edbb93aa49b4afc30c2f90e6b01ecb78ce6b5b070c0bd2c8182d3ce3098317a,26/06/2023 01:49:23,ESCANER
2774,"Guatemala",1,"Mixco",8,251,400,94,4,8,24,4,0,7,4,7,12,0,2,1,2,13,2,1,13,0,16,3,10,2,2,13,0,5,249,18,2,269,131,400,--,400,131,249,269,400,Algún campo sin dato,1,8b9958b5b5824abf66839039b48a6256701323b667bb9869306656effc90fb44,26/06/2023 00:26:54,ESCANER
2775,"Guatemala",1,"Mixco",8,251,400,93,2,5,32,4,1,7,16,8,9,0,3,5,3,15,0,1,11,0,11,3,12,3,1,13,0,4,262,19,2,283,0,283,--,400,117,262,283,283,Algún campo sin dato,1,81a5ba68602534f5dba094f070425119812a3a587c7799196dd04ef50460e85b,25/06/2023 23:51:39,ESCANER
2776,"Guatemala",1,"Mixco",8,252,400,87,6,6,29,2,1,8,9,9,3,2,0,3,0,13,5,6,16,1,8,5,15,4,1,11,0,1,251,13,4,268,0,268,--,400,132,251,268,268,Algún campo sin dato,1,963c91365cfda3917cdefb1705ffa673865589a0efea5d0456579027a9bc67d9,26/06/2023 01:24:49,ESCANER
2777,"Guatemala",1,"Mixco",8,252,400,88,2,7,28,4,4,6,5,11,7,1,0,7,0,9,3,7,8,0,13,2,7,5,0,21,0,5,250,21,1,272,0,272,--,404,132,250,272,272,Algún campo sin dato,1,8c2924dfada1e5101b99b7609b25a33b94e954fa26619cfe7a83990b9a395a13,26/06/2023 00:49:01,ESCANER
2778,"Guatemala",1,"Mixco",8,252,400,90,4,9,29,3,2,9,12,5,1,0,0,3,1,15,2,1,5,0,13,0,9,2,1,13,0,5,235,18,1,254,0,254,--,400,146,234,253,253,Sumas Asentadas sin cuadrar,1,cab056060b14038e231ac90c5b013d0a528f559793e41f267647609eac1b6550,26/06/2023 02:00:37,ESCANER
2779,"Guatemala",1,"Mixco",8,252,400,88,2,11,35,3,4,7,9,7,15,2,1,2,0,11,1,3,9,0,8,1,9,6,0,12,0,7,253,12,3,268,0,268,--,401,133,253,268,268,Algún campo sin dato,1,44571d9e6158105618472c0cb18c43fd409ec2b212880a08a1b9ba535cf8e19c,26/06/2023 01:30:51,ESCANER
2780,"Guatemala",1,"Mixco",8,252,400,100,6,10,22,2,2,7,6,13,5,3,0,4,1,12,0,2,15,0,5,3,11,9,2,15,0,3,258,12,0,270,0,270,--,400,130,258,270,270,Algún campo sin dato,1,668f7af7b2410a0e5b1a81aecff07273f5c9f7f52337d8092d34b06a09555e7e,26/06/2023 02:23:50,ESCANER
