TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
162,162,100.0000,161,99.3827,1,60558,34654,57.2244

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,UNE,ELEFANTE,VIVA,CAMBIO,BIEN,PPN,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21698,"Izabal",18,"Morales",4,3365,380,68,36,34,3,12,6,10,0,2,0,4,175,24,8,207,0,207,--,381,174,175,207,207,Algún campo sin dato,1,db537d86ac871f310e47671eb18ddd7d7dd66cb91c4623ddcab4cae4dbb0605a,26/06/2023 01:54:23,ESCANER
21699,"Izabal",18,"Morales",4,3365,380,71,45,50,2,10,6,9,0,0,1,1,195,16,1,212,0,212,--,280,168,195,212,212,Algún campo sin dato,1,c75d5a1fa1bda9920098049a87d2558f174ec9800ab14cd0e135be19353f34e9,26/06/2023 01:39:30,ESCANER
21700,"Izabal",18,"Morales",4,3365,283,66,30,45,6,4,1,4,0,0,0,0,159,7,1,167,0,167,--,283,116,156,164,164,Sumas Asentadas sin cuadrar,1,40991286739be98895b3f5f9565b1aa604c99af820b60ff48442a5f5bc77c0e8,26/06/2023 01:19:25,ESCANER
21701,"Izabal",18,"Morales",4,3365,283,38,22,28,3,4,0,6,0,0,0,1,102,11,1,114,0,114,--,283,169,102,114,114,Algún campo sin dato,1,36d8ea8332e0107e69a0aff8cedfeacf8e52d7123975f07314b9c7034f63add6,25/06/2023 23:31:55,ESCANER
21702,"Izabal",18,"Morales",4,3366,380,62,30,85,0,28,2,0,1,2,0,3,213,27,4,244,0,244,--,380,136,213,244,244,Algún campo sin dato,1,247477642ffe1a26da052d65ad6cc48d2f5422f990ae1cf350fcfb57cf9e3bec,26/06/2023 00:33:52,ESCANER
21703,"Izabal",18,"Morales",4,3366,380,73,24,62,2,49,3,5,1,2,1,1,223,27,4,254,0,254,--,380,126,223,254,254,Algún campo sin dato,1,27fe33e6a796dc78aeb0819c453ed3f27e49e7f19fe78140f8184b3d8c7e9c9e,26/06/2023 00:24:00,ESCANER
21704,"Izabal",18,"Morales",4,3366,380,90,17,74,0,22,6,5,0,1,0,0,215,19,3,237,0,237,--,380,143,215,237,237,Algún campo sin dato,1,57a74edb602c20a6749d2f4dedf1b00d68d32684f0b6e725a095b07338c786d3,25/06/2023 23:44:40,ESCANER
21705,"Izabal",18,"Morales",4,3366,380,62,19,80,0,35,3,4,0,0,2,1,206,25,7,238,0,238,--,380,142,206,238,238,Algún campo sin dato,1,fa40af248697d778413df100729ee19bbf38094b264c69a31c2e563fd7740d18,26/06/2023 00:40:57,ESCANER
21706,"Izabal",18,"Morales",4,3366,380,69,24,85,0,20,3,4,1,0,1,1,208,13,6,227,0,227,--,380,153,208,227,227,Algún campo sin dato,1,d93d2004a102a3a87359eb66d6c6200ea8064f1120eecab16ec542f8fb6b598b,26/06/2023 01:31:15,ESCANER
21707,"Izabal",18,"Morales",4,3366,380,65,27,81,0,29,4,5,0,3,2,1,217,19,6,242,0,242,--,380,138,217,242,242,Algún campo sin dato,1,2870c0244c3c17f73b2e522ed87bf89e6efb605f842f9e423d38763ae59efaa2,26/06/2023 02:26:59,ESCANER
