TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
85,85,100.0000,85,100.0000,0,33332,18504,55.5142

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,COCIMI,CABAL,AZUL,CAMBIO,UNE,VALOR,VOS,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23966,"Jutiapa",22,"Asunción Mita",5,3758,380,81,60,37,3,7,29,0,1,218,9,2,229,0,229,--,380,151,218,229,229,Algún campo sin dato,1,69b30362c446e723862cd32c003c597d68ebef93d32b1bbd4a85ed27b225cafe,25/06/2023 22:20:33,ESCANER
23967,"Jutiapa",22,"Asunción Mita",5,3758,380,67,61,24,5,7,34,1,0,199,12,3,214,0,214,--,380,166,199,214,214,Algún campo sin dato,1,4781b325fffc74e308cd0f5dce285789476429cd94ff3fb17d8752b3f66b8d8e,26/06/2023 00:26:18,ESCANER
23968,"Jutiapa",22,"Asunción Mita",5,3758,380,67,63,31,9,6,38,1,0,215,5,1,221,0,221,--,380,159,215,221,221,Algún campo sin dato,1,2de7a8d7a93d59fac8fbadeffb5aed9d0b54388080c0046c05183eb736b7b813,25/06/2023 23:01:04,ESCANER
23969,"Jutiapa",22,"Asunción Mita",5,3758,380,57,62,31,4,3,38,2,0,197,4,0,201,0,201,--,380,179,197,201,201,Algún campo sin dato,1,fd7c1f1227d33968ed993fe764c548f3ece88b2f865586837a2a800a41b95931,25/06/2023 22:42:21,ESCANER
23970,"Jutiapa",22,"Asunción Mita",5,3758,380,66,51,17,2,6,45,1,1,189,10,2,201,--,201,--,380,176,189,201,201,Algún campo sin dato,1,f702497c67fb5373d987ff19e8629584370afa31e0a98ae202ad16859bb7ba1e,26/06/2023 00:14:41,ESCANER
23971,"Jutiapa",22,"Asunción Mita",5,3758,380,66,50,24,5,6,58,0,0,209,1,2,212,0,212,--,380,168,209,212,212,Algún campo sin dato,1,ff1b229c330305c6d6578bcdf1947e333ce549d197eff6a3f9eee7e04447c869,26/06/2023 00:10:03,ESCANER
23972,"Jutiapa",22,"Asunción Mita",5,3758,380,59,50,33,6,6,46,1,0,201,4,1,206,0,206,--,380,174,201,206,206,Algún campo sin dato,1,b4132f46a146a64ebd2222940806ace552b644c09436f361ffbe1c51182dc840,26/06/2023 00:23:15,ESCANER
23973,"Jutiapa",22,"Asunción Mita",5,3758,208,33,20,19,1,0,21,1,0,95,7,2,104,0,104,--,208,104,95,104,104,Algún campo sin dato,1,cbfb63753b4b65e2e4a2a6ba2fdbf82e52cb9d4b573bb2e5727f04bf717df824,25/06/2023 22:24:50,ESCANER
23974,"Jutiapa",22,"Asunción Mita",5,3758,208,21,9,12,2,4,15,0,0,63,3,0,66,0,66,--,208,142,63,66,66,Algún campo sin dato,1,ab0302fb64f922669275fb495abe97a93bb98472cef16e270a4dadcb446e50d5,25/06/2023 21:13:10,ESCANER
23975,"Jutiapa",22,"Asunción Mita",5,3759,600,85,35,10,7,6,46,2,1,192,12,2,206,0,206,--,600,394,192,206,206,Algún campo sin dato,1,759e43b0172375e9a317cd67409b0e090b1eec340cbb99c05d1e22b1ae3ea4aa,26/06/2023 00:32:18,ESCANER
23976,"Jutiapa",22,"Asunción Mita",5,3759,600,97,42,10,11,4,36,2,1,203,7,2,212,0,212,--,600,388,203,212,212,Algún campo sin dato,1,948dcefd72d7c12c7aa20c1ec99da288d24f40b24525c794c3a9c73593c05a48,25/06/2023 23:43:42,ESCANER
23977,"Jutiapa",22,"Asunción Mita",5,3759,600,99,43,8,8,7,46,0,2,213,13,2,228,0,228,--,600,369,213,228,228,Algún campo sin dato,1,47b4d706b21ee6e4e6f5bd20d7c2813843bbb680314acc4fe6cf5e775cd0a17e,26/06/2023 02:44:11,ESCANER
23978,"Jutiapa",22,"Asunción Mita",5,3759,600,100,36,12,5,6,41,1,1,202,15,2,219,0,219,--,600,381,202,219,219,Algún campo sin dato,1,da537ca1278ab3c983a3bba5bfef951769245b9981982b1b91e38ba0d069caf8,26/06/2023 01:32:17,ESCANER
23979,"Jutiapa",22,"Asunción Mita",5,3759,600,45,22,7,5,4,18,0,1,102,3,3,108,0,108,--,599,491,102,108,108,Algún campo sin dato,1,fdbf2d4c6ec4641940fdf41774f6e28cde608cbb1a1fe1bb95e3b6b04cac97d3,26/06/2023 00:27:10,ESCANER
23980,"Jutiapa",22,"Asunción Mita",5,3759,600,22,7,4,1,2,7,0,0,43,2,0,45,0,45,--,600,555,43,45,45,Algún campo sin dato,1,5fcfdbcb861971641e6e23a8471a95a9bb1ecd7f09709d8788b7a76d23441602,25/06/2023 22:51:10,ESCANER
23981,"Jutiapa",22,"Asunción Mita",5,3759,341,6,6,1,1,1,4,0,0,19,0,0,19,0,19,--,338,319,19,19,19,Algún campo sin dato,1,d2f905eecacc969486282ca98ae73db79208a9e074366be0b0bfabcf0582a367,25/06/2023 22:29:43,ESCANER
23982,"Jutiapa",22,"Asunción Mita",5,3759,340,8,3,1,1,1,3,0,0,17,0,0,17,0,17,--,340,323,17,17,17,Algún campo sin dato,1,2ccd705c6902115b1326858ba8742b23469159ebbd6571eaef15767dd477a28f,25/06/2023 21:36:34,ESCANER
