TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
88,88,100.0000,87,98.8636,1,31971,25329,79.2249

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,AZUL,VAMOS,PHG,VIVA,CABAL,VICTORIA,UNE,CAMBIO,FCN-NACION,MLP,VALOR,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19800,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,100,0,95,20,4,0,64,15,1,0,0,0,2,301,13,9,323,0,323,--,380,57,301,323,323,Algún campo sin dato,1,01b8e4352d13b49499389e6bd557422771db5c648d46695fa084f7af1863389c,26/06/2023 02:00:11,ESCANER
19801,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,113,2,98,15,4,1,77,11,0,3,0,0,1,325,8,2,335,0,335,--,380,45,325,335,335,Algún campo sin dato,1,52def1561d654bebb375befa50d3e10f04ec613adb41e919bf8c645f29870590,26/06/2023 00:05:15,ESCANER
19802,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,103,0,87,23,3,0,78,24,1,1,0,0,1,321,5,4,330,0,330,--,380,49,321,330,330,Algún campo sin dato,1,fb2ce6a7447a407ad5668515aeac05a58786f670b1206f4b8d08b29f79898e8b,26/06/2023 01:01:25,ESCANER
19803,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,125,0,68,22,1,0,66,13,1,0,0,1,1,298,7,4,309,0,309,--,380,71,298,309,309,Algún campo sin dato,1,a6398e84a5b456993217f374e8acc95c665282587d3ccc6ad165e19ae1e86b04,25/06/2023 23:45:56,ESCANER
19804,"Alta Verapaz",16,"San Juan Chamelco",10,3029,380,94,0,85,19,4,1,81,10,0,0,0,2,0,296,5,3,304,0,304,--,380,76,296,304,304,Algún campo sin dato,1,794784f50843cf6e17a418c466141bf69aa58e4db42594e8eb6c9cef3cad896f,26/06/2023 01:58:06,ESCANER
19805,"Alta Verapaz",16,"San Juan Chamelco",10,3030,380,106,0,81,15,1,0,69,14,0,1,0,1,0,288,2,0,290,0,290,--,380,90,288,290,290,Algún campo sin dato,1,92b8c721c3d2d70d3b211f8eea4bd2630e817f64fa9e4c728ac318bcc115e39a,26/06/2023 00:07:28,ESCANER
19806,"Alta Verapaz",16,"San Juan Chamelco",10,3030,236,71,0,54,11,1,0,39,8,0,2,1,0,0,187,2,1,190,0,190,--,236,46,187,190,190,Algún campo sin dato,1,7bab52dd1a449ee401e59773374d507def4735543d4b3d56d91794e2a0f1acae,25/06/2023 23:35:19,ESCANER
19807,"Alta Verapaz",16,"San Juan Chamelco",10,3030,236,72,0,37,10,9,1,40,6,0,0,0,0,0,175,3,3,181,0,181,--,236,55,175,181,181,Algún campo sin dato,1,9aabe6bfc44cd7a2d7e717d4b3173d6ba58789370127f8ac1db985ef1d12bf0a,25/06/2023 22:49:25,ESCANER
19808,"Alta Verapaz",16,"San Juan Chamelco",10,3031,380,94,2,52,13,7,2,105,15,0,1,1,1,1,294,37,12,343,0,343,--,380,37,294,343,343,Algún campo sin dato,1,b6f1ae81c3ebdd84c42776492314079e3774259e4025f6498de5bca70893e298,26/06/2023 00:09:00,ESCANER
19809,"Alta Verapaz",16,"San Juan Chamelco",10,3031,380,95,0,51,17,17,1,75,18,0,2,0,1,2,279,21,11,311,0,311,--,377,66,279,311,311,Algún campo sin dato,1,cc38eae73df1befc8c9b6f2c12f3c9668dd7b245100f927233d72757692ebd3c,26/06/2023 03:21:18,ESCANER
19810,"Alta Verapaz",16,"San Juan Chamelco",10,3032,380,92,2,43,17,8,1,98,16,0,1,0,1,2,281,30,4,315,0,--,2,380,63,281,315,315,Algún campo sin dato,1,40ba28b86dace939de44cb7505c81fc90da02a46431f6b55a762aedb2df32777,26/06/2023 02:42:12,ESCANER
19811,"Alta Verapaz",16,"San Juan Chamelco",10,3032,324,86,2,43,13,13,0,47,14,0,0,0,2,3,223,10,7,240,--,240,--,324,84,223,240,240,Algún campo sin dato,1,1dab4f86078130eed6f256bbd67c6bc9a30c1ffeab2a27592dc07b6cdf8b01e3,26/06/2023 02:24:58,ESCANER
