TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
138,138,100.0000,138,100.0000,0,52409,37118,70.8237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,SUD,U R N G - MAIZ,TICC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9141,"Sololá",7,"Sololá",1,1115,380,58,108,88,3,257,5,0,262,0,262,--,380,118,257,262,262,Algún campo sin dato,1,5d500ee79e8e884a92da094989ea6dc96ab8cf55392c3ad8f6e2f252dec9bdde,26/06/2023 02:10:25,MOVIL
9142,"Sololá",7,"Sololá",1,1116,380,40,98,82,7,227,1,0,228,0,228,--,380,152,227,228,228,Algún campo sin dato,1,e33acd9ddfc1934be4443a9d35f5cb69f5ca5ba7a28f9a8ff2ab6b0f2d5dcbef,26/06/2023 02:17:46,MOVIL
9143,"Sololá",7,"Sololá",1,1116,380,56,98,66,3,223,0,0,223,0,223,--,380,157,223,223,223,Algún campo sin dato,1,61847c033f86a399566a755b2d8ae1b3fd8d62705ca707653712a2552df4d106,26/06/2023 02:31:06,MOVIL
9144,"Sololá",7,"Sololá",1,1116,380,31,82,112,3,228,0,1,229,0,229,--,380,151,228,229,229,Algún campo sin dato,1,7849540db2c57f2235f623841cd123b7e77a4582f5b395e2831ed741a27ae60f,25/06/2023 23:08:09,ESCANER
9145,"Sololá",7,"Sololá",1,1116,380,59,98,72,4,233,0,1,234,0,234,--,380,146,233,234,234,Algún campo sin dato,1,76fb7f76cb33b48f5e369ceaf6a3d24d6af0e5d1e2200cc9e68ae68b637066b9,26/06/2023 02:01:00,MOVIL
9146,"Sololá",7,"Sololá",1,1116,222,29,54,55,3,141,5,2,148,70,218,--,218,70,141,148,218,Algún campo sin dato,1,f2b8cfb3eb51f1b1c4e53558e2b33faaa5f6e1dcd8b5717b1f713437a2993b67,26/06/2023 01:31:54,MOVIL
9147,"Sololá",7,"Sololá",1,1116,221,34,55,63,3,155,4,2,161,0,161,--,221,60,155,161,161,Algún campo sin dato,1,6ac5f21ff9a7900972f19b25be9ea8bc74deda2e120d00a3157a22388897e55d,25/06/2023 23:30:53,ESCANER
9148,"Sololá",7,"Sololá",1,1117,380,67,109,93,7,276,14,7,297,0,297,--,380,83,276,297,297,Algún campo sin dato,1,0312b4ceecb7a3b7cc723f3cd2edfd59445c49e55bdf0c66de2c8a2af91919dd,25/06/2023 23:18:27,ESCANER
9149,"Sololá",7,"Sololá",1,1117,380,61,103,124,4,292,11,5,308,0,308,--,381,73,292,308,308,Algún campo sin dato,1,9cb75b6818fcb11fd11ea8f973fd795bb95fe9e61121cdeeccdd4c91f958888d,26/06/2023 00:05:18,ESCANER
9150,"Sololá",7,"Sololá",1,1117,380,99,154,44,10,307,5,5,317,0,317,--,377,60,307,317,317,Algún campo sin dato,1,2ff7be0ae4b7b4c451f591222c4cf997bf406e6ff6629539b4dbd509c02bd7fe,26/06/2023 01:05:05,ESCANER
9151,"Sololá",7,"Sololá",1,1117,380,81,56,149,2,288,7,2,297,0,297,--,380,83,288,297,297,Algún campo sin dato,1,887d1d9e1605866480cbe8ce76ea19a6debd5a32f55df1c86c0227b917e8032a,25/06/2023 23:52:14,ESCANER
