TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
90,90,100.0000,90,100.0000,0,33942,18900,55.6832

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,PPG,UNE,WINAQ,AZUL,PODEMOS,MLP,VICTORIA,P A N,CREO,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2657,"Guatemala",1,"San Pedro Ayampuc",7,236,380,48,17,41,10,33,18,5,8,8,3,5,17,1,0,214,12,1,227,0,227,--,380,153,214,227,227,Algún campo sin dato,1,23f4d412a2f276e37c7f1e3168c3c13b7843be9a96b64c289aca9c1d6d8ba0d0,25/06/2023 23:53:29,ESCANER
2658,"Guatemala",1,"San Pedro Ayampuc",7,236,380,54,11,51,5,32,13,1,13,6,4,2,10,4,4,210,32,1,243,0,243,--,380,137,210,243,243,Algún campo sin dato,1,9442bc867b4003d40ec013dd623757341b1277b7fd73663c56b81cff2e3ad5a6,26/06/2023 01:08:22,ESCANER
2659,"Guatemala",1,"San Pedro Ayampuc",7,236,380,51,18,46,6,31,8,10,7,5,4,1,15,4,3,209,22,1,232,0,232,--,381,149,209,232,232,Algún campo sin dato,1,9d64e336257e7720a598c9f8bcc562a62daa8539f0de30d66e10bdd1e2c854c4,26/06/2023 01:28:36,ESCANER
2660,"Guatemala",1,"San Pedro Ayampuc",7,236,380,49,12,55,5,23,6,5,11,6,4,4,8,7,3,198,22,2,222,0,222,--,396,174,198,222,222,Algún campo sin dato,1,74ba0d8170724486198cb12b4dedd908e06c4cdd188b0c19239eda17b1095d87,26/06/2023 00:18:11,ESCANER
2661,"Guatemala",1,"San Pedro Ayampuc",7,236,380,17,15,0,3,25,6,5,8,0,3,5,7,11,6,161,13,13,229,151,380,--,380,151,111,137,288,Sumas Asentadas sin cuadrar,1,8983a692b28e9fa3e83a81a082fcbb7fb7795af7aeda03ee4bfa4e02c82dbc36,26/06/2023 03:41:56,ESCANER
2662,"Guatemala",1,"San Pedro Ayampuc",7,236,380,50,9,60,2,26,14,8,14,8,1,4,12,9,0,217,16,1,234,0,234,--,380,146,217,234,234,Algún campo sin dato,1,947d774309fe853fece3a5eb5b99d031f25fffb34aab79687f320e56988cad32,25/06/2023 23:13:14,ESCANER
2663,"Guatemala",1,"San Pedro Ayampuc",7,236,380,49,13,64,6,26,15,5,13,12,3,0,14,3,3,226,20,2,248,0,248,1,380,132,226,248,248,,1,e369c763a2498c93830b814d01f934be20f9d699e29cd119a8c092b6af97687b,26/06/2023 01:35:57,ESCANER
2664,"Guatemala",1,"San Pedro Ayampuc",7,236,380,59,16,48,4,21,17,5,12,6,7,1,12,5,2,215,18,2,235,0,235,--,380,145,215,235,235,Algún campo sin dato,1,359b7676f4b2e4d27619b4defcf8ed226250689e6c0ad19f32dc99503e19ef71,25/06/2023 22:45:18,ESCANER
2665,"Guatemala",1,"San Pedro Ayampuc",7,236,380,45,12,53,5,26,9,8,11,8,8,1,18,6,2,212,25,2,239,0,239,--,380,141,212,239,239,Algún campo sin dato,1,d6d3ea1aae138e48d9494a9a5f4d66f25b6d1acfd861e842b8077442a2bd76ee,26/06/2023 01:05:37,ESCANER
2666,"Guatemala",1,"San Pedro Ayampuc",7,236,380,46,6,56,6,27,13,4,12,12,6,3,17,9,3,220,20,3,243,0,243,--,380,134,220,243,243,Algún campo sin dato,1,332921bb0822500ef330b935a969f1c9760e3d4eeb6c03b74556ac6d185af80e,26/06/2023 01:20:39,ESCANER
2667,"Guatemala",1,"San Pedro Ayampuc",7,236,380,57,15,63,4,23,20,4,14,7,6,0,10,5,2,230,18,0,248,0,248,--,381,133,230,248,248,Algún campo sin dato,1,cf79bb794cb40b076cbf586c7af1f5123247f2baead3de5a204686857d62cc42,25/06/2023 23:13:54,ESCANER
2668,"Guatemala",1,"San Pedro Ayampuc",7,236,380,45,17,49,7,24,12,8,15,8,3,3,16,10,1,218,15,4,237,0,237,--,380,143,218,237,237,Algún campo sin dato,1,e32f97b3c1e9dd3e522206142809a8cc29138b2d8791721f02f4b1e440f19c18,26/06/2023 00:13:42,ESCANER
