TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
95,95,100.0000,95,100.0000,0,35822,18636,52.0238

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,AZUL,UNE,CAMBIO,MLP,PODEMOS,VICTORIA,TODOS,UR,BIEN,PR,PPN,VAMOS,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7747,"Escuintla",5,"Tiquisate",6,873,280,32,40,5,16,11,1,41,2,0,0,1,7,1,0,5,1,163,9,1,173,0,173,0,280,107,163,173,173,,1,ee3a869d2b09246807ae85f1d6e21d1fcf8b9e383aff15a7e2b297395228a3dc,25/06/2023 23:17:32,ESCANER
7748,"Escuintla",5,"Tiquisate",6,873,280,35,42,7,22,9,2,34,0,0,2,0,5,2,0,2,1,163,6,0,169,0,169,0,280,111,163,169,169,,1,1b9511edf2d2bf64b8f2d7dd8ee3b1663cecceec78ebe81e6da08310fb5e28d5,26/06/2023 00:06:05,ESCANER
7749,"Escuintla",5,"Tiquisate",6,874,400,68,55,17,28,13,2,46,1,1,1,1,11,0,3,4,2,253,14,1,268,0,268,0,400,132,253,268,268,,1,55e5d71a15a5b827797ab65e90c5b99554d3ea2da547f1ded4fee6b9d49cc56f,26/06/2023 00:19:29,ESCANER
7750,"Escuintla",5,"Tiquisate",6,874,400,51,60,18,37,7,4,52,2,0,1,2,13,2,1,4,1,255,6,0,261,0,261,0,400,139,255,261,261,,1,213f690e2440b70ff960ca7bdba6714f98b644d3fdd6ee24ef11721ba8209025,26/06/2023 00:13:42,ESCANER
7751,"Escuintla",5,"Tiquisate",6,874,204,31,38,9,12,19,1,26,0,0,0,0,6,0,0,3,1,146,2,1,149,0,149,0,204,55,146,149,149,,1,1d9ecd8f00abafe534e51329950bd552463517ce220692aa417c6c903f5117fc,25/06/2023 22:42:17,ESCANER
7752,"Escuintla",5,"Tiquisate",6,874,203,26,27,8,13,8,0,24,0,0,0,0,5,1,1,2,0,115,5,1,121,0,121,0,203,82,115,121,121,,1,894487980d04fc2b67679964ed0d3a834f2a373494e85f5c5e3159f76ce6b897,25/06/2023 22:05:09,ESCANER
7753,"Escuintla",5,"Tiquisate",6,875,221,24,53,0,24,4,2,13,2,0,1,0,8,1,2,4,0,138,7,0,145,0,145,0,0,0,138,145,145,,1,fa4a35fb468ced8bfc6e0603dd61b7c75e9208fce4718c836165a4d85049ac24,25/06/2023 21:53:19,ESCANER
7754,"Escuintla",5,"Tiquisate",6,875,220,16,37,8,21,5,0,32,1,0,0,0,5,2,3,5,1,136,5,0,141,0,141,0,220,79,136,141,141,,1,f3f46633a5c1e45051609927e6e1d5c8a26bf6007321098155a625fa2e55cc07,25/06/2023 22:50:09,ESCANER
7755,"Escuintla",5,"Tiquisate",6,876,380,36,75,5,18,27,2,48,3,0,4,1,13,4,1,3,0,240,10,1,251,0,251,0,380,129,240,251,251,,1,200ea2284e999cf9bb70a9e3ba520108f0454bd2581be9d9feaefa948e7d0ff9,26/06/2023 00:50:40,ESCANER
7756,"Escuintla",5,"Tiquisate",6,877,380,18,6,6,16,2,0,153,13,1,0,0,4,1,2,2,1,225,34,2,261,0,261,0,380,119,225,261,261,,1,6d66c687fe3fd3526f1c21aa21bdd3e6d5ff06843b246b4dfe729dfbada80a1a,25/06/2023 23:17:09,ESCANER
