TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
104,104,100.0000,104,100.0000,0,38583,23091,59.8476

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,BIEN,PODEMOS,CABAL,AZUL,MI FAMILIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8688,"Santa Rosa",6,"Chiquimulilla",8,1040,321,73,0,109,2,1,22,0,0,1,208,4,2,214,9,223,--,321,98,208,214,223,Algún campo sin dato,1,9e9e28e320803cc946fe5bc903bc6917f6d12451b6baa42a473349e5d765d17a,26/06/2023 00:29:02,ESCANER
8689,"Santa Rosa",6,"Chiquimulilla",8,1040,321,68,1,73,1,0,25,0,0,2,170,11,2,183,0,183,--,321,138,170,183,183,Algún campo sin dato,1,9fb2ec1e1fc1cbae402cf30120fe714a818a6bc7121f58f6a74b172c0e356ede,26/06/2023 00:46:21,ESCANER
8690,"Santa Rosa",6,"Chiquimulilla",8,1041,400,144,1,110,3,2,11,1,2,10,284,15,1,300,0,300,--,400,100,284,300,300,Algún campo sin dato,1,85ff3f34393e322ce4bd1c8a95ea12e2411500130703ec2319715b64dd1b641e,26/06/2023 03:06:00,ESCANER
8691,"Santa Rosa",6,"Chiquimulilla",8,1041,400,142,2,125,1,1,13,1,1,12,298,14,2,314,0,314,--,400,86,298,314,314,Algún campo sin dato,1,76993efdf589388f1c4a518569525b42c680ba1278157d08e61f7a587b3b1522,26/06/2023 01:16:48,ESCANER
8692,"Santa Rosa",6,"Chiquimulilla",8,1041,400,148,1,116,0,0,12,2,0,5,284,13,0,297,0,297,--,400,103,284,297,297,Algún campo sin dato,1,7371973b5f042165f1bcba2a30f4bdb82a4c7b016e0a25ee90fce5dd93eb2be7,25/06/2023 23:16:34,ESCANER
8693,"Santa Rosa",6,"Chiquimulilla",8,1041,400,125,1,115,1,3,14,0,0,11,270,6,0,276,0,276,--,400,124,270,276,276,Algún campo sin dato,1,2f5ee66534f2641accbb5b98d3e3b86eb015a66caeb64bd666336ebe8af48aad,26/06/2023 00:28:04,ESCANER
8694,"Santa Rosa",6,"Chiquimulilla",8,1041,400,130,0,103,1,0,9,2,1,10,256,12,0,268,0,268,--,400,132,256,268,268,Algún campo sin dato,1,8ccc4a604bad3311dc053f4ba962d21fb59b22f0f4ae08a4c828222a29de4789,26/06/2023 01:13:57,ESCANER
8695,"Santa Rosa",6,"Chiquimulilla",8,1041,400,121,0,102,0,1,5,2,2,7,240,16,2,258,0,258,--,400,142,240,258,258,Algún campo sin dato,1,c171e1185be1634b5f5c081dc96a69d2945dd729b950b077dc425612755c43ff,25/06/2023 23:22:51,ESCANER
8696,"Santa Rosa",6,"Chiquimulilla",8,1041,400,121,2,97,3,2,6,1,1,8,241,9,1,251,0,251,--,400,149,241,251,251,Algún campo sin dato,1,d33e292f5c2d0d6d526d2954bfd3f2101b2d22ba181c32360e1ab657d4fbfe5d,26/06/2023 01:09:34,ESCANER
8697,"Santa Rosa",6,"Chiquimulilla",8,1041,209,87,0,46,2,1,5,0,1,2,144,2,0,146,0,146,--,209,63,144,146,146,Algún campo sin dato,1,2358adaaed8bcf1b998d39ee9e6278caee6253348e3bc2d0abcfcdcc7ce78556,26/06/2023 00:07:39,ESCANER
8698,"Santa Rosa",6,"Chiquimulilla",8,1041,209,54,1,57,0,0,4,1,1,6,124,5,3,132,0,132,--,208,76,124,132,132,Algún campo sin dato,1,1ec59a4435010387a357f8a65845b0ac89d403900aa4e7c284797f7451f3c5ec,25/06/2023 23:35:55,ESCANER
8699,"Santa Rosa",6,"Chiquimulilla",8,1042,400,120,2,137,3,0,13,1,2,7,285,16,0,301,0,301,--,401,100,285,301,301,Algún campo sin dato,1,fac0385db1e998616e32ef895d7c56fb7f8afd67305849fcbec63fbcfd388761,26/06/2023 00:27:19,ESCANER
8700,"Santa Rosa",6,"Chiquimulilla",8,1042,400,145,1,126,3,0,11,2,4,9,301,12,1,314,0,314,--,400,86,301,314,314,Algún campo sin dato,1,7d9fe8a50d19000c4b8361d8d53b5a39aef6ba0dec7ed590640cefc0bc82b411,26/06/2023 01:16:43,ESCANER
8701,"Santa Rosa",6,"Chiquimulilla",8,1042,400,125,1,125,1,0,3,2,0,6,263,6,2,271,0,271,--,400,129,263,271,271,Algún campo sin dato,1,0438cbdf8d0e4aa0e97ef7d2399cf537a3785ecd234d6badf113d1b4795a1fbd,26/06/2023 00:21:47,ESCANER
8702,"Santa Rosa",6,"Chiquimulilla",8,1042,400,135,0,124,0,1,12,1,0,13,286,15,0,301,0,301,--,400,99,286,301,301,Algún campo sin dato,1,785e798bf31265c66a0d1faa7d4f329e84dd318bce4a10e3a903ec05d15ffeac,25/06/2023 23:32:00,ESCANER
8703,"Santa Rosa",6,"Chiquimulilla",8,1042,400,120,1,126,3,1,8,1,2,7,269,9,3,281,0,281,--,400,119,269,281,281,Algún campo sin dato,1,f3778fb5afffb71021e3a15b06716a7b25b0a375a92b69ed4b9332260179c8f7,25/06/2023 22:48:23,ESCANER
