TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
167,167,100.0000,167,100.0000,0,66139,40684,61.5128

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,UNE,CAMBIO,VAMOS,VIVA,CABAL,SEMILLA,MLP,TODOS,PPN,PR,ELEFANTE,VOS,PODER,BIEN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7402,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,825,400,16,39,31,6,67,4,35,10,2,7,10,2,3,4,0,0,1,237,17,0,254,0,254,--,400,146,237,254,254,Algún campo sin dato,1,280539470c2f64165adf4eb5450a5d4702f8c168ce3f46b04084fc6630a61261,26/06/2023 00:24:50,ESCANER
7403,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,11,40,47,4,58,3,38,12,1,6,12,4,2,5,0,0,0,243,14,1,258,0,258,0,400,142,243,258,258,,1,3afec6e111bdb927af769b1f01bf0d728193d243522f071991732bdbd51c8afe,26/06/2023 01:55:33,ESCANER
7404,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,12,40,42,2,63,5,35,13,2,4,7,3,1,5,0,2,0,236,19,3,258,0,258,0,400,142,236,258,258,,1,14574979a768eca829b4db54d09efb84bfc3545b38f37bd4d741d9abba55916a,26/06/2023 01:12:31,ESCANER
7405,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,10,28,48,2,64,3,31,6,1,1,8,4,3,7,3,1,0,220,18,4,242,0,242,0,400,158,220,242,242,,1,494420aa46c1da2b2e54972568da5bf58c19624541b576d698ed20e624cd7cf1,26/06/2023 00:10:55,ESCANER
7406,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,15,38,39,10,61,8,28,9,0,5,8,5,4,0,0,0,0,230,21,2,253,0,253,0,400,147,230,253,253,,1,c20d28513bb3ec0520e978ddd8e9800a09b91b96604cf1899f4f0261efd9f4dd,26/06/2023 02:14:00,ESCANER
7407,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,6,33,43,6,64,5,44,4,0,7,11,4,0,6,1,1,0,235,10,3,248,0,248,0,400,152,235,248,248,,1,fb69c5e85d23d5bd56c797118037ec663db3faf1251559320599aa507ec1b6d4,26/06/2023 01:58:17,ESCANER
7408,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,10,35,48,3,68,5,44,4,1,2,10,1,4,4,1,1,1,242,9,4,255,0,255,0,400,145,242,255,255,,1,fcd125c4a5d3bea76640b66ce1bb34c5038aa5824f242124a7093f5ef9a7f836,26/06/2023 02:19:50,ESCANER
7409,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,9,45,46,2,49,2,28,5,1,2,9,1,3,4,2,0,1,209,14,3,226,0,226,0,400,174,209,226,226,,1,b179c4314b000fc3e9acd36bd0c62014c6f5c097fd38538cf066004a2b2da7d1,26/06/2023 02:12:03,ESCANER
7410,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,8,38,52,3,55,3,34,5,1,2,8,5,3,7,0,1,1,226,13,1,240,0,240,0,400,160,226,240,240,,1,37922b1ad42ff5f602bb980c6e85149b8eecfd6b93cd9072765bda2beb5aedbd,26/06/2023 02:50:40,ESCANER
7411,"Escuintla",5,"Santa Lucía Cotzumalguapa",2,826,400,14,45,45,3,68,5,33,5,0,1,12,1,1,2,0,0,0,235,13,1,249,0,249,0,400,151,235,249,249,,1,8d254fbf82e86830e7fa19b3e43e0c9675f51f95fe653744ecefbdac9babfc38,26/06/2023 02:48:16,ESCANER
