TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
67,67,100.0000,67,100.0000,0,25526,15285,59.8801

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,VAMOS,UNE,PODEMOS,CABAL,VIVA,VICTORIA,MI FAMILIA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7858,"Escuintla",5,"La Gomera",7,890,328,14,103,4,22,0,20,6,1,0,170,16,0,186,0,186,--,328,142,170,186,186,Algún campo sin dato,1,e101df52dbed2b92e62dddff4fb954d17687bbe3cb8d3b2fd8ffeef3f5ed8693,25/06/2023 23:36:32,ESCANER
7859,"Escuintla",5,"La Gomera",7,890,327,11,75,10,11,3,20,4,0,1,135,21,0,156,0,156,--,327,171,135,156,156,Algún campo sin dato,1,eb416fa5f9df42ee36810484a42b43d4b50258a480e6140b20ded5c13dd8e80b,26/06/2023 05:43:50,ESCANER
7860,"Escuintla",5,"La Gomera",7,891,380,18,94,17,113,6,12,4,2,0,266,32,5,303,0,303,0,380,77,266,303,303,,1,cdfab3ad2c502a4cb8c95054982bdfcaa8a9066b41a06014cacba5a644a9e614,26/06/2023 00:07:47,ESCANER
7861,"Escuintla",5,"La Gomera",7,891,380,24,95,21,93,4,21,3,0,2,263,39,6,308,0,308,0,376,68,263,308,308,,1,7187ee91768ee2a69b918dd4963637a876e1d8dc85cc9e6ee5a77247f26930a5,25/06/2023 22:56:18,ESCANER
7862,"Escuintla",5,"La Gomera",7,891,380,21,91,22,99,3,14,6,0,2,258,40,4,302,0,302,0,380,78,258,302,302,,1,d888db5dbf97ff5afb680a9c7bd45e6d578b8fb19bfee02637f6b3839afd006f,26/06/2023 00:56:03,ESCANER
7863,"Escuintla",5,"La Gomera",7,891,380,24,79,13,74,5,23,5,0,0,223,16,4,243,0,243,0,380,137,223,243,243,,1,30a44a9bedc7edb208e46cfefde8159ffa1c814790c022c8ba694454f59d1a1f,25/06/2023 23:03:39,ESCANER
7864,"Escuintla",5,"La Gomera",7,891,241,26,48,13,52,3,9,2,0,0,153,15,2,170,0,170,0,238,68,153,170,170,,1,f93488f8dd16b5a606c5de5d5f1aa0cc5dad2eff3b826b89f0997c032e16f42d,25/06/2023 21:19:22,ESCANER
7865,"Escuintla",5,"La Gomera",7,891,241,21,38,7,69,2,12,2,0,0,151,17,0,168,0,168,0,241,73,151,168,168,,1,8d89fa9aa442bc217f8a9371904915644fc2ac0fd64e26d8ad6fb09afc83b304,25/06/2023 21:49:42,ESCANER
7866,"Escuintla",5,"La Gomera",7,892,380,43,113,36,20,6,29,9,3,--,259,31,5,295,0,295,--,380,82,259,295,295,Algún campo sin dato,1,0990133448f7db509667f21d8e009217b4f36c1940f4c6416a22f508c5fdbf2a,26/06/2023 00:23:21,ESCANER
7867,"Escuintla",5,"La Gomera",7,892,380,39,107,39,13,8,18,4,0,1,229,24,1,254,0,254,0,380,126,229,254,254,,1,f2164fe756c779df92c2a395fe08da8dc0c02167ba4ce50abf923bd4adba3e26,25/06/2023 22:37:59,ESCANER
7868,"Escuintla",5,"La Gomera",7,892,358,29,104,35,11,5,21,5,1,0,211,22,4,237,--,--,--,358,121,211,237,237,Algún campo sin dato,1,5dd1f42278dc3fa6483fdb3f57d85ab7fc909d4b569987c3503240093f51eb26,26/06/2023 00:46:21,ESCANER
7869,"Escuintla",5,"La Gomera",7,892,358,36,106,27,10,9,9,4,3,1,205,13,3,219,0,219,0,355,136,205,221,221,Sumas Asentadas sin cuadrar,1,d70f1ded81aef8320705e1ed7a904347e60838822b525420d0d07a2530283d5b,26/06/2023 01:41:55,ESCANER
7870,"Escuintla",5,"La Gomera",7,893,600,29,77,15,36,3,26,4,0,1,191,35,2,228,0,228,--,600,372,191,228,228,Algún campo sin dato,1,5b4cd6aa2e0091c09e2ae5a2addedfdeb5b81233657c30a532bea55a5176c249,26/06/2023 00:55:46,ESCANER
7871,"Escuintla",5,"La Gomera",7,893,600,12,56,7,23,3,18,1,2,1,123,19,2,144,0,144,--,596,452,123,144,144,Algún campo sin dato,1,1078d30ce49257b8b2bd9bf660f03377ec40ae31c1c34fa5db01795bf435ddbf,26/06/2023 01:19:30,ESCANER
7872,"Escuintla",5,"La Gomera",7,893,439,10,25,6,11,3,10,1,0,1,67,12,0,79,0,79,--,439,360,67,79,79,Algún campo sin dato,1,4fde2055228b303d6d0b865c9444597480c03201491ee8b2ddfaaa9c0ae4432a,25/06/2023 21:48:45,ESCANER
7873,"Escuintla",5,"La Gomera",7,893,439,1,5,1,3,1,3,0,0,0,14,2,0,16,0,16,--,439,423,14,16,16,Algún campo sin dato,1,e8968f4f8f6aedbe710e9ceb4c9b3258a6d8f5b23c36796f27af797cc9fae76c,25/06/2023 20:32:31,ESCANER
