TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,57726,36048,62.4467

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,TODOS,VAMOS,AZUL,VALOR,VOS,CH ICH,MANO. L. O.,CAMBIO,UNE,PODEMOS,PPN,URNG-MAIZ WINAQ SEMILLA,COLIBRI,MI FAMILIA,VIVA,ELEFANTE,FCN-NACION,VICTORIA,UR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5923,"Chimaltenango",3,"Chimaltenango",1,622,400,1,5,43,1,22,12,57,21,26,14,6,5,8,5,4,11,1,2,11,2,257,11,1,269,0,269,0,401,132,257,269,269,,1,6a4530f6d67d32f94607aba9b136dfe38a472c00ad8498236dd13a0e3172f67b,26/06/2023 00:46:53,ESCANER
5924,"Chimaltenango",3,"Chimaltenango",1,622,400,5,10,57,4,18,6,64,12,25,17,2,5,6,5,1,11,3,1,4,4,260,14,0,274,0,274,0,400,124,260,274,274,,1,d8099a4a90b5bfab7cd7faef6d0dfde93d50803e67f58a3f512f2b5c17a1be75,26/06/2023 04:29:27,ESCANER
5925,"Chimaltenango",3,"Chimaltenango",1,622,400,3,4,50,3,15,15,64,4,23,14,3,3,9,5,1,4,4,1,6,4,235,12,2,249,0,249,--,400,151,235,249,249,Algún campo sin dato,1,b30cf1e4a9098666e55cfc9696bc4a7678a4c17dbc1cd2fdaa3e5ef81b265a3b,25/06/2023 23:50:17,ESCANER
5926,"Chimaltenango",3,"Chimaltenango",1,622,400,1,9,35,1,18,12,71,10,23,16,4,3,18,2,1,6,1,3,6,0,240,9,0,249,0,249,0,400,151,240,249,249,,1,a1772a40c695f92a4b0fcea7605d98f1c011f745baa1727200f763c94b80af84,26/06/2023 02:29:55,ESCANER
5927,"Chimaltenango",3,"Chimaltenango",1,622,395,3,7,45,1,13,9,68,9,41,13,3,4,16,6,2,5,4,2,9,2,262,11,0,273,0,273,0,395,122,262,273,273,,1,3c3fb8b4bc86b12893c70c62ccd2c3e14c8c0ff41a152ecbf44937d3ebae89ba,26/06/2023 01:12:29,ESCANER
5928,"Chimaltenango",3,"Chimaltenango",1,622,395,2,7,34,3,10,5,43,4,26,4,0,1,10,2,2,1,2,2,5,0,163,15,0,178,1,179,0,395,216,163,178,179,,1,5bc89b66ebeb6bcdb442d97716641dff27e1d4f9d2e88d87934c7f7fb8ca6d6d,25/06/2023 22:30:56,ESCANER
5929,"Chimaltenango",3,"Chimaltenango",1,623,400,3,11,62,6,17,10,65,23,25,16,5,8,4,7,2,6,2,2,6,2,282,17,2,301,0,301,0,400,99,282,301,301,,1,13b69e903773d463784ced27648a12b9041d679c421f0ba7d732c6148d8b205c,26/06/2023 01:43:34,ESCANER
5930,"Chimaltenango",3,"Chimaltenango",1,623,400,4,11,44,5,19,13,64,13,37,15,2,5,3,8,3,10,3,3,5,1,268,19,1,288,0,288,--,400,112,268,288,288,Algún campo sin dato,1,ee287cdc2d4f1592ab4619177bdeb3deff04c6a0d67d87f1923d1090467ac390,26/06/2023 02:45:04,ESCANER
5931,"Chimaltenango",3,"Chimaltenango",1,623,400,2,11,54,5,19,11,71,21,36,10,6,8,4,11,1,8,5,6,9,1,299,9,3,311,0,311,0,400,89,299,311,311,,1,49fd8a83d32e5e947abb544b84301ad75d0e49ba4eb2c23be2d5a998d97f110a,26/06/2023 00:38:43,ESCANER
5932,"Chimaltenango",3,"Chimaltenango",1,623,400,4,9,60,6,19,15,67,19,42,13,10,9,4,8,1,7,2,2,5,3,305,15,2,322,0,322,--,400,78,305,322,322,Algún campo sin dato,1,0bddca7b7be21e862b8b4b25b3ba73b64d26f292591aecce6e738b988a563c39,26/06/2023 00:04:31,ESCANER
5933,"Chimaltenango",3,"Chimaltenango",1,623,400,6,10,76,3,11,10,45,18,37,13,5,9,7,9,3,11,3,2,7,1,286,23,1,310,0,310,0,400,90,286,310,310,,1,bf1285386601d9d158e03ba8c480876242f099f3197d9601c107f5232ed49bb4,26/06/2023 01:16:01,ESCANER
5934,"Chimaltenango",3,"Chimaltenango",1,624,400,3,6,57,1,8,15,62,23,41,12,5,13,8,6,0,4,0,0,3,0,267,18,1,286,0,286,0,400,114,267,286,286,,1,021116126b7ac1b128e806c10376f12494eb0118b0046d8d94944ebd54193e8a,26/06/2023 03:00:59,ESCANER
5935,"Chimaltenango",3,"Chimaltenango",1,624,400,3,12,66,3,15,12,69,13,33,6,5,7,1,8,4,7,0,0,16,1,281,15,1,297,0,297,0,400,103,281,297,297,,1,86b8c2e7e903e1ad4aa2f438912827267f278598d61da8c5a6c59a87b5659626,26/06/2023 01:52:08,ESCANER
