TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
115,114,99.1304,113,98.2608,1,40227,17509,43.5254

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,ELEFANTE,WINAQ,CABAL,UNIONISTA,VIVA,VAMOS,CREO,SEMILLA,PODEMOS,UNE,PPN,UR,VOS,TODOS,AZUL,VALOR,BIEN,PIN,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13655,"San Marcos",12,"Tacaná",7,1891,299,2,15,4,1,4,27,4,6,15,8,4,2,0,6,3,1,0,6,0,3,111,8,5,124,0,124,--,299,175,111,124,124,Algún campo sin dato,1,8ce9558e2c8e916ce2a29d6685bfd36ca664c1bcc3730277ef5d4b41b4d835c8,25/06/2023 22:46:07,ESCANER
13656,"San Marcos",12,"Tacaná",7,1891,298,2,16,1,2,3,17,7,5,9,1,2,0,1,2,9,0,0,4,1,1,90,6,1,90,0,90,--,298,208,83,90,90,Sumas Asentadas sin cuadrar,1,3b3448c5553ea8b267d12bfbfe24b0b9790d0ae6c6234d35d7185648cb4d6f17,25/06/2023 22:49:42,ESCANER
13657,"San Marcos",12,"Tacaná",7,1892,380,2,1,0,46,11,8,12,13,0,1,8,7,27,1,7,1,0,5,0,5,155,37,17,209,--,--,--,380,171,155,209,209,Algún campo sin dato,1,1f61e152204605135751a8a32cefd2830fdee93193fe1e5bf23bc6d207ad0559,26/06/2023 01:45:36,ESCANER
13658,"San Marcos",12,"Tacaná",7,1892,380,3,6,0,46,17,5,9,6,2,5,24,3,12,4,7,0,0,4,0,3,156,21,17,194,0,194,--,380,283,156,194,194,Algún campo sin dato,1,844aba88e0f3b278523e8f31685dcf091aa0356ea3c4dcbd00e96f70b870ec87,26/06/2023 00:54:42,ESCANER
13659,"San Marcos",12,"Tacaná",7,1892,380,0,5,2,34,6,7,9,16,2,6,10,6,22,0,7,0,0,7,0,3,142,11,12,165,--,165,--,380,215,142,165,165,Algún campo sin dato,1,507ec78eedc3599e83fe6a493dbaef223ec77595da6baeb0a14aeb4feb4c5f62,26/06/2023 00:25:32,ESCANER
13660,"San Marcos",12,"Tacaná",7,1892,380,4,2,3,35,8,3,6,12,2,2,11,3,20,1,5,0,0,3,0,6,126,14,12,152,0,152,--,409,257,126,152,152,Algún campo sin dato,1,73ab85065be96dc7697c612dc78b551ae726e646c9b5bd5c9be2378ecd73a2df,26/06/2023 00:43:27,ESCANER
13661,"San Marcos",12,"Tacaná",7,1892,297,1,3,1,21,6,1,4,9,3,2,6,4,12,0,2,0,0,2,0,4,81,8,8,97,--,--,--,300,203,81,97,97,Algún campo sin dato,1,089e6e3d0e6ca7a2f256ed792f174ff133961e4dda98218afd1ed2ed5c17a835,26/06/2023 02:35:50,ESCANER
13662,"San Marcos",12,"Tacaná",7,1892,297,0,1,1,34,4,6,10,14,0,1,2,2,12,1,4,0,0,1,0,3,96,4,3,103,--,--,--,294,191,96,103,103,Algún campo sin dato,1,fc3858c4f2cb555b3df8ac6afe6621cd737e75c188bf2dcfb639b2c487c2c7d3,26/06/2023 02:52:42,ESCANER
13663,"San Marcos",12,"Tacaná",7,1893,380,28,8,13,5,0,25,9,33,2,4,7,4,1,7,12,2,0,2,0,2,164,8,14,186,0,186,--,383,797,164,186,186,Algún campo sin dato,1,50680b726639bd57727fd510af66c40e3d89c13ac45ec26920ed32e9d1c04299,26/06/2023 01:20:26,ESCANER
13664,"San Marcos",12,"Tacaná",7,1893,380,26,5,10,18,1,37,11,31,2,3,8,5,4,3,9,1,1,0,0,3,178,19,8,205,0,205,--,380,175,178,205,205,Algún campo sin dato,1,38a8696d40748dc3c61e3c0440a41c1c445c23a3b2e4bccf5a6ac14ed12f51fe,25/06/2023 23:57:26,ESCANER
