TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
211,211,100.0000,207,98.1042,4,84334,47654,56.5062

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,VALOR,UNE,AZUL,MLP,CAMBIO,WINAQ,PODEMOS,UR,VAMOS,TCB,BIEN,VICTORIA,PPN,PR,U R N G - MAIZ,VOS,VIVA,MI FAMILIA,SEMILLA,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7204,"Escuintla",5,"Escuintla",1,803,400,10,5,15,49,6,3,0,0,15,0,31,7,3,51,6,3,4,3,6,0,4,4,220,18,1,239,--,239,--,400,161,225,244,244,Sumas Asentadas sin cuadrar,1,12bedcd64ea73fadf46a4c11f74ce4eeb1f3d182677515dfa1e6976a6e29cace,26/06/2023 01:58:29,ESCANER
7205,"Escuintla",5,"Escuintla",1,803,400,9,0,9,55,4,0,0,0,10,4,25,3,1,65,6,6,7,4,9,2,1,11,231,29,3,263,137,400,--,400,137,231,263,400,Algún campo sin dato,1,8c1f50558ddc2f710ccab64eeee14e16b3d4e2188c79c8f78d9a74d607890b20,26/06/2023 02:10:03,ESCANER
7206,"Escuintla",5,"Escuintla",1,803,400,6,3,7,42,1,2,1,0,11,1,36,4,1,79,7,4,5,4,8,1,4,7,234,20,3,257,0,257,--,400,143,234,257,257,Algún campo sin dato,1,f73cda12018df075a3e41daf8a700656ee3dbe770aff63d95e47a6612273344a,26/06/2023 03:06:03,ESCANER
7207,"Escuintla",5,"Escuintla",1,803,400,10,2,14,41,2,3,1,1,11,2,26,3,3,71,0,3,2,5,3,2,8,7,220,16,6,242,0,242,--,400,158,220,242,242,Algún campo sin dato,1,764d531464cb4fa32b725f80acd3c790d3ed1ad47b9b85266c3611628e9a2e5d,26/06/2023 00:32:42,ESCANER
7208,"Escuintla",5,"Escuintla",1,803,400,15,1,7,42,5,1,0,1,16,2,37,5,3,54,11,0,2,3,7,1,5,9,227,23,2,252,0,252,--,398,146,227,252,252,Algún campo sin dato,1,8b3fa7034432686dc2e030d6e7647b987254722354c1a4f4cee4556e1bc2f184,25/06/2023 23:49:03,ESCANER
7209,"Escuintla",5,"Escuintla",1,804,400,4,5,5,44,7,1,0,1,13,5,31,7,2,66,11,3,8,3,7,1,4,5,233,15,4,252,0,252,--,398,145,233,252,252,Algún campo sin dato,1,7789f6a902fb93116f7a035b12832c3e3a5ab8c06ff8ab627307a3ee701b5edd,26/06/2023 01:52:19,ESCANER
7210,"Escuintla",5,"Escuintla",1,804,400,3,2,14,57,2,0,1,1,18,0,21,2,4,73,9,1,5,2,7,0,7,10,239,20,2,261,0,261,--,400,139,239,261,261,Algún campo sin dato,1,20d986b9775331a58fe9c262bceac573daa53fbeb5507157308fcd971dba17a5,26/06/2023 01:36:53,ESCANER
7211,"Escuintla",5,"Escuintla",1,804,400,5,4,18,48,10,2,0,0,16,1,16,3,3,61,7,2,6,3,3,1,7,7,223,21,2,246,0,246,--,398,152,223,246,246,Algún campo sin dato,1,5a40f03e426924346d29715b21ab1092837e08d52c3f717cb28162035554e0bc,26/06/2023 02:02:00,ESCANER
7212,"Escuintla",5,"Escuintla",1,804,400,9,3,15,48,3,1,0,1,21,0,36,5,2,60,6,1,2,2,4,0,10,6,237,20,2,259,1,260,--,409,149,235,257,258,Sumas Asentadas sin cuadrar,1,a2a678891e78fccde9b07b8cab5cdd60de979be5ad9689f3a732349733a9374a,26/06/2023 02:09:00,ESCANER
7213,"Escuintla",5,"Escuintla",1,804,400,15,4,6,48,5,2,0,0,13,2,21,3,3,56,9,1,1,2,10,1,5,9,216,16,2,234,0,234,--,400,166,216,234,234,Algún campo sin dato,1,82579afc67369647d6b4ccc7681d8991a00c063bf8865277ca8d87e47ba9444c,26/06/2023 01:25:58,ESCANER
7214,"Escuintla",5,"Escuintla",1,804,400,10,3,10,50,0,0,0,0,15,2,41,3,3,77,5,4,3,2,6,0,4,5,243,14,4,261,0,261,0,400,139,243,261,261,,1,a14d727e31979c3a623f7149630080e4078b408ff497fd772a86227d7bf21b5c,25/06/2023 23:17:08,ESCANER
7215,"Escuintla",5,"Escuintla",1,804,400,14,2,5,39,3,2,0,0,14,1,29,3,4,57,7,1,3,5,8,1,7,3,208,12,2,222,0,222,--,400,178,208,222,222,Algún campo sin dato,1,c59753db138b3054581518a7ea01607044ee6c114855e36a65ad9f7fb14f397e,26/06/2023 00:33:56,ESCANER
7216,"Escuintla",5,"Escuintla",1,804,400,14,0,8,48,4,0,0,1,11,1,28,5,6,54,6,4,0,7,9,1,3,5,215,15,0,230,0,230,--,400,170,215,230,230,Algún campo sin dato,1,cc9e12efa195104e799d2fa1d28f44e88e8879636ce0d958a5298d7fd6fa9db1,26/06/2023 02:25:24,ESCANER
7217,"Escuintla",5,"Escuintla",1,804,400,16,3,8,36,2,0,0,0,9,0,24,3,5,46,6,4,7,3,9,1,6,6,194,16,4,214,186,400,--,400,186,194,214,400,Algún campo sin dato,1,d6447355b505aaabb6378cb6bea728271ad47d5170f2a9569a6ef002b827ada8,26/06/2023 00:01:48,ESCANER
7218,"Escuintla",5,"Escuintla",1,804,400,10,3,10,49,3,1,1,0,8,1,33,2,2,52,7,6,1,4,9,0,7,5,214,16,0,230,0,230,0,400,170,214,230,230,,1,20c62c553ace5a9d262b5ac50c30cbbf63259205fbf31ac888598d2b0d57c8da,25/06/2023 22:18:52,ESCANER
7219,"Escuintla",5,"Escuintla",1,805,400,10,0,10,54,4,1,0,1,16,2,24,4,2,44,7,0,1,2,4,0,6,5,197,19,2,218,0,218,0,400,182,197,218,218,,1,59f24e9925492ebd6a2ca4b1caa09f894b1f5d2f644851508105c9e2d9c9e525,26/06/2023 00:03:38,ESCANER
7220,"Escuintla",5,"Escuintla",1,805,400,8,2,6,48,4,3,0,0,10,1,24,4,6,54,4,1,1,3,7,1,0,5,192,23,1,216,0,216,--,400,184,192,216,216,Algún campo sin dato,1,a1f1a77079463f05b443030c68528d1643587c3f3bbe1277ef58b33c17ede7fb,25/06/2023 22:44:14,ESCANER
7221,"Escuintla",5,"Escuintla",1,805,400,11,2,11,51,2,0,1,2,10,2,31,3,1,37,5,1,4,3,4,0,3,9,193,25,2,220,0,220,0,400,180,193,220,220,,1,cf651b8f087e3f6af123ecc0de819e10057d45b2d92e4c1fc1d382de0b88f9cb,26/06/2023 01:53:14,ESCANER
7222,"Escuintla",5,"Escuintla",1,805,400,5,2,7,55,5,0,1,0,13,0,22,4,3,51,8,1,0,1,5,1,4,4,192,12,0,204,0,204,--,--,--,192,204,204,Algún campo sin dato,1,4bdcea6a380baad157d3ca4ebed29076401f6161967ad0343c3db9154022ab67,25/06/2023 23:01:58,ESCANER
7223,"Escuintla",5,"Escuintla",1,805,400,10,4,13,40,2,2,0,0,13,0,26,2,3,62,5,5,2,7,6,0,4,7,213,14,1,228,0,228,--,400,172,213,228,228,Algún campo sin dato,1,b82c01eee707f029f27c33623e00be7e124b8226e224141ceb510661a8c3ee4a,25/06/2023 22:50:08,ESCANER
