TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,35353,14734,41.6768

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,PHG,VIVA,BIEN,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15706,"Huehuetenango",13,"La Democracia",12,2293,400,101,36,8,3,9,2,1,160,5,0,165,236,401,--,401,236,160,165,401,Algún campo sin dato,1,da12d15ceeb287f8ca51f45abb2d7d593ab24ef7c95f7e7340af06c9f7a33d22,26/06/2023 00:27:54,ESCANER
15707,"Huehuetenango",13,"La Democracia",12,2293,400,112,33,11,1,17,1,1,176,10,1,187,0,187,--,400,213,176,187,187,Algún campo sin dato,1,443ec1b23510a92eff01a477fa2e58679a8335aef0d9f723a995c1fadad8491f,25/06/2023 22:42:13,ESCANER
15708,"Huehuetenango",13,"La Democracia",12,2293,284,51,26,5,0,16,0,1,99,4,4,107,0,107,--,284,177,99,107,107,Algún campo sin dato,1,11f98d7c4e5ac66982fdb84b8e29acdae5ec8912f9552f6ad5dc228d3b711be1,25/06/2023 23:17:11,ESCANER
15709,"Huehuetenango",13,"La Democracia",12,2293,283,51,15,7,1,6,0,3,83,9,3,95,0,95,--,283,188,83,95,95,Algún campo sin dato,1,44679e8bac59b17cd3b132115ff39f949d0efc3e717fbd97320c09aef2bff46a,25/06/2023 23:59:59,ESCANER
15710,"Huehuetenango",13,"La Democracia",12,2294,380,40,43,25,2,10,2,10,132,18,11,161,0,161,--,396,235,132,161,161,Algún campo sin dato,1,15b220aacdba1d97a3abbac647007fb030a87221f5d919bf087facffce03b0d8,26/06/2023 00:53:36,ESCANER
15711,"Huehuetenango",13,"La Democracia",12,2294,380,59,29,20,4,11,3,10,136,27,8,171,0,171,--,380,209,136,171,171,Algún campo sin dato,1,df0ffcc92d85ccc35e899fdc0497bc7f217714fb3d5c98b5f2e2a7cfa2b213ee,25/06/2023 22:52:05,ESCANER
15712,"Huehuetenango",13,"La Democracia",12,2294,380,37,38,29,7,15,0,12,138,20,9,167,0,167,--,396,229,138,167,167,Algún campo sin dato,1,0313692705f5d6b85c4147dc14cdc899492a6bfe8717c0dab090c5e0b373044d,26/06/2023 00:01:15,ESCANER
15713,"Huehuetenango",13,"La Democracia",12,2294,380,41,32,18,1,14,1,13,120,15,7,142,0,142,--,380,238,120,142,142,Algún campo sin dato,1,64332fbab70828a6630d675a9b0d3bd9b26b060ad31158a5614e58bea35e1291,25/06/2023 22:14:49,ESCANER
15714,"Huehuetenango",13,"La Democracia",12,2294,380,39,30,16,0,5,0,15,105,8,4,117,1,118,--,380,262,105,117,118,Algún campo sin dato,1,6cee777e07fb8a15d42a6f4a941c2338769c2ee9a56ed50dc8ef6f41f4b14193,25/06/2023 22:51:24,ESCANER
15715,"Huehuetenango",13,"La Democracia",12,2294,380,32,28,23,2,8,2,10,105,18,6,129,0,129,--,380,251,105,129,129,Algún campo sin dato,1,74e10a937fdcb9cd65aefeffb0d843b6134b755ebdc2ea8703507838cd4131c7,25/06/2023 21:50:51,ESCANER
15716,"Huehuetenango",13,"La Democracia",12,2294,288,31,13,16,1,10,1,10,82,10,3,95,0,95,0,288,193,82,95,95,,1,8db7ba35119e1b08631c0208f5e2b565c719daf93f8ee4c654f53c235f71cbda,25/06/2023 22:55:50,ESCANER
15717,"Huehuetenango",13,"La Democracia",12,2294,287,16,8,7,1,9,1,7,49,6,7,62,0,62,--,287,225,49,62,62,Algún campo sin dato,1,8c0d68441b708a5a495866439e1396ffdfc1aad60c3a476abc1e7a7b49d5e044,25/06/2023 21:44:46,ESCANER
15718,"Huehuetenango",13,"La Democracia",12,2295,380,38,46,4,1,9,1,11,110,23,4,137,0,137,--,380,243,110,137,137,Algún campo sin dato,1,e8e2fb5baa7ed2feaf0ecf5314d1002deaf3ee4c9eb8da35e0b0e97eb1d319ea,25/06/2023 20:21:49,ESCANER
