TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,56448,35342,62.6098

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,UNE,VAMOS,MLP,BIEN,SEMILLA,PPN,AZUL,WINAQ,CAMBIO,UR,PIN,TODOS,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12647,"Retalhuleu",11,"Retalhuleu",1,1727,400,19,85,2,24,1,108,11,0,1,1,0,0,0,1,3,256,11,0,267,0,267,--,400,133,256,267,267,Algún campo sin dato,1,37e8e30f90c29508f694ccd8c31624901da094ac4e4e7c31aec1e465cb1da262,26/06/2023 02:22:32,ESCANER
12648,"Retalhuleu",11,"Retalhuleu",1,1727,400,27,89,0,27,1,94,2,1,3,1,0,0,0,0,5,250,15,3,268,0,268,--,400,132,250,268,268,Algún campo sin dato,1,772ea3fe0925b65edfbc27aec115b9d777c181553a891fa02ad33aba591a984e,26/06/2023 01:00:28,ESCANER
12649,"Retalhuleu",11,"Retalhuleu",1,1727,400,24,90,5,19,1,103,4,2,1,0,0,0,0,0,1,250,18,1,269,0,269,--,400,131,250,269,269,Algún campo sin dato,1,356df0cbb8adc4b50c878a40604700a79718758dd7380b2a3b4412378155d95d,25/06/2023 23:23:54,ESCANER
12650,"Retalhuleu",11,"Retalhuleu",1,1728,400,26,83,5,29,0,115,4,7,0,0,0,1,0,1,3,274,7,1,282,0,282,--,400,118,274,282,282,Algún campo sin dato,1,a41c3a772926a3cadd0278ec7f94daf6db95746bc54c124a59aa4a5ad6691c19,26/06/2023 02:52:16,ESCANER
12651,"Retalhuleu",11,"Retalhuleu",1,1728,400,25,78,4,16,0,104,3,1,1,2,0,1,0,0,6,241,13,1,255,0,255,--,400,145,241,255,255,Algún campo sin dato,1,7a2e0f29323db3f0501720d3bd5fa2f9e937672e7ab9974eddc374097b5bd2f0,26/06/2023 01:51:25,ESCANER
12652,"Retalhuleu",11,"Retalhuleu",1,1728,400,26,72,2,21,2,125,3,0,3,0,0,0,0,0,6,260,18,1,279,0,279,--,398,118,260,279,279,Algún campo sin dato,1,a4e6c8fb190b9a6c42139ab05c6add31cf004da423b9524e8b1a831fb8463f83,26/06/2023 02:35:07,ESCANER
12653,"Retalhuleu",11,"Retalhuleu",1,1728,400,26,89,4,30,0,91,5,0,2,1,0,0,0,1,1,250,18,3,271,0,271,--,400,129,250,271,271,Algún campo sin dato,1,2ed40fcee3e30e5399d03d18538c1c249f750edea212959d52a8bc5a099ba378,25/06/2023 23:49:49,ESCANER
12654,"Retalhuleu",11,"Retalhuleu",1,1728,400,15,95,2,22,0,93,5,1,0,2,0,0,0,1,6,242,17,4,263,0,263,--,400,137,242,263,263,Algún campo sin dato,1,3bcd658dda27bbf7e475d96d14c5721e3632e481e77c89cad83189190b9318b4,26/06/2023 00:33:48,ESCANER
12655,"Retalhuleu",11,"Retalhuleu",1,1728,400,22,82,2,26,0,88,3,5,0,0,1,0,1,0,1,231,15,4,250,0,250,--,400,150,231,250,250,Algún campo sin dato,1,4ed7bf459fb491d56fcae28202fd89252731f7d03582edbec5afe6e4625d2542,26/06/2023 01:57:34,ESCANER
12656,"Retalhuleu",11,"Retalhuleu",1,1728,400,22,89,3,23,1,83,3,3,1,1,0,0,2,0,2,233,7,0,240,0,240,--,400,160,233,240,240,Algún campo sin dato,1,27eb34d5433135c3e48c492fcb2f51983adfba16aa7dc161271319d212df1ac2,26/06/2023 03:00:45,ESCANER
