TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,37134,26112,70.3183

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PPN,FCN-NACION,PHG,VAMOS,VALOR,VIVA,UNE,CABAL,CAMBIO,VICTORIA,MI FAMILIA,PODEMOS,ELEFANTE,AZUL,KAQ KOJ,SEMILLA,VOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18995,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2913,400,0,1,1,30,57,64,0,10,8,2,8,0,30,0,1,4,3,0,31,250,25,5,280,0,280,--,400,120,250,280,280,Algún campo sin dato,1,9b734463124338201180769c21d40955452445d544194f596d5bdf7153c5ebe5,26/06/2023 00:45:27,ESCANER
18996,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2913,400,3,2,0,17,62,53,2,5,13,2,4,0,42,3,2,8,0,0,32,250,11,2,263,0,263,--,400,137,250,263,263,Algún campo sin dato,1,05c63ff9b696cc004de4b28e91b7d629643eba2614c895c8b6cfce14dba3e0a2,26/06/2023 01:42:03,ESCANER
18997,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2914,400,0,1,0,24,60,48,0,10,7,1,11,0,33,1,2,7,1,0,30,236,9,2,247,0,247,--,--,--,236,247,247,Algún campo sin dato,1,54c01d436c4b2f29c38faa736438bebd30919f870e614cedbdde104c1fb5a099,26/06/2023 02:05:14,ESCANER
18998,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2914,400,4,0,0,29,56,56,0,5,13,4,4,0,41,1,0,4,1,0,29,247,3,0,250,0,250,--,400,150,247,250,250,Algún campo sin dato,1,35c5793878e7ec4bd9b495d819240443a711e57a0fbe04aa068db73786843c9c,26/06/2023 00:44:12,ESCANER
18999,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2914,338,1,1,0,19,34,63,0,3,4,1,5,0,38,2,0,2,1,0,17,191,6,2,199,0,199,--,338,139,191,199,199,Algún campo sin dato,1,47184ac37754a7c89d6e4e9dae16c0301cab6e712e761629e25ea5a08adabdd0,26/06/2023 00:36:46,ESCANER
19000,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2914,337,1,0,0,21,36,62,0,2,4,2,8,0,29,1,3,4,0,0,26,199,3,1,203,0,203,--,337,134,199,203,203,Algún campo sin dato,1,3956d4cc8b876d89f3cb233384d28c82b04d977cb3077272699094e6197dd1fb,26/06/2023 01:19:17,ESCANER
19001,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,5,4,0,7,52,41,4,4,12,0,6,0,36,1,1,5,1,1,73,253,38,3,294,1,295,--,400,105,253,294,295,Algún campo sin dato,1,498226301394ecce08eca14f2b2a69d03f60dcd66d482e512f5285c559209ded,26/06/2023 00:58:55,ESCANER
19002,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,8,2,2,8,66,40,4,10,17,2,10,1,34,1,5,4,0,1,45,260,34,6,300,0,300,--,400,100,260,300,300,Algún campo sin dato,1,948b96bbb2965834a90891cb7245d433ed6bfc202ea2f621acfe47863ba76d36,26/06/2023 01:47:45,ESCANER
19003,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,5,4,1,9,72,45,4,13,14,2,10,0,54,3,2,3,0,1,28,270,41,6,317,0,317,--,400,83,270,317,317,Algún campo sin dato,1,3f35c2ad61261ef84fbffaa716df7bbc610b8580f5ceed25b5f52aa742c142e8,25/06/2023 23:51:49,ESCANER
19004,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2915,400,4,8,1,12,104,17,4,9,14,2,8,1,64,2,2,10,0,0,16,278,38,6,322,0,322,--,400,78,278,322,322,Algún campo sin dato,1,3a07c758ea574f4eca25af6605652801c1950d38da3b99c975ce01157c476985,26/06/2023 03:02:21,ESCANER
