TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,20883,12948,62.0025

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,ELEFANTE,VICTORIA,VAMOS,CREO,TODOS,PHG,CABAL,AZUL,PPN,UR,VALOR,VIVA,UNE,PIN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14264,"San Marcos",12,"Catarina",16,1998,380,4,10,72,61,33,0,1,8,2,0,0,0,30,0,221,20,2,243,0,243,--,381,138,221,243,243,Algún campo sin dato,1,d0a42211667ec878e9e9c6bb82b6fc023b825dd9f82ec250b94582295ae2ac38,26/06/2023 01:15:13,ESCANER
14265,"San Marcos",12,"Catarina",16,1998,304,7,8,45,46,15,3,4,7,10,0,1,0,24,0,170,8,7,185,0,185,--,304,119,170,185,185,Algún campo sin dato,1,e23cb58820226cf7ef90c2f28ac15c6ea0395744f27f55860aa6b92b40b70804,26/06/2023 01:34:57,ESCANER
14266,"San Marcos",12,"Catarina",16,1998,304,11,9,53,55,21,1,2,10,3,0,0,0,15,0,180,4,3,187,0,187,--,304,117,180,187,187,Algún campo sin dato,1,35f98d319acc429da518bc6cf8d88bb411a2e1959438577a6a053031cc47bea7,26/06/2023 02:04:02,ESCANER
14267,"San Marcos",12,"Catarina",16,1999,380,6,5,44,88,13,1,2,2,2,1,4,2,71,0,241,24,3,268,0,268,--,380,112,241,268,268,Algún campo sin dato,1,314959a5188bce206680c3958f439666f436f4accb81e64296c025f812135417,26/06/2023 00:34:52,ESCANER
14268,"San Marcos",12,"Catarina",16,1999,380,6,4,64,52,24,4,4,4,6,6,3,1,63,0,241,23,9,273,0,273,--,380,107,241,273,273,Algún campo sin dato,1,e0a52099fa339a74470490fe9718ab7b91ecdf709df87f53dc224f9ee09fa05e,26/06/2023 00:52:00,ESCANER
14269,"San Marcos",12,"Catarina",16,1999,380,8,2,54,81,16,0,8,2,4,1,1,0,49,0,226,22,4,252,0,252,1,380,124,226,252,252,,1,e47658e57882c560343db0ccaa20ae5cf7c896d9ee83141cb2b9dba9cd0a975a,26/06/2023 00:02:12,ESCANER
14270,"San Marcos",12,"Catarina",16,1999,380,12,5,55,77,10,4,6,4,5,1,0,2,50,0,231,22,8,231,0,231,--,380,119,231,261,261,Sumas Asentadas sin cuadrar,1,76172fc51c488006faf1e5accb091ea36713a6e3361040eeaf2162c0b6f92e6b,26/06/2023 01:23:21,ESCANER
14271,"San Marcos",12,"Catarina",16,1999,380,7,3,50,62,21,3,1,5,2,3,2,1,47,0,207,11,4,222,0,222,--,380,158,207,222,222,Algún campo sin dato,1,9d43346c81a5f51b0da7b8ce4e0dfeea95a1ccdb1331cad3e2ce2d1d47889f03,26/06/2023 01:33:36,ESCANER
14272,"San Marcos",12,"Catarina",16,1999,260,3,0,48,50,6,9,4,1,1,3,9,0,46,0,166,2,0,168,0,168,--,256,88,180,182,182,Sumas Asentadas sin cuadrar,1,1e715f53dccc6262942cda46821c662f589e07acf2b83e69a1f5b88ee409bca7,26/06/2023 01:26:13,ESCANER
14273,"San Marcos",12,"Catarina",16,1999,260,3,0,28,48,11,1,3,1,4,2,4,0,47,1,153,2,3,158,0,158,--,260,102,153,158,158,Algún campo sin dato,1,f248d19891cbdb1ffef8b4cd74964cb9d05b5c26a38e8540f20650de7a8f96c1,25/06/2023 22:59:58,ESCANER
14274,"San Marcos",12,"Catarina",16,2000,380,0,3,61,78,20,4,50,3,0,0,1,4,25,0,249,14,2,265,0,265,--,380,115,249,265,265,Algún campo sin dato,1,ba2595bb5c33e88d87243f7236acea51df7a3cbe781325585dde9aaec7a7c4ae,26/06/2023 03:42:38,ESCANER
14275,"San Marcos",12,"Catarina",16,2000,380,4,8,76,92,20,3,41,3,3,1,0,0,18,1,270,12,3,285,0,285,--,378,93,270,285,285,Algún campo sin dato,1,848e1840f73ffe22ee9f312ca442bed23dbb891d1ef7b0a328a8a04565feabbf,26/06/2023 03:51:33,ESCANER
14276,"San Marcos",12,"Catarina",16,2000,380,2,7,83,68,11,2,22,3,0,0,1,2,28,0,229,2,2,233,0,233,--,383,150,229,233,233,Algún campo sin dato,1,a39777f7f9102a697d8bb4868b33b9e5b2026f65a815ccc2a136577c016eeb5e,26/06/2023 03:07:28,ESCANER
14277,"San Marcos",12,"Catarina",16,2000,380,5,2,65,76,11,4,44,5,2,1,0,2,23,0,230,17,1,248,0,248,--,380,132,240,258,258,Sumas Asentadas sin cuadrar,1,9d02700f472608ef05ff26e46fffaeda8a48baaafb4fbddd1ddd61cb17067f31,26/06/2023 03:12:14,ESCANER
14278,"San Marcos",12,"Catarina",16,2000,270,2,3,58,46,8,3,17,2,1,1,0,0,17,0,158,11,1,170,0,170,--,271,101,158,170,170,Algún campo sin dato,1,6c333c113a6ed1880d4266e49c871fc8e361c91b38bacd08b7c2527947ad8da1,26/06/2023 03:11:20,ESCANER
14279,"San Marcos",12,"Catarina",16,2000,269,1,7,51,43,15,3,24,1,2,0,0,0,14,0,161,3,0,164,0,164,--,269,105,161,164,164,Algún campo sin dato,1,43477e245f85c8faac7da846b79af37eb0724a67f0c76b6f93e1dc9298f8ec04,26/06/2023 03:23:14,ESCANER
14280,"San Marcos",12,"Catarina",16,2001,565,8,0,35,43,6,6,3,3,2,0,1,2,9,0,118,13,3,134,0,134,--,565,431,118,134,134,Algún campo sin dato,1,e5ea63fa1a1db96c955aa622a8a1cea0f31e2876b21276fe700f6646161cff32,26/06/2023 01:18:07,ESCANER
14281,"San Marcos",12,"Catarina",16,2001,565,1,2,9,17,3,1,1,2,1,1,0,0,8,0,46,0,0,46,0,46,--,565,519,46,46,46,Algún campo sin dato,1,7b4c9fa0fc36e2070ed95ca424f64427eb3baec7ea9dc58411030c04d3c2e9e0,25/06/2023 22:24:16,ESCANER
