TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
208,208,100.0000,208,100.0000,0,78651,44789,56.9465

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,MLP,VAMOS,UNE,U R N G - MAIZ,VIVA,BIEN,CABAL,UR,PPN,FCN-NACION,MI FAMILIA,VOS,PHG,PR,TODOS,P A N,VICTORIA,AZUL,PODEMOS,CAMBIO,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4073,"Guatemala",1,"Amatitlán",14,411,400,38,5,8,10,21,5,41,41,8,21,1,5,7,2,1,0,2,3,19,1,0,4,243,15,5,263,0,263,--,400,137,243,263,263,Algún campo sin dato,1,86bc60563b786dce42a64a3109cedadf75aa14c54e43c89c40299f2f3edd730d,26/06/2023 00:28:17,ESCANER
4074,"Guatemala",1,"Amatitlán",14,411,400,44,4,7,12,27,3,50,44,7,13,0,8,9,5,0,0,0,2,30,1,1,5,272,28,5,305,0,305,--,400,95,272,305,305,Algún campo sin dato,1,844b8689a2fc4bc2ff965ffa8e2d2cb6507358a3b12ce889547979820cabd838,26/06/2023 02:53:49,ESCANER
4075,"Guatemala",1,"Amatitlán",14,411,400,50,0,2,12,19,4,42,39,0,0,1,5,8,0,3,1,4,0,24,0,0,1,247,7,1,255,0,255,--,400,145,215,223,223,Sumas Asentadas sin cuadrar,1,390f1935a74957781f04feb57f06c70d4828bbef5bfd91e4875785064bbf3d07,26/06/2023 01:10:37,ESCANER
4076,"Guatemala",1,"Amatitlán",14,411,400,39,3,9,17,16,3,38,49,4,29,2,10,3,3,1,1,2,5,18,2,0,1,255,16,1,272,0,272,--,400,128,255,272,272,Algún campo sin dato,1,3a260f206dcca92bc7b24b4f2f0238e25d3d5f757c30df0cd784f88eb1c739a1,26/06/2023 00:57:59,ESCANER
4077,"Guatemala",1,"Amatitlán",14,411,400,32,2,13,12,14,5,36,45,7,21,1,9,4,4,1,0,1,0,24,3,2,4,240,25,0,265,0,265,--,400,135,240,265,265,Algún campo sin dato,1,a1f1ce4bab0d4d2287921b14470f4e908edf32045dd90dcb93ec7dfdee320ad6,26/06/2023 01:17:58,ESCANER
4078,"Guatemala",1,"Amatitlán",14,411,400,39,1,8,13,22,4,34,55,7,14,2,6,2,2,0,0,1,1,24,0,0,4,239,12,2,253,0,253,--,400,147,239,253,253,Algún campo sin dato,1,42da898ea149e52f882c45cabe97c45086bf1317ab1f18bea942326d1f97210a,26/06/2023 01:54:01,ESCANER
4079,"Guatemala",1,"Amatitlán",14,411,400,26,3,4,9,11,1,50,38,0,23,0,16,9,1,1,1,2,1,13,3,1,2,215,5,0,220,0,220,--,400,180,215,220,220,Algún campo sin dato,1,72805175a2240da716e70e6f41fe640cb85cd688753034bc3326a13ae731d0a6,26/06/2023 02:00:39,ESCANER
4080,"Guatemala",1,"Amatitlán",14,411,314,33,1,4,6,14,2,35,27,2,8,0,10,7,2,1,0,0,1,16,1,1,4,175,6,0,181,0,181,--,314,133,175,181,181,Algún campo sin dato,1,26699501d4f7f84bc6323d736a285efd47329f158a7dc7e409949e6a649e0ef3,26/06/2023 01:24:34,ESCANER
4081,"Guatemala",1,"Amatitlán",14,411,314,28,4,6,4,10,2,27,31,2,7,1,6,8,2,2,1,0,0,10,0,2,1,154,8,1,164,0,164,1,314,150,154,163,163,Sumas Asentadas sin cuadrar,1,730dcc1df8ac52b9b8319963f31fdf4e1bcfc7083ea286011becc71e73f4165b,26/06/2023 00:01:07,ESCANER
4082,"Guatemala",1,"Amatitlán",14,412,400,50,3,15,23,16,3,37,36,1,23,0,14,11,6,0,1,2,2,4,1,4,1,253,15,0,268,0,268,--,400,132,253,268,268,Algún campo sin dato,1,401d5ee1d54e9d45ec0b9ea781b5ca88fc6d207a98aa41f24e368437c841109d,26/06/2023 00:37:57,ESCANER
4083,"Guatemala",1,"Amatitlán",14,412,335,39,3,4,14,12,3,23,33,8,12,1,9,1,4,1,0,1,2,7,0,2,2,181,17,3,201,0,201,--,335,134,181,201,201,Algún campo sin dato,1,25a67bf44cf522482450a903e08352df1084f72eeec461618a4c3f74d1d39742,25/06/2023 23:13:37,ESCANER
