TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
66,66,100.0000,66,100.0000,0,25172,14852,59.0020

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,CABAL,MLP,TODOS,PPN,UNE,VICTORIA,PHG,VAMOS,SEMILLA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11577,"Quetzaltenango",9,"Génova",21,1548,400,3,48,3,6,26,6,0,0,87,1,54,234,6,2,242,0,242,0,400,158,234,242,242,,1,858cfb06f0856a735ca84baaacec322d78313b586c3289e46520f3d39b95ca1b,26/06/2023 00:32:35,ESCANER
11578,"Quetzaltenango",9,"Génova",21,1548,400,6,43,1,4,41,2,0,1,112,0,75,285,2,0,287,0,287,--,380,93,285,287,287,Algún campo sin dato,1,7c870d48532bf275f173d1152bfe8750976bf8d58e2c1552404d6f40137bed24,26/06/2023 00:24:06,ESCANER
11579,"Quetzaltenango",9,"Génova",21,1548,400,7,46,2,2,23,3,1,0,79,0,65,228,4,0,232,0,232,--,400,168,228,232,232,Algún campo sin dato,1,36f8046476e94b5e633eb0ca56dbb3532ebcec4f6660d6045db06b128954ae34,25/06/2023 23:12:09,ESCANER
11580,"Quetzaltenango",9,"Génova",21,1548,400,3,48,0,5,27,1,1,0,98,0,63,246,1,1,248,1,249,--,400,151,246,248,249,Algún campo sin dato,1,df72d5bf18652e182cd9b8b987e8107a43db7a53178d86042c1b2f2b998cd223,25/06/2023 23:39:29,ESCANER
11581,"Quetzaltenango",9,"Génova",21,1548,400,5,58,0,2,25,3,0,3,63,1,69,229,4,0,233,0,233,--,400,167,229,233,233,Algún campo sin dato,1,7409ceb36d9623e05e89a788699b022593ededd1745445038481b8b89c43de4f,25/06/2023 23:34:45,ESCANER
11582,"Quetzaltenango",9,"Génova",21,1548,280,3,31,0,3,20,4,0,0,55,1,63,0,2,1,0,0,183,--,280,97,180,183,183,Algún campo sin dato,1,0e4c95f313ea3efb98ddd72287db5ce0cedc8a97d68cba01bd8b2d6633a09dbb,26/06/2023 01:38:47,ESCANER
11583,"Quetzaltenango",9,"Génova",21,1548,280,3,21,0,1,13,3,0,0,51,0,36,128,0,0,0,1,129,--,280,151,128,128,129,Algún campo sin dato,1,1bf12b4678587786d708019685397c01773cfe3c6303270845322265b6909c55,26/06/2023 01:07:19,ESCANER
11584,"Quetzaltenango",9,"Génova",21,1549,380,10,14,12,4,51,9,0,0,49,0,53,202,30,5,237,0,237,--,379,142,202,237,237,Algún campo sin dato,1,1ae3a7a735304f0330da097d287e8f4e177dec7f462934b871cfa6c47e03382c,26/06/2023 01:08:52,ESCANER
11585,"Quetzaltenango",9,"Génova",21,1549,380,14,18,7,8,66,5,0,1,51,2,76,248,17,7,272,0,272,--,380,108,248,272,272,Algún campo sin dato,1,f7d0f744a9fc3eee36a9c094705a70709c540bafee54a04031712dca6e16dd0d,25/06/2023 22:34:20,ESCANER
11586,"Quetzaltenango",9,"Génova",21,1549,380,10,27,5,7,63,10,2,0,50,0,60,234,9,3,246,0,246,--,380,134,234,246,246,Algún campo sin dato,1,4ca3767ccd555210b804bfa1a42344fd9eac02d58fd262d966e2ff7ea32e43af,25/06/2023 23:20:41,ESCANER
11587,"Quetzaltenango",9,"Génova",21,1549,380,11,23,4,1,40,2,0,0,67,1,60,209,17,4,230,0,230,--,380,150,209,230,230,Algún campo sin dato,1,69e7b12884d6bf8c016bd8bfe5cf41b2b68b80b001baa324d6b3ca5b798086f9,25/06/2023 21:25:58,ESCANER
11588,"Quetzaltenango",9,"Génova",21,1549,380,7,18,5,6,61,2,0,0,52,2,46,199,13,2,214,0,214,--,380,166,199,214,214,Algún campo sin dato,1,5bb59304476e2251535241b39929414b1d58ce0581df2223912c1efa470b7995,26/06/2023 00:23:17,ESCANER
11589,"Quetzaltenango",9,"Génova",21,1549,215,6,13,5,3,28,0,0,0,30,0,33,118,5,2,125,0,125,--,215,90,118,125,125,Algún campo sin dato,1,675a0984d912f275afb698429ff1f5ed882f910e53bdd743da0c64feb6bfa9a3,25/06/2023 22:02:02,ESCANER
11590,"Quetzaltenango",9,"Génova",21,1549,214,7,11,4,2,18,6,0,0,15,1,46,110,2,1,113,0,113,--,214,101,110,113,113,Algún campo sin dato,1,f6ad46d56750080a2d2c06a9013c13b517903b3b8dc63eff28e395a91fb0e1ed,25/06/2023 23:08:59,ESCANER
11591,"Quetzaltenango",9,"Génova",21,1550,380,16,58,8,0,39,7,1,1,58,0,64,252,12,6,270,1,271,--,380,109,252,270,271,Algún campo sin dato,1,dfaaeef57b0cc7d1d21d01eac4c2be2d474f0faae496e44bbd814ce19011b2ce,26/06/2023 01:23:42,ESCANER
11592,"Quetzaltenango",9,"Génova",21,1550,380,10,67,5,2,27,6,0,0,51,0,67,235,14,9,258,0,258,--,380,122,235,258,258,Algún campo sin dato,1,b6686db31c8d8dec3ff06c75084b732d5c0d3ae7edf2e1eeeecf5f20dfdaabbb,26/06/2023 00:37:37,ESCANER
11593,"Quetzaltenango",9,"Génova",21,1550,380,7,47,4,0,50,3,1,0,64,1,53,230,4,6,240,0,240,--,380,140,230,240,240,Algún campo sin dato,1,7b80a386a62ba4332efe54acfa24f1bc28fe44170ee9b0048ade237711a58a38,26/06/2023 01:51:32,ESCANER
