TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,133,100.0000,0,51063,25671,50.2731

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,BIEN,MLP,CCM,UNE,VIVA,UR,VAMOS,WINAQ,AZUL,CABAL,VALOR,VICTORIA,PPN,VOS,CAMBIO,CREO,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10188,"Totonicapán",8,"Momostenango",5,1328,380,6,5,4,2,57,4,4,61,1,4,67,11,2,1,0,2,1,0,232,19,10,261,0,261,0,380,119,232,261,261,,1,ce20089499b799cea7f8787044020191c799f9d4760f3f7509d1581a71280f46,26/06/2023 01:12:50,ESCANER
10189,"Totonicapán",8,"Momostenango",5,1328,380,4,8,2,1,62,0,2,95,1,5,25,12,1,2,1,2,1,0,224,25,10,259,0,259,0,380,121,224,259,259,,1,47fe659a64d23b21b13237fde519ffd4aecae958a99597e5943168fec4b32420,26/06/2023 00:30:23,ESCANER
10190,"Totonicapán",8,"Momostenango",5,1328,380,3,6,5,1,50,3,3,47,1,4,34,14,3,2,3,0,0,0,179,27,11,217,0,217,--,380,163,179,217,217,Algún campo sin dato,1,f148e83e4d4de055b93a31a0792e3ab6dc44daa71405ccd78d16e8d841fbbe49,26/06/2023 03:04:12,ESCANER
10191,"Totonicapán",8,"Momostenango",5,1329,380,4,6,5,1,34,3,4,43,0,1,37,9,1,2,1,2,1,1,155,12,7,174,0,174,0,--,--,155,174,174,Algún campo sin dato,1,859bb34c8813416d50509259af57d31a7d4bc5d8506938996d78a4ed71b66874,26/06/2023 03:14:42,ESCANER
10192,"Totonicapán",8,"Momostenango",5,1329,380,3,4,2,1,32,3,0,43,1,3,21,17,0,4,7,0,0,0,141,21,1,163,0,163,0,380,217,141,163,163,,1,1597e0ea8e656dba73e9a864128b954cd54ee99d6118afce4d71b46ad6b41e90,25/06/2023 22:26:11,ESCANER
10193,"Totonicapán",8,"Momostenango",5,1329,380,1,6,11,1,23,1,2,36,3,0,36,14,0,2,5,1,0,0,142,24,16,182,0,182,0,380,198,142,182,182,,1,1ddf5aa2001ae817464460a9abd91dab79d86e11c3960332c9c1b8ca6343ffbd,25/06/2023 22:53:41,ESCANER
10194,"Totonicapán",8,"Momostenango",5,1329,380,6,6,14,1,37,5,1,36,0,1,19,9,0,4,6,3,0,0,148,17,10,175,0,175,0,380,205,148,175,175,,1,297ba03462b0f7f9e5bc582667aa9c296008f078a2c8c26842c6acb0a2037dd8,26/06/2023 01:39:22,ESCANER
10195,"Totonicapán",8,"Momostenango",5,1330,380,0,6,14,3,26,6,1,28,3,2,27,17,1,3,10,1,0,0,148,21,13,182,0,182,0,380,198,148,182,182,,1,c85e9f7e5fb8a36e264b3f25de21246c85d3fe00894dab53752a7de13ac7479c,26/06/2023 00:40:54,ESCANER
10196,"Totonicapán",8,"Momostenango",5,1330,380,5,8,6,1,27,4,1,39,1,1,25,12,1,7,5,1,0,0,144,19,8,171,0,171,0,380,209,144,171,171,,1,edcf97ef957507916a458636473e9d088f919238bad7552aa57370aa29d1a430,25/06/2023 23:51:40,ESCANER
10197,"Totonicapán",8,"Momostenango",5,1330,380,3,2,11,3,30,0,3,32,0,2,23,12,0,2,2,3,0,0,128,29,10,167,0,167,0,380,213,128,167,167,,1,3d56a88aaab7e8b4e26fbc40ce0442bd63e67354ff32d1f49590efb8eee919bf,26/06/2023 00:27:28,ESCANER
10198,"Totonicapán",8,"Momostenango",5,1330,380,5,3,8,3,33,0,1,34,1,1,26,16,0,4,5,2,0,0,142,18,9,169,0,169,0,380,211,142,169,169,,1,d97fc400cdd3d8875492dcd5b914831f60106f3cb3e4de99322eec8e876c0a38,26/06/2023 00:00:17,ESCANER
10199,"Totonicapán",8,"Momostenango",5,1330,380,2,5,6,4,34,3,1,48,0,0,34,17,2,2,3,1,0,0,162,10,0,172,0,172,0,380,208,162,172,172,,1,589a25e69f23726eac80240881ac3be257dd12af8995aef5b3178e8bd5f7c5b7,25/06/2023 23:04:49,ESCANER
10200,"Totonicapán",8,"Momostenango",5,1330,380,3,2,8,2,27,0,0,51,1,3,26,14,1,4,1,2,0,0,145,3,3,151,0,151,0,380,229,145,151,151,,1,e89e62cc0dd623cf41f394f37e6ef91ff03b4edc6a53cf7d4c826e1818b4dc7e,25/06/2023 22:47:55,ESCANER
