TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
108,108,100.0000,108,100.0000,0,40974,22564,55.0690

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CCER-19PAZ,VALOR UNIONISTA,VIVA,CAMBIO,UNE,BIEN,SEMILLA,CABAL,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21929,"Zacapa",19,"Zacapa",1,3396,400,11,121,6,7,8,8,0,9,63,0,233,20,1,256,0,256,0,399,143,233,254,254,Sumas Asentadas sin cuadrar,1,eafe13f76301c42d6eeb546e8b692462ed3fcf3ae7390fe237b85791d28f83d9,26/06/2023 01:33:34,ESCANER
21930,"Zacapa",19,"Zacapa",1,3396,400,7,106,10,8,1,4,2,6,67,1,212,21,1,234,0,234,0,400,166,212,234,234,,1,f15de730014aef50931d4e538dc4e37eaba6a4d67eb768688e65b18eba67e6a7,26/06/2023 01:03:18,ESCANER
21931,"Zacapa",19,"Zacapa",1,3396,400,12,104,10,2,1,7,0,9,66,0,211,16,4,231,0,231,0,420,169,211,231,231,,1,b5197469848a24a85617a4c3d35c831aef64ac7203d196ba1ec6cdbfe7a50b30,26/06/2023 00:43:42,ESCANER
21932,"Zacapa",19,"Zacapa",1,3396,400,10,108,15,8,1,2,2,6,57,2,211,14,2,227,0,227,0,400,173,211,227,227,,1,96b163ae51ca07fbb44848be825b2fe862c06f759ce8dabaf463392ab1520830,26/06/2023 00:32:11,ESCANER
21933,"Zacapa",19,"Zacapa",1,3396,400,11,109,16,2,0,7,4,12,58,0,219,9,1,229,0,0,0,397,171,219,229,229,,1,dd68899a73a007ef750ac822dbaa82e556d744ca33ca29c617dbbdcfd1694ebc,26/06/2023 01:08:28,ESCANER
21934,"Zacapa",19,"Zacapa",1,3396,400,19,130,6,2,1,1,0,11,50,1,221,5,0,226,0,226,0,396,171,221,226,226,,1,fb6bbd3e8033a0ea2d06eb5cd0a037f7a083af8e52eb7e442899342e8ea575d3,26/06/2023 02:12:16,ESCANER
21935,"Zacapa",19,"Zacapa",1,3396,400,6,119,5,5,2,4,2,10,64,2,219,3,4,226,0,226,0,397,171,219,226,226,,1,bb81d046e325d0c8208ff8d1f5b91ed910e65596bf566022637014a6cd54e5e6,26/06/2023 00:39:26,ESCANER
21936,"Zacapa",19,"Zacapa",1,3396,400,15,101,11,3,3,3,1,8,67,0,212,2,0,214,0,214,0,399,185,212,214,214,,1,52cfeb51c6a65bb3acb101f1dfe4d3fd14971b46efc7eeb600dd69a1a2422e0b,25/06/2023 23:04:32,ESCANER
21937,"Zacapa",19,"Zacapa",1,3396,400,12,110,16,3,2,4,0,3,62,0,212,8,1,221,0,221,0,392,171,212,221,221,,1,5b2f51a5913c9a9a58dbea2ba8064bb7a10d5c198ef96fb980c84857967c9f27,26/06/2023 00:18:42,ESCANER
21938,"Zacapa",19,"Zacapa",1,3396,342,11,105,7,2,0,3,0,10,54,1,193,3,1,197,0,197,0,330,142,193,197,197,,1,be92aaa05917d9cf09d938f26eae57100ad2c29cd17dd8abafaf11b69ba7aa56,25/06/2023 23:45:15,ESCANER
21939,"Zacapa",19,"Zacapa",1,3396,341,7,72,11,4,2,1,1,6,28,0,132,10,0,142,0,142,0,338,196,132,142,142,,1,e3845c85b882bcdd53d87511e0312ad47cb2dcdf5e3978199689dc98efd36240,25/06/2023 22:50:27,ESCANER
21940,"Zacapa",19,"Zacapa",1,3397,312,6,108,15,9,2,26,5,10,46,0,227,7,0,234,0,234,0,312,78,227,234,234,,1,61d5d44f765e84ebe814aa8d402e6f59862475be5705d7eddfd423a8897b36a2,25/06/2023 22:53:12,ESCANER
