TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
100,100,100.0000,99,99.0000,1,38719,26828,69.2889

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,MLP,VOS,TODOS,VICTORIA,UNE,FUTURO,SEMILLA,AZUL,WINAQ,CAMBIO,MI FAMILIA,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5382,"Sacatepéquez",2,"Antigua Guatemala",1,534,396,11,18,5,52,74,2,4,93,17,5,4,1,7,3,296,12,0,308,0,308,--,396,88,296,308,308,Algún campo sin dato,1,c752f5a736d8f1e35d25ebb8c4f69c37499829bb9b3e4cd70a7848031e9c867a,25/06/2023 22:52:26,ESCANER
5383,"Sacatepéquez",2,"Antigua Guatemala",1,534,395,15,25,10,50,77,0,2,86,16,10,4,1,5,0,301,4,0,305,0,305,--,395,90,301,305,305,Algún campo sin dato,1,2490630304c04a7c074dd615efd92eefb1856274567bedcb45f18ba188ddd5a1,25/06/2023 22:42:28,ESCANER
5384,"Sacatepéquez",2,"Antigua Guatemala",1,535,400,21,12,12,62,71,3,9,66,13,7,4,0,4,3,287,17,3,307,0,307,--,400,93,287,307,307,Algún campo sin dato,1,13dd1dca68627c363cef85344ee0b7a2b7dc8a3bf13889beebaad2513a545a3e,25/06/2023 22:04:34,ESCANER
5385,"Sacatepéquez",2,"Antigua Guatemala",1,535,400,18,10,13,50,56,3,8,66,28,3,0,0,4,5,264,14,1,279,0,279,--,400,121,264,279,279,Algún campo sin dato,1,ad9c9283e37ce00c593c74d7e092f2d7054bdbbb154791c6fa8f7475198da516,25/06/2023 23:02:43,ESCANER
5386,"Sacatepéquez",2,"Antigua Guatemala",1,535,400,20,8,18,62,54,2,6,74,29,8,1,0,9,1,292,8,0,300,0,300,--,--,--,292,300,300,Algún campo sin dato,1,20e52dc9984621cab0c1664d41ce794d91981e135747a9b2ed1b93b1d322bfcb,25/06/2023 21:58:26,ESCANER
5387,"Sacatepéquez",2,"Antigua Guatemala",1,535,400,15,13,11,56,63,4,4,67,10,3,2,1,9,--,258,10,3,271,129,400,--,400,129,258,271,400,Algún campo sin dato,1,e3fed1b675661df2d0b400a3796fc273b253c99e1e3c84717eb9f2b93fa26493,25/06/2023 22:18:35,ESCANER
5388,"Sacatepéquez",2,"Antigua Guatemala",1,536,400,12,10,10,69,64,1,9,61,18,5,7,1,7,2,276,4,1,281,7,288,--,397,109,276,281,288,Algún campo sin dato,1,7711ceafb7984f944567514490edc019b5b39f212ed3f620bd3e90ba54cc53f8,25/06/2023 23:48:28,ESCANER
5389,"Sacatepéquez",2,"Antigua Guatemala",1,536,400,21,11,11,47,56,0,3,86,12,7,2,1,9,3,269,12,3,284,0,284,--,410,126,269,284,284,Algún campo sin dato,1,a5503e6258d53fc072527061be0888f182525c8717c07c133cbf0c616ee33d58,26/06/2023 00:46:04,ESCANER
5390,"Sacatepéquez",2,"Antigua Guatemala",1,537,400,11,17,14,66,63,1,4,61,12,4,2,0,6,3,264,15,4,283,0,283,--,400,117,264,283,283,Algún campo sin dato,1,f0f4dc101e729a031ec874ceb11aa3d005bfdf497980bdaeb50cdeadcc2931f7,25/06/2023 23:19:15,ESCANER
5391,"Sacatepéquez",2,"Antigua Guatemala",1,537,400,26,3,13,53,56,2,2,55,15,9,5,0,5,2,246,13,1,260,0,260,--,400,140,246,260,260,Algún campo sin dato,1,01be84132e62c7f2e267d0d6360c51b77c32f2d6030dab483d072f66cab4dac5,26/06/2023 03:56:53,ESCANER
5392,"Sacatepéquez",2,"Antigua Guatemala",1,537,400,14,14,8,54,44,0,2,87,22,6,1,1,8,1,262,6,0,268,1,269,--,398,--,262,268,269,Algún campo sin dato,1,1e35bbd08ab93c803dd7f34765a9c03f87abe7392bc8a9074ea2573ed0e086dd,26/06/2023 00:35:44,ESCANER
5393,"Sacatepéquez",2,"Antigua Guatemala",1,537,210,3,2,2,33,33,0,2,60,15,2,2,0,3,0,157,2,0,159,0,159,--,210,51,157,159,159,Algún campo sin dato,1,ad40599ce4a3e0d7dbf3a157aec628d8b05caa879a245770b68fd231850e0ba5,25/06/2023 23:28:55,ESCANER
5394,"Sacatepéquez",2,"Antigua Guatemala",1,537,209,4,7,3,23,29,1,1,30,9,2,0,0,3,0,112,4,1,117,0,117,--,--,--,112,117,117,Algún campo sin dato,1,94c54f06a6f97cede10c09a2bdaf9ceaea9a53d22ebfd34cbc4bea7de5d27997,25/06/2023 22:12:56,ESCANER
5395,"Sacatepéquez",2,"Antigua Guatemala",1,538,380,10,9,4,135,45,1,3,32,13,3,6,0,7,5,273,11,0,284,0,284,--,380,96,273,284,284,Algún campo sin dato,1,c1e9cd8bff13e62865ee10376e33567704e408515ae71bc8787f5ea81b944e87,26/06/2023 00:52:11,MOVIL
5396,"Sacatepéquez",2,"Antigua Guatemala",1,538,380,9,13,5,124,49,1,3,30,9,5,9,1,11,2,271,11,0,282,3,285,--,380,95,271,282,285,Algún campo sin dato,1,fbf8b86215b3d69b47e59d56c3711efc134f54e879f00bb46fed4bbdc31178f1,26/06/2023 00:38:42,MOVIL
5397,"Sacatepéquez",2,"Antigua Guatemala",1,538,380,11,9,6,133,47,1,1,39,12,7,0,0,13,1,280,9,0,289,1,290,--,379,89,280,289,290,Algún campo sin dato,1,5c3610add33f2cdf9a7df3086da57325de1fc19cfc8a7649b3d39a336e3281ae,26/06/2023 03:00:40,MOVIL
5398,"Sacatepéquez",2,"Antigua Guatemala",1,538,380,9,7,3,148,51,1,3,27,11,4,5,1,13,1,284,12,1,297,0,297,--,380,83,284,297,297,Algún campo sin dato,1,f5ad8ac8468f0a620f9838d5544d16fb2ca3bf284bbffaa2dd2cbfd8dcb90535,26/06/2023 03:25:31,MOVIL
5399,"Sacatepéquez",2,"Antigua Guatemala",1,538,380,13,7,5,137,51,2,2,29,10,3,4,1,13,1,278,8,1,287,1,288,--,377,89,278,287,288,Algún campo sin dato,1,0fb789639a9145291c71071ebfd92a50978773f7258a5908c617075ace7e7c10,26/06/2023 03:12:15,MOVIL
5400,"Sacatepéquez",2,"Antigua Guatemala",1,538,380,6,11,2,149,53,1,1,30,13,7,2,0,14,2,291,4,1,296,0,296,--,380,84,291,296,296,Algún campo sin dato,1,097d84c4f6b9230074f226bb15628799805f96a8ed868a0bdfa93ff9d673da1c,26/06/2023 03:39:11,MOVIL
5401,"Sacatepéquez",2,"Antigua Guatemala",1,538,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,93301a333039a54d82a4bf73117e3838765c6299985534b7e55ce87aa94e7072,26/06/2023 05:10:24,MOVIL
5402,"Sacatepéquez",2,"Antigua Guatemala",1,538,380,10,14,3,109,60,0,1,49,9,5,2,2,4,0,268,4,0,272,0,272,--,380,108,268,272,272,Algún campo sin dato,1,5797a3a059c9fff8e5f3b07f7ec9fea50b7041906cd91b82768d2e4370538ffc,26/06/2023 02:32:06,MOVIL
5403,"Sacatepéquez",2,"Antigua Guatemala",1,538,298,3,3,2,105,50,0,2,29,12,5,3,0,8,0,222,3,0,225,0,225,--,298,73,222,225,225,Algún campo sin dato,1,9b70e6d6fab95937a69ed839200fd074c3b932b4347a6dc5c3aac281e3561ce1,26/06/2023 00:21:38,MOVIL
5404,"Sacatepéquez",2,"Antigua Guatemala",1,538,297,7,4,1,81,45,0,6,25,9,1,0,0,4,1,184,3,0,187,0,187,--,194,107,184,187,187,Algún campo sin dato,1,14aa4c19b75f52632f4ef02bf61dfcc5c51e37cd32dc656b88493a80b6090baa,26/06/2023 02:54:45,MOVIL
5405,"Sacatepéquez",2,"Antigua Guatemala",1,539,380,5,10,1,121,86,2,4,23,4,4,1,0,12,6,279,12,2,293,0,293,--,377,84,279,293,293,Algún campo sin dato,1,c2156b5727cae6af468c88331a2597ae247cd67dfb885455a994265e45df6f54,25/06/2023 23:38:48,ESCANER
5406,"Sacatepéquez",2,"Antigua Guatemala",1,539,380,11,10,1,107,71,2,1,38,4,7,2,0,17,5,276,12,3,291,0,291,--,380,89,276,291,291,Algún campo sin dato,1,f9c769bcb7972141ba05205024afff310d4134f81dd7a5b428ab83d20c94e3ca,26/06/2023 00:09:25,ESCANER
5407,"Sacatepéquez",2,"Antigua Guatemala",1,539,380,7,5,1,120,72,0,3,40,1,6,0,1,12,6,274,7,4,285,0,285,--,380,95,274,285,285,Algún campo sin dato,1,1a8040450a1f4d7d132259ef260d60bab739b50dfb58978b41753e0ea0ef1744,25/06/2023 23:51:15,ESCANER
5408,"Sacatepéquez",2,"Antigua Guatemala",1,539,233,6,3,0,51,45,0,1,28,3,2,0,0,6,1,146,6,1,153,0,153,--,233,80,146,153,153,Algún campo sin dato,1,7de5ccf013a092bb92fb5cc6638c0d9e2fc9962b4fd3f764f49d274cdffa2857,25/06/2023 21:56:23,ESCANER
