TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,70,100.0000,70,100.0000,0,25921,14405,55.5727

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UR,TODOS,CABAL,UNE,VALOR,PHG,URNG-MAIZ   SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15399,"Huehuetenango",13,"Jacaltenango",7,2240,380,10,3,0,121,53,1,6,2,196,6,2,204,0,204,--,380,176,196,204,204,Algún campo sin dato,1,19c17e99a7ff8cd9b9b981877fd38ad8fbb8a4adce9a8ddf0628fbe6f9abd0d1,26/06/2023 00:21:31,ESCANER
15400,"Huehuetenango",13,"Jacaltenango",7,2240,380,6,5,0,130,60,3,8,3,215,7,1,223,0,223,--,380,157,215,223,223,Algún campo sin dato,1,bb0891c60a1bee8377583fccb25fd4b1cbbf9cd664caea29ab3a011e13c54e78,26/06/2023 01:10:41,ESCANER
15401,"Huehuetenango",13,"Jacaltenango",7,2240,380,9,5,0,97,43,4,7,1,166,5,1,172,0,172,--,392,220,166,172,172,Algún campo sin dato,1,5fcd7f2fe115d535aea525476f167bcc69fd286983aa5b60903e0cda6bd1caf7,26/06/2023 00:08:00,ESCANER
15402,"Huehuetenango",13,"Jacaltenango",7,2240,380,12,2,0,107,44,2,3,0,170,4,5,179,0,179,--,368,189,170,179,179,Algún campo sin dato,1,9a12677d2a2d80d95405bbeb5ff3f82aa3c810c24926e3a03b2ebe2e188ae84d,25/06/2023 23:25:31,ESCANER
15403,"Huehuetenango",13,"Jacaltenango",7,2240,284,8,3,0,65,20,0,1,1,98,2,1,101,0,101,--,284,183,98,101,101,Algún campo sin dato,1,b6904fa54644a74a6abac9655f83bb9b9cb511ad8eea23efda12bc795ffd61b6,25/06/2023 22:33:38,ESCANER
15404,"Huehuetenango",13,"Jacaltenango",7,2240,283,7,3,0,58,25,1,2,0,96,2,3,101,0,101,--,283,182,96,101,101,Algún campo sin dato,1,2e3c23e7f860af2e613e1cc8107ea1ea9fc9f804c974f41b43131e966328631d,25/06/2023 23:17:25,ESCANER
15405,"Huehuetenango",13,"Jacaltenango",7,2241,380,76,0,1,122,22,3,0,6,230,5,1,236,0,236,--,391,155,230,236,236,Algún campo sin dato,1,b3e6586372624b000952533661e0db6185b83268ec73922e05c2ced50f2c0558,26/06/2023 00:34:38,ESCANER
15406,"Huehuetenango",13,"Jacaltenango",7,2241,380,57,1,0,134,22,1,0,8,223,6,2,231,0,231,--,380,149,223,231,231,Algún campo sin dato,1,8ae937be9626af91d05ea1412dd662fd2012243482687e340f0f0c3bab2f70b2,25/06/2023 23:53:15,ESCANER
15407,"Huehuetenango",13,"Jacaltenango",7,2241,348,57,2,0,109,23,0,0,2,193,5,4,202,0,202,--,348,146,193,202,202,Algún campo sin dato,1,3a9f2a3d689f285e27d5451d777bbbda8482290f619ab86f5583f6408762dbdc,25/06/2023 23:37:01,ESCANER
15408,"Huehuetenango",13,"Jacaltenango",7,2241,348,35,3,0,81,27,2,0,1,149,4,0,153,0,153,--,348,195,149,153,153,Algún campo sin dato,1,57be3e26a5cce0cf6eaeb3b24692a5c6cf7a7447728aa152e1b1afb8293c15f7,26/06/2023 01:08:42,ESCANER
15409,"Huehuetenango",13,"Jacaltenango",7,2242,380,28,0,2,148,44,0,6,3,231,8,1,240,0,240,--,380,140,231,240,240,Algún campo sin dato,1,25d3a56fca4c66915850685da16ce10c712cfdcac63aab90f31dd267b41fc83e,26/06/2023 00:45:53,ESCANER
15410,"Huehuetenango",13,"Jacaltenango",7,2242,380,26,4,2,151,26,0,0,0,209,1,0,210,0,210,--,380,170,209,210,210,Algún campo sin dato,1,d41a6de6199c6750b1e44af47391d7538a16060c9c547c4fa9c4675bed07634a,26/06/2023 01:59:49,ESCANER
15411,"Huehuetenango",13,"Jacaltenango",7,2242,380,25,1,0,131,43,0,1,3,204,5,6,215,--,215,--,--,--,204,215,215,Algún campo sin dato,1,cf8309b9de059f69baf95c889e2f9ae7e5857473cc7287953c80b28e5539bac6,26/06/2023 01:50:18,ESCANER
15412,"Huehuetenango",13,"Jacaltenango",7,2242,249,12,0,2,83,19,0,0,2,118,9,3,130,0,130,--,249,119,118,130,130,Algún campo sin dato,1,4052b40c953b7f9b6e48a685555d7f7592e7566a3683f6bdd63cd8952878c5f4,25/06/2023 23:46:53,ESCANER
15413,"Huehuetenango",13,"Jacaltenango",7,2242,249,21,1,1,78,16,1,2,2,122,0,0,122,0,122,--,249,127,122,122,122,Algún campo sin dato,1,619c9aaf1bf2d1625b6a52bc0594567964e19e8b016e6f114c8e09a25400e6d5,25/06/2023 22:50:51,ESCANER
15414,"Huehuetenango",13,"Jacaltenango",7,2243,594,22,4,2,87,30,1,1,2,149,5,1,155,0,155,--,594,439,149,155,155,Algún campo sin dato,1,dfb6d787e6a52f2b14d2dd3f19c272034a05b3b50e222a422f5af1f0069c7ecf,25/06/2023 23:03:42,ESCANER
15415,"Huehuetenango",13,"Jacaltenango",7,2243,594,12,0,2,51,20,0,1,0,86,3,1,90,0,90,--,593,503,86,90,90,Algún campo sin dato,1,905e2434a0f6cb45051240270022310d66139569d1e9da45b1a8f4c87d644ca1,25/06/2023 22:40:18,ESCANER
