TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,76,90.4761,76,90.4761,0,29016,15549,53.5876

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,TODOS,MLP,CAMBIO,UR,VALOR,CABAL,PPN,VICTORIA,UNE,VAMOS,VIVA,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23322,"Jalapa",21,"San Pedro Pinula",2,3661,380,5,12,19,5,2,22,6,7,0,26,16,4,0,124,25,8,157,0,157,--,380,223,124,157,157,Algún campo sin dato,1,f2afac0074756c619484f06ced92bb33cd7563a845ec10a87c895611a91d8047,26/06/2023 01:05:38,ESCANER
23323,"Jalapa",21,"San Pedro Pinula",2,3661,380,6,7,16,6,1,11,4,10,2,31,26,0,1,121,26,4,151,0,151,0,380,229,121,151,151,,1,138add749f015700f1d6c81ef547bdadc26ca3a5101fbb7465dc58374434244e,26/06/2023 00:43:17,ESCANER
23324,"Jalapa",21,"San Pedro Pinula",2,3661,380,2,7,15,3,5,12,7,3,1,33,9,1,0,98,9,3,110,0,110,--,376,266,98,110,110,Algún campo sin dato,1,4c2e1d5bed913b6c5066c4280f288024162d23be69a13a8a790ea0cea81fda3a,25/06/2023 23:49:30,ESCANER
23325,"Jalapa",21,"San Pedro Pinula",2,3661,380,5,1,14,7,4,19,5,4,0,33,26,0,1,119,13,4,136,0,136,--,380,244,119,136,136,Algún campo sin dato,1,3515eeb4d3cb1bfff3ad09943536e7b7d6fb91e87d5b84b9d4f1fcfb2dc3ee36,25/06/2023 23:23:10,ESCANER
23326,"Jalapa",21,"San Pedro Pinula",2,3661,327,2,4,17,8,2,8,2,3,0,17,13,1,0,77,11,7,95,0,95,--,327,232,77,95,95,Algún campo sin dato,1,b524a6179f1dc31a220e0c7624a15f228d8daf4cfa1f031d1d1e61865c68d1dd,25/06/2023 22:48:57,ESCANER
23327,"Jalapa",21,"San Pedro Pinula",2,3661,326,2,7,15,2,3,13,6,2,0,31,11,1,0,93,18,4,115,1,116,1,327,211,93,115,116,,1,0f6cecee337fd506b9db313c5beb05e731773ee462cbb2ca45ad015fa82474d8,26/06/2023 02:01:49,ESCANER
23328,"Jalapa",21,"San Pedro Pinula",2,3662,380,2,24,17,1,5,30,36,27,0,48,26,2,4,222,21,16,259,0,259,--,380,121,222,259,259,Algún campo sin dato,1,bbaf874bcebd7a0c56dfbd66531e9f1652f11929fac4d0cb6b336cbbae746787,26/06/2023 02:47:34,ESCANER
23329,"Jalapa",21,"San Pedro Pinula",2,3662,380,4,24,9,1,5,19,33,18,0,60,41,1,3,218,23,8,249,0,249,--,376,127,218,249,249,Algún campo sin dato,1,e939190ecdd01c30adaca83099bb25f7a1a4179f607f3d867d814f4bcfb00ce8,26/06/2023 03:21:55,ESCANER
23330,"Jalapa",21,"San Pedro Pinula",2,3662,380,10,34,12,2,3,21,42,13,0,64,55,0,0,256,20,9,285,0,285,--,380,95,256,285,285,Algún campo sin dato,1,f37f94150d920dcc3670d4d6548cb4bc0a9bc9b091ddf46d304ee3f570c3f29e,26/06/2023 03:04:15,ESCANER
23331,"Jalapa",21,"San Pedro Pinula",2,3663,380,4,35,8,0,3,30,36,20,0,46,30,3,2,217,13,7,237,0,237,--,380,143,217,237,237,Algún campo sin dato,1,bfc5e2bf7bf432167c554c320e9e89540aae03bd2fbe387ec92d3f59fa3d215b,26/06/2023 01:37:40,ESCANER
