TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
119,119,100.0000,119,100.0000,0,45560,25215,55.3446

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,ELEFANTE,VICTORIA,COCIG,PR,VAMOS,SEMILLA,PHG,DESHE,CABAL,U R N G - MAIZ,MLP,BIEN,PODEMOS,VALOR,PPN,CREO,TODOS,VOS,PIN,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13245,"San Marcos",12,"San Pedro Sacatepéquez",2,1805,400,31,16,11,8,3,22,30,2,1,11,1,24,12,2,5,21,0,20,2,1,0,2,225,4,1,230,0,230,0,400,170,225,230,230,,1,0b301eac397fd1a8903f7c71435921eebda956b00c2d5aa022afca063e0ac1c9,26/06/2023 00:09:48,ESCANER
13246,"San Marcos",12,"San Pedro Sacatepéquez",2,1805,400,42,12,9,8,5,13,19,4,1,10,2,34,7,10,5,17,0,24,2,0,1,1,226,4,0,230,0,230,0,400,170,226,230,230,,1,41a7838fedd8656af009b9458f701deb4d2d97276dad82442834dc35167066cd,26/06/2023 00:40:56,ESCANER
13247,"San Marcos",12,"San Pedro Sacatepéquez",2,1805,232,22,6,2,8,2,17,4,4,0,1,4,7,6,0,4,10,2,13,1,0,1,2,116,6,2,124,0,124,0,232,108,116,124,124,,1,08e7b7a1dfc0139638c8c07e3c9a6bbe0e20084dcf8cdac1ba04af1f81a0da41,25/06/2023 22:57:18,ESCANER
13248,"San Marcos",12,"San Pedro Sacatepéquez",2,1805,232,14,10,7,5,2,8,6,3,1,8,3,5,4,0,4,3,0,10,2,0,0,1,96,2,2,100,0,100,0,229,129,96,100,100,,1,78cf0bae3fe4ea86db8e6e3189bf1214ae3dfebb1abd2cec5888d8da7b4cf306,25/06/2023 23:31:20,ESCANER
13249,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,400,32,12,3,13,3,43,6,11,0,9,3,10,4,5,17,28,0,23,1,8,2,2,235,4,4,243,0,243,0,400,157,235,243,243,,1,80334aedfbd7ca98fbd55f0164aefdfa8e84648c94f777b73bfec1f75f47e95f,25/06/2023 23:48:32,ESCANER
13250,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,400,41,12,3,15,8,40,9,12,1,11,2,9,7,3,23,18,1,17,0,5,1,2,240,7,4,251,0,251,0,368,117,240,251,251,,1,b4eb092614e8beba79c1cc8cf7fc26490c12c72a8d578a4641b5acc315d75dd3,25/06/2023 23:53:57,ESCANER
13251,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,400,49,14,9,10,4,48,8,8,1,10,2,11,1,2,16,22,1,32,1,6,3,3,261,7,3,271,0,271,--,397,126,261,271,271,Algún campo sin dato,1,aeb517434b88aaf54ffa65a58fe8d1d0f2af5bb7c1f1123b6cfe344cd0ff05c7,26/06/2023 02:14:18,ESCANER
13252,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,400,41,17,9,10,3,38,14,9,1,6,1,18,12,9,13,16,0,22,1,5,5,1,231,5,1,257,0,263,--,400,143,251,257,257,Sumas Asentadas sin cuadrar,1,a92a753f2cfe2af940dc87c721a23136c596997fbb156b42c5b2305aa533799c,26/06/2023 04:47:46,ESCANER
13253,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,400,38,15,5,14,3,40,12,8,2,6,3,12,7,3,9,12,1,17,0,1,6,3,217,6,2,225,0,225,0,400,175,217,225,225,,1,d8538f37031f20d171069e32498e0b9cef4e84d0aede01acc8a443a7372afb06,26/06/2023 01:47:10,ESCANER
13254,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,400,54,11,4,18,9,47,4,5,1,7,2,6,1,1,14,21,4,15,1,4,7,4,240,8,0,248,0,248,0,400,152,240,248,248,,1,295bfd9ab680c470b0275438de4b2dc7d9ce9d724e5c889b4641ac0d9f29d3d6,26/06/2023 02:08:47,ESCANER
13255,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,400,36,12,4,15,6,36,7,6,1,6,2,11,9,5,12,8,2,21,1,4,6,4,214,7,1,222,0,222,0,400,178,214,222,222,,1,2620852f5450153c35d7e80c371792323b0984cb98aae0bbde1b706cf0ea60ad,26/06/2023 02:04:42,ESCANER
13256,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,400,35,9,5,14,2,32,10,5,1,6,4,10,1,1,11,10,1,18,0,5,1,2,183,7,1,191,0,191,0,394,203,183,191,191,,1,c0f053d4105901aa203062fd5256660fbb204f993991e5265ddb0c6d6f83c068,26/06/2023 00:23:13,ESCANER
13257,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,264,23,7,7,7,5,32,15,6,0,2,0,11,3,5,7,9,2,12,2,0,1,1,157,2,0,159,0,159,0,261,102,157,159,159,,1,efe1c1826cab8e619cf36f027e6b0256b01cfae58802038c741fda5d49c40f9d,26/06/2023 00:47:46,ESCANER
13258,"San Marcos",12,"San Pedro Sacatepéquez",2,1806,263,25,6,2,9,4,32,4,9,0,3,0,4,2,4,12,6,1,14,2,0,1,0,140,5,2,147,0,147,0,261,114,140,147,147,,1,e33a49c893d539a463db2c2357dfe6fb5ec4aa2aa8d328250d90151991327d11,26/06/2023 00:26:10,ESCANER
