TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,67,95.7142,67,95.7142,0,24807,16391,66.0740

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PODEMOS,PHG,UNE,BIEN,VICTORIA,TODOS,VALOR,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15273,"Huehuetenango",13,"Nentón",5,2213,380,93,89,0,53,2,0,1,4,0,242,7,7,256,0,256,--,380,124,242,256,256,Algún campo sin dato,1,ade511800e0d1b4c9371f6059a1de3847b7f3d5f56ad51d3862ded9299b4045c,25/06/2023 23:13:56,ESCANER
15274,"Huehuetenango",13,"Nentón",5,2213,380,77,103,0,67,1,1,0,1,0,250,10,6,16,0,266,--,380,111,250,266,266,Sumas Asentadas sin cuadrar,1,de3a6ac91b1461e1be764e713f99d536813912403dcf48b4aba00a1516cb093b,26/06/2023 00:54:03,ESCANER
15275,"Huehuetenango",13,"Nentón",5,2213,380,25,114,0,127,1,0,0,5,0,272,3,2,277,0,277,--,380,103,272,277,277,Algún campo sin dato,1,dbbb156e78c47be75cd0052139594d4861f491bfd10f05282fb1643a00b38057,26/06/2023 00:32:03,ESCANER
15276,"Huehuetenango",13,"Nentón",5,2213,380,69,121,0,73,1,0,0,7,0,271,0,3,274,0,274,--,380,106,271,274,274,Algún campo sin dato,1,4e58167795982aa57c67639c005accf32b1f2b51b692b1b51855c766172377a7,26/06/2023 00:43:00,ESCANER
15277,"Huehuetenango",13,"Nentón",5,2214,380,108,106,0,41,0,1,0,5,1,262,4,1,267,0,267,0,380,113,262,267,267,,1,a96b02a10f121efa9774f0a0730a034a2d4c37801610119c6e9c559f18da1ead,26/06/2023 00:10:46,MOVIL
15278,"Huehuetenango",13,"Nentón",5,2214,274,45,78,0,40,0,0,0,7,1,171,5,6,182,0,182,--,274,92,171,182,182,Algún campo sin dato,1,b5df5d29cd18d577b9648b2f2366429012ca374d8be6d40240247bfc3504c8e2,26/06/2023 00:14:24,MOVIL
15279,"Huehuetenango",13,"Nentón",5,2214,273,49,110,0,44,1,0,0,3,0,207,0,1,208,0,208,--,273,65,207,208,208,Algún campo sin dato,1,f5119613b76cc23a80a3af48538787740fe2459ad472eb8578b13b99b5c1ad12,26/06/2023 00:51:33,MOVIL
15280,"Huehuetenango",13,"Nentón",5,2215,380,94,127,0,54,2,0,0,7,2,286,8,1,--,0,295,--,400,295,286,295,295,Algún campo sin dato,1,7e868fafe3641f05465bbf0213daf86a68a01bb180fb6cf2da205f42517f8925,26/06/2023 04:56:15,ESCANER
15281,"Huehuetenango",13,"Nentón",5,2215,380,69,134,0,34,2,1,1,6,0,247,6,3,256,0,256,--,380,124,247,256,256,Algún campo sin dato,1,27eff28d9e7d1f1413b8087958b168e09abef6600f1f486e66411c0fa2b14cf9,26/06/2023 02:37:04,ESCANER
15282,"Huehuetenango",13,"Nentón",5,2215,380,82,110,0,41,0,1,2,8,0,244,7,0,251,0,251,--,396,145,244,251,251,Algún campo sin dato,1,3d9610fb7c4b295fab84edcfa0ec2c09cbc3ca98b04e21c5ea01cc3ed3d4dab1,26/06/2023 00:38:51,ESCANER
15283,"Huehuetenango",13,"Nentón",5,2215,337,66,100,0,42,0,1,0,5,1,215,3,3,221,0,221,--,337,116,215,221,221,Algún campo sin dato,1,eaff5870363aff964a7775dcb4af0dbfa16239ea3ed48d9ec3da8a6a32b0d652,26/06/2023 00:23:35,ESCANER
15284,"Huehuetenango",13,"Nentón",5,2215,336,63,103,0,30,0,2,0,5,1,204,4,4,212,0,212,--,336,124,204,212,212,Algún campo sin dato,1,54840655409a3ec7cee19a12f028e9f11ebc4790f1ce7a6a03f765eec9e3aeed,25/06/2023 23:08:01,ESCANER
15285,"Huehuetenango",13,"Nentón",5,2216,314,79,109,1,14,1,0,0,3,0,207,4,2,213,0,213,--,314,101,207,213,213,Algún campo sin dato,1,ee805217f41c0db585c1ace89e958148e138756620b34ad61ccc3d7a2a6e1a7b,25/06/2023 21:45:31,ESCANER
15286,"Huehuetenango",13,"Nentón",5,2216,314,44,106,0,15,0,0,0,4,1,170,7,1,178,0,178,--,311,133,170,178,178,Algún campo sin dato,1,c572680df8df5629b852313fb9f3fcaad09e5edc41afe968b40ef8f12856c289,25/06/2023 22:09:45,ESCANER
15287,"Huehuetenango",13,"Nentón",5,2217,398,30,14,0,2,0,1,0,2,3,52,3,3,58,0,58,--,398,337,52,58,58,Algún campo sin dato,1,55594734ec25f8ed1645947a5f89a0567f665bd774506830d5ecd4382299a9d0,25/06/2023 22:43:44,ESCANER
