TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
206,206,100.0000,204,99.0291,2,76935,49192,63.9396

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,MLP,TODOS,VICTORIA,VAMOS,PPN,PODEMOS,UR,AZUL,VIVA,U R N G - MAIZ,CREO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17198,"Quiché",14,"Chichicastenango",6,2593,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,c4a31e23526da72adc549ad1fe84f5bf91a98374ed9a49eeedf15b92b04b50c8,26/06/2023 03:52:58,ESCANER
17199,"Quiché",14,"Chichicastenango",6,2593,380,49,34,3,10,3,44,2,0,1,0,4,3,0,59,212,2,5,219,7,226,--,380,154,212,219,226,Algún campo sin dato,1,902a2d49394b6469a8bc17c72253efce0b1fc297d58506a02a977e8d6d517b3d,26/06/2023 01:16:37,ESCANER
17200,"Quiché",14,"Chichicastenango",6,2593,380,63,46,1,19,1,55,0,0,0,0,2,0,0,40,227,6,0,233,0,233,0,380,147,227,233,233,,1,3953bacd5123b9d66f3d05dd8f33cec2da2c5ca828296dff0f935dab63521287,26/06/2023 01:25:58,ESCANER
17201,"Quiché",14,"Chichicastenango",6,2593,380,54,35,1,16,2,46,1,1,0,0,7,0,0,71,234,2,2,238,0,238,0,380,139,234,238,238,,1,bb1abed552809ee71d513fee4c7e94b7dea4d18721031952638ac581b91898c2,26/06/2023 00:18:07,ESCANER
17202,"Quiché",14,"Chichicastenango",6,2593,209,25,19,2,4,1,27,0,0,0,0,3,0,0,21,102,2,2,106,0,106,0,209,103,102,106,106,,1,72ec5280838715393b5cc731ef7ab0239574db4c9f91efc0569ce70e65ef6241,25/06/2023 23:33:00,ESCANER
17203,"Quiché",14,"Chichicastenango",6,2593,209,38,18,2,3,4,27,0,1,0,1,4,1,0,19,118,2,3,123,0,123,0,209,86,118,123,123,,1,ee49168e949091bf32503d8865225c9264d567f47add4262814e6c0860e46dd9,25/06/2023 23:28:34,ESCANER
17204,"Quiché",14,"Chichicastenango",6,2594,380,64,46,0,5,0,100,0,3,4,2,2,2,0,13,241,6,22,269,111,380,0,380,111,241,269,380,,1,1148c4f98a5daf1181d9a5b1b5ffa0075862e644c29a33476f524ad0c53f9b7b,26/06/2023 00:05:19,ESCANER
17205,"Quiché",14,"Chichicastenango",6,2594,380,25,51,1,6,1,101,0,4,1,1,2,1,1,33,228,12,23,263,117,380,0,380,117,228,263,380,,1,d4a58dad70fcc28d90e6dc7503ed70dabbaa284afffb596a6781d5c9c33f4dee,26/06/2023 00:02:15,ESCANER
17206,"Quiché",14,"Chichicastenango",6,2594,380,72,15,2,0,1,114,0,1,2,0,2,1,0,35,245,12,16,0,0,0,0,380,104,245,273,273,,1,b1d600988d507522804870b1cc1f8368d3a8b58c305d29094159e34c41327c79,26/06/2023 01:09:46,ESCANER
17207,"Quiché",14,"Chichicastenango",6,2594,380,44,44,5,1,0,97,0,4,1,2,1,3,1,19,222,7,9,238,142,380,--,380,142,222,238,380,Algún campo sin dato,1,5dd09770263896ba84b5ae4b675ac21e5548d0e40690215b0fc6d039093841d8,26/06/2023 01:56:43,ESCANER
