TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,22682,14702,64.8179

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,MLP,TODOS,MI FAMILIA,WINAQ,VIVA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17365,"Quiché",14,"Cunén",10,2628,290,61,13,63,3,0,0,1,0,1,10,152,2,4,158,0,158,--,300,142,152,158,158,Algún campo sin dato,1,f28f69268b2e0b3150e2303ccdc26a0a4d24152d531270742ced68696a8a526f,25/06/2023 21:12:32,ESCANER
17366,"Quiché",14,"Cunén",10,2628,290,65,10,43,2,0,1,0,3,0,7,131,8,2,141,0,141,--,290,154,131,141,141,Algún campo sin dato,1,70908e6ce4ed1986589aad33823efa1b4514a8dba20435feb4064c26397a7735,25/06/2023 21:57:05,ESCANER
17367,"Quiché",14,"Cunén",10,2629,380,132,32,58,3,0,2,0,3,1,35,266,12,8,286,0,286,--,380,94,266,286,286,Algún campo sin dato,1,80c6039d6aa387acbb1d3d126056c028f237f012949279aeeced63af689cb30b,26/06/2023 01:28:39,ESCANER
17368,"Quiché",14,"Cunén",10,2629,380,123,49,63,1,4,3,0,1,1,38,283,21,2,306,0,306,--,380,74,283,306,306,Algún campo sin dato,1,3b0ee9b8874784a8b213dba18899992fe707bc95ad1748a292c54588abba4fe3,25/06/2023 23:02:23,ESCANER
17369,"Quiché",14,"Cunén",10,2629,380,129,23,72,1,2,2,1,2,0,31,263,13,6,282,0,282,--,380,98,263,282,282,Algún campo sin dato,1,bc22f7c4c5cff07f8f098fe3c7ac12ba58a38dbc14b13c084bf2187d786a1fac,26/06/2023 01:36:07,ESCANER
17370,"Quiché",14,"Cunén",10,2629,380,126,27,55,1,2,0,0,3,2,22,238,12,4,254,0,254,--,380,126,238,254,254,Algún campo sin dato,1,4446fa033e66b06482dd9acbbe35e686a9bb2deedf08480eaa66930ee31e1b55,26/06/2023 01:17:28,ESCANER
17371,"Quiché",14,"Cunén",10,2629,286,89,36,48,1,0,0,0,1,0,21,196,4,6,206,0,206,--,286,77,196,206,206,Algún campo sin dato,1,ab6c9ecb4dc25a5671c188434a3e67357ccb7f0f3eef7493b53dc8ab26a043ff,25/06/2023 22:37:54,ESCANER
17372,"Quiché",14,"Cunén",10,2629,286,93,29,47,0,1,2,0,1,0,17,190,4,3,197,0,197,--,290,93,190,197,197,Algún campo sin dato,1,6057df718bed663dc90f994e1497d016ea12b89bac473ab2f465c548cb3765c4,25/06/2023 22:23:26,ESCANER
17373,"Quiché",14,"Cunén",10,2630,380,18,15,156,3,1,0,0,5,1,51,250,12,7,269,0,269,--,380,111,250,269,269,Algún campo sin dato,1,fff79712dd3802c49ec413b172bfaa24add3320466089481b5b384ff565bdaf6,26/06/2023 02:22:09,ESCANER
17374,"Quiché",14,"Cunén",10,2630,380,20,24,143,4,1,1,0,4,1,54,252,26,10,288,0,288,--,380,92,252,288,288,Algún campo sin dato,1,b87eb04b4c51194a40eb96713c2ac1c5208765950619915f86e5c0ed17c11935,26/06/2023 00:10:55,ESCANER
17375,"Quiché",14,"Cunén",10,2630,380,41,25,148,5,2,2,0,6,0,50,279,16,4,299,0,299,--,380,81,279,299,299,Algún campo sin dato,1,816e468b983882129ab293d88672c6b06fc2ed7361079696d32b363e194374db,26/06/2023 02:12:22,ESCANER
17376,"Quiché",14,"Cunén",10,2630,380,31,16,132,1,1,0,0,1,0,41,170,9,5,237,0,237,--,380,143,223,237,237,Sumas Asentadas sin cuadrar,1,f67d8ef6e918eb25464168a352e01086c2dba853f7a347404da07bc0c5842b66,26/06/2023 02:36:40,ESCANER
17377,"Quiché",14,"Cunén",10,2630,380,17,16,123,1,1,0,0,2,0,42,202,13,3,218,0,218,--,380,162,202,218,218,Algún campo sin dato,1,749ced12a103bf096f15177a7e2b4fe226c2da5ad354abc2e0e83652870ce48a,25/06/2023 23:58:57,ESCANER
