TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,69,100.0000,0,25674,15855,61.7550

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VICTORIA,VIVA,PODEMOS,WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16055,"Huehuetenango",13,"San Mateo Ixtatán",18,2361,311,103,47,--,26,--,1,177,1,2,180,0,180,--,308,128,177,180,180,Algún campo sin dato,1,fc0f7651e4354a8e6438208b53547e10aed356c010df7e424559bcac9a1878bd,25/06/2023 21:51:27,ESCANER
16056,"Huehuetenango",13,"San Mateo Ixtatán",18,2361,310,91,77,1,13,1,2,185,1,2,188,0,188,--,307,119,185,188,188,Algún campo sin dato,1,4d007cb86b146d6aa8a566d18be0557450cb9af55a9a7c4eb130fe88ed00810a,25/06/2023 21:01:59,ESCANER
16057,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,380,187,58,2,11,0,0,258,8,6,272,1,273,0,380,104,258,272,273,,1,e425910825cc43fb928728173c1e540b476d03a76c9648a802cef67e0f96a245,26/06/2023 00:18:15,ESCANER
16058,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,380,163,78,3,10,0,1,255,10,4,269,0,269,--,380,111,255,269,269,Algún campo sin dato,1,ef11848e2a9cc2f0d0bc7347ab295e4dfacc29098646bcdb66b7f1f4fdca1798,26/06/2023 00:49:14,ESCANER
16059,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,380,179,64,3,10,0,1,257,4,8,269,0,269,--,380,111,257,269,269,Algún campo sin dato,1,555c3b9a92e4bf98903f341290b14a5c29f9edc0349cfce2c42468689292f180,26/06/2023 01:14:52,ESCANER
16060,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,380,153,52,2,25,1,0,234,3,8,245,0,245,--,380,135,233,244,244,Sumas Asentadas sin cuadrar,1,41b346ce4f5f37aaad1cd8232df4be109620cc32b9dd6ac44bdffc004253e621,26/06/2023 01:16:59,ESCANER
16061,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,380,174,59,2,17,0,1,253,6,3,262,0,262,--,378,117,253,262,262,Algún campo sin dato,1,768eba48b12763402d702060d395f9a87f33a03491f1e56345184154b374cb6e,26/06/2023 01:02:52,ESCANER
16062,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,380,167,65,2,5,0,1,240,3,5,248,0,248,--,380,132,240,248,248,Algún campo sin dato,1,2473908ff379b29d58a069d41c72a4af5cb9c6fc3159f0a9be63dff71071461f,26/06/2023 01:49:54,ESCANER
16063,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,380,176,54,1,9,0,1,241,1,0,242,0,242,--,378,136,241,242,242,Algún campo sin dato,1,87a326500ddeef25a0210021109c538cb28fbd72565ba400aa777ea687b6539e,26/06/2023 01:08:58,ESCANER
16064,"Huehuetenango",13,"San Mateo Ixtatán",18,2362,343,123,62,5,16,--,2,--,2,3,--,--,213,--,340,127,208,213,213,Algún campo sin dato,1,157f1d14c4ed8551618a185dc19a3bc4be0bde91e847a43f45c1febb996fd2a2,26/06/2023 00:39:37,ESCANER
