TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
103,98,95.1456,95,92.2330,3,35835,24300,67.8107

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,VALOR,UNE,MLP,VAMOS,VIVA,SEMILLA,AZUL,TODOS,WINAQ,ELEFANTE,UR,MAR,CABAL,MI FAMILIA,PODER,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7968,"Escuintla",5,"San José",9,911,400,8,65,38,3,53,4,2,0,2,0,3,0,0,2,0,0,1,181,4,0,185,0,185,0,400,215,181,185,185,,1,d3860816f0bcb1cb63a6987f1c5c9aba54a8e36d79bd99baa438b757473b49a4,26/06/2023 00:40:58,ESCANER
7969,"Escuintla",5,"San José",9,912,400,15,117,45,0,53,8,1,0,10,0,21,0,0,5,0,1,0,276,9,0,285,0,285,--,400,115,276,285,285,Algún campo sin dato,1,340c3c49a2fffc59635ea7346f23308ad9337e1805bdcd5e0816e136562362ab,27/06/2023 17:42:27,ESCANER
7970,"Escuintla",5,"San José",9,912,400,12,124,45,2,58,7,2,0,7,0,14,0,2,0,0,0,1,274,7,2,283,--,283,--,400,117,274,283,283,Algún campo sin dato,1,8e5d3ac4862794eb3d0a7a492528fcd9d8df11519b4e8840df8f87d44394d401,26/06/2023 02:27:05,ESCANER
7971,"Escuintla",5,"San José",9,912,400,9,106,62,0,48,4,2,0,7,0,8,0,1,6,0,0,1,254,6,2,262,0,262,0,0,0,254,262,262,,1,4bb9844e5b152efedadc806314df1d90a7f1e3fbb1d63e9c7853cf008254d2e5,26/06/2023 13:05:02,MOVIL
7972,"Escuintla",5,"San José",9,912,400,7,113,45,0,60,3,3,0,11,0,9,0,2,2,0,0,3,258,5,0,263,0,263,--,400,137,258,263,263,Algún campo sin dato,1,73b52a5ee7d73db98ee16e6beca6029bf0d836fa4a388a2e0d8b4ee6a72e2377,27/06/2023 13:49:10,ESCANER
7973,"Escuintla",5,"San José",9,912,266,10,48,37,1,41,3,1,0,3,0,4,0,1,2,1,0,0,152,8,1,161,0,161,--,--,--,152,161,161,Algún campo sin dato,1,f4d3beba3a8e8c45371461ae679c80c5b6d067b8f6352c39cfb73ba9efb5103f,27/06/2023 13:52:14,ESCANER
7974,"Escuintla",5,"San José",9,912,266,5,49,28,0,30,4,0,1,7,1,4,0,0,2,0,0,0,131,11,2,144,0,144,--,266,117,131,144,144,Algún campo sin dato,1,00971207f80b2e9ea375e157d2e131aa5dfff8816c5ca0dc0a6d25d5f3d34177,27/06/2023 13:51:36,ESCANER
7975,"Escuintla",5,"San José",9,913,321,3,64,44,0,46,11,0,3,6,1,7,1,2,1,1,1,1,192,12,3,207,0,207,0,318,111,192,207,207,,1,55ae0a5044531634f78dd5baf67effaa4470cee0f180faf2febc568440d01575,26/06/2023 01:49:39,ESCANER
7976,"Escuintla",5,"San José",9,914,400,25,78,71,0,74,6,1,0,11,0,17,0,1,2,0,0,0,286,17,1,304,0,304,--,400,96,286,304,304,Algún campo sin dato,1,4fd97fca26232d96bae3521c3167b49cf8c55f69cc38b7d094f6ed4f435e1eca,27/06/2023 14:03:37,ESCANER
7977,"Escuintla",5,"San José",9,914,220,9,46,33,1,31,6,0,0,4,0,7,0,1,2,0,1,1,142,9,4,155,0,155,--,--,325,142,155,155,Algún campo sin dato,1,eedb75d60f38e94a4d675683fe7b87ef7a233155531709e35a61af40ec413a7f,25/06/2023 23:56:19,ESCANER
7978,"Escuintla",5,"San José",9,914,219,11,36,31,--,28,5,2,--,5,--,4,--,3,2,1,--,--,128,5,1,134,0,134,--,216,82,128,134,134,Algún campo sin dato,1,80ada208d8241bea2aadf76ea49e28ffb1b5ec3b0c1037b70a73be1579b9c130,25/06/2023 23:44:38,ESCANER
7979,"Escuintla",5,"San José",9,915,380,21,68,37,2,68,7,1,1,10,1,25,1,2,6,0,0,1,251,31,7,251,0,251,--,380,91,251,289,289,Sumas Asentadas sin cuadrar,1,8555fb9ef558af95c8c444f8d54601475bd17ed9f01dd4031d763193b8319860,27/06/2023 16:50:02,ESCANER
7980,"Escuintla",5,"San José",9,915,380,17,68,42,0,73,12,3,1,3,0,26,0,1,4,1,1,3,294,32,7,333,0,333,--,380,86,255,294,294,Sumas Asentadas sin cuadrar,1,391361a952e72ac15fa9e528b2798b8c6e30df497d036d7c79a601981e70f12c,27/06/2023 18:10:05,ESCANER
7981,"Escuintla",5,"San José",9,915,380,20,76,41,2,63,2,3,0,8,0,25,0,0,5,0,2,4,251,14,2,267,0,267,--,380,113,251,267,267,Algún campo sin dato,1,ca17220d36467c6aaa386ec5bdb57998ac1f0d9b95da3e9c74753d8d3ebe6de2,26/06/2023 02:44:42,ESCANER
