TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
87,87,100.0000,87,100.0000,0,31273,23207,74.2077

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9379,"Sololá",7,"Santa Catarina Ixtahuacán",6,1154,380,165,92,3,0,1,261,8,8,380,0,380,0,380,103,261,277,277,Sumas Asentadas sin cuadrar,1,ffa6ff413b172f38fa9c034e70c53c71c73f5ef7d45c3fa21424c882f646d088,26/06/2023 00:47:09,ESCANER
9380,"Sololá",7,"Santa Catarina Ixtahuacán",6,1154,380,168,82,1,1,0,252,9,6,267,0,267,1,380,113,252,267,267,,1,3ce6915ca4542ba0d27f48a436dced37dcac3e6c35af6f9adae72892029fd2ad,25/06/2023 23:48:51,ESCANER
9381,"Sololá",7,"Santa Catarina Ixtahuacán",6,1155,380,190,82,0,0,0,272,0,0,272,0,272,--,--,--,272,272,272,Algún campo sin dato,1,b2c70ddf24eda7ea46e32cc7775f678a8730ebcac5eddee9c0928da49fe79820,26/06/2023 00:05:58,ESCANER
9382,"Sololá",7,"Santa Catarina Ixtahuacán",6,1155,380,193,86,1,--,--,280,1,0,281,--,--,0,380,99,280,281,281,Algún campo sin dato,1,e8fafcd521344d2b28dd3ab37ab9207928bcf35ada20ef5bf9f3329d07f40e02,25/06/2023 23:06:37,ESCANER
9383,"Sololá",7,"Santa Catarina Ixtahuacán",6,1156,380,200,75,1,0,0,276,0,1,277,0,277,0,--,--,276,277,277,Algún campo sin dato,1,91c207dc0f39fcf5d9fa629b48860fa427a67746529bf40437c13add49e926d2,26/06/2023 00:42:19,ESCANER
9384,"Sololá",7,"Santa Catarina Ixtahuacán",6,1156,344,152,62,1,0,1,216,3,2,221,0,221,--,344,123,216,221,221,Algún campo sin dato,1,21aea5dba0baf58e9e668ff43518abdfdd27c4073e2e793e0b88d9fe8b1358f5,25/06/2023 23:14:50,ESCANER
9385,"Sololá",7,"Santa Catarina Ixtahuacán",6,1156,343,149,60,1,0,1,211,7,5,223,0,223,0,343,120,211,223,223,,1,8b2cabaf9dfe9b62d6a581723697dcc2d262bd5e8ae172949a543ab9eafecb6c,26/06/2023 00:50:01,ESCANER
9386,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,188,82,3,0,4,277,6,5,288,0,288,1,377,88,277,288,288,,1,05e4fd1cc8267ce99756b74e2aed3fa837277f364524b0fa119cbf680fe6dc3d,26/06/2023 02:41:22,ESCANER
9387,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,213,86,6,0,0,305,7,3,315,0,315,0,380,65,305,315,315,,1,6ef834478bffafd3bf16c62b015b25d23c7034d39c0e4d52b899c7153db3c286,26/06/2023 00:37:21,ESCANER
9388,"Sololá",7,"Santa Catarina Ixtahuacán",6,1157,380,204,87,20,0,7,318,1,1,320,0,320,2,380,58,318,320,320,,1,90edf4562b42597420e5c4aca7adc8e808bf63dfd11081d8be48702801e6bb33,26/06/2023 02:02:42,ESCANER
