TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,21863,15243,69.7205

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,ELEFANTE,VICTORIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22967,"Chiquimula",20,"Quezaltepeque",9,3604,193,68,64,2,2,0,0,136,0,1,137,0,137,0,190,53,136,137,137,,1,c1fec0310b4dba5686c030fe90139853a8cbfdb9a1c3935ae4fbb1cce6669383,26/06/2023 04:38:41,ESCANER
22968,"Chiquimula",20,"Quezaltepeque",9,3605,380,177,99,3,3,0,0,282,13,5,300,0,300,--,380,80,282,300,300,Algún campo sin dato,1,2d0e3f6a4c624802fb007d62af501ee7b22b5db0e715f31a440e05893621cbe5,26/06/2023 03:51:46,ESCANER
22969,"Chiquimula",20,"Quezaltepeque",9,3605,353,134,79,5,0,0,0,218,6,4,228,0,228,1,350,121,218,228,228,,1,0411a8097cc7797018e2e8d1937f4d10d18ff2979657732acd5c88399da0df91,26/06/2023 03:55:12,ESCANER
22970,"Chiquimula",20,"Quezaltepeque",9,3605,352,151,71,1,0,0,0,223,5,3,231,0,231,--,349,118,223,231,231,Algún campo sin dato,1,076f49795968623a2b4158ddd60ccac9981ce3c912ca8fb03d15023122d43155,26/06/2023 04:03:43,ESCANER
22971,"Chiquimula",20,"Quezaltepeque",9,3606,380,162,80,3,6,0,2,253,7,4,264,0,264,--,380,116,253,264,264,Algún campo sin dato,1,e09ccca3488a87bd8dfa2a2c8e06878837df8ca838c34dd513ade2b5c3fb5ef6,26/06/2023 04:39:44,ESCANER
22972,"Chiquimula",20,"Quezaltepeque",9,3606,380,184,87,5,6,0,2,284,11,4,299,0,299,1,380,81,284,299,299,,1,d39ed74b835e0da8761668d478602d854f8d15b8ecca1f1b5fc6a5c151368402,26/06/2023 04:53:11,ESCANER
22973,"Chiquimula",20,"Quezaltepeque",9,3606,380,119,85,4,5,0,0,213,10,5,228,0,228,0,377,149,213,228,228,,1,a3372ed7bbeb6cca4f9b9af65fb1f29ead7b21f6ec7bd3e9d13a0aae2c0890a6,26/06/2023 05:40:14,ESCANER
22974,"Chiquimula",20,"Quezaltepeque",9,3606,220,103,58,1,0,0,1,163,1,1,165,0,165,0,220,55,163,165,165,,1,965bed01f0cd2cd3673590c4cdf6c555602f56576f265263a5d5b51a6ff7002c,26/06/2023 05:55:09,ESCANER
22975,"Chiquimula",20,"Quezaltepeque",9,3606,220,94,56,1,3,0,0,154,2,0,156,0,156,--,220,64,154,156,156,Algún campo sin dato,1,8dda7edfd13404a5b278c123153c681dcdd2284104f992ac53e1cbdef4e915f2,26/06/2023 06:12:39,ESCANER
22976,"Chiquimula",20,"Quezaltepeque",9,3607,380,203,80,3,3,0,2,291,7,6,304,0,304,--,377,73,291,304,304,Algún campo sin dato,1,75246ca84cb7d7d88be20ccd638c97a2193cf86331a657cd2f39535083983773,26/06/2023 04:40:45,ESCANER
22977,"Chiquimula",20,"Quezaltepeque",9,3607,380,208,68,6,0,1,1,284,7,6,297,0,297,0,380,83,284,297,297,,1,d5c21fcc5a9ff0fa7eb0de997ba59f6e22b7e67e9b1a3430ba80e0008029d55a,26/06/2023 04:53:04,ESCANER
22978,"Chiquimula",20,"Quezaltepeque",9,3607,380,190,65,7,2,1,0,265,11,1,277,0,277,1,380,102,265,277,277,,1,4258489c3a0c0c74d9a84818736456c6a054a86c9029a2471d00308616a4b117,26/06/2023 04:56:57,ESCANER
22979,"Chiquimula",20,"Quezaltepeque",9,3607,380,160,48,6,1,0,1,216,7,3,226,0,226,0,380,154,216,226,226,,1,1e4df9ddd97130745707dc92d76141b57e5b4a35f5edfdb1802153f959ebc598,26/06/2023 05:56:56,ESCANER
22980,"Chiquimula",20,"Quezaltepeque",9,3607,289,156,48,4,0,1,1,210,0,1,211,0,211,--,289,78,210,211,211,Algún campo sin dato,1,8b4175e19f9a0100355b40b0d1e4805b14a49a5cbebd2f30612a57d6561e3d06,26/06/2023 06:13:06,ESCANER
22981,"Chiquimula",20,"Quezaltepeque",9,3607,288,128,51,0,3,0,0,182,3,0,185,0,185,--,288,103,182,185,185,Algún campo sin dato,1,8b30baa03fc1b7ed2d7741f5173a08fccecded0b9c2c798a7b992d87a9945d6d,26/06/2023 06:15:26,ESCANER
22982,"Chiquimula",20,"Quezaltepeque",9,3608,363,36,9,1,2,0,0,48,0,1,49,0,49,1,363,313,48,49,49,,1,f165d10df27e45bf081309abf020d69d24c11d3fda4b6e8e74efe92a5e4829a3,26/06/2023 02:08:20,ESCANER
22983,"Chiquimula",20,"Quezaltepeque",9,3608,362,8,7,0,0,0,0,15,0,0,15,0,15,--,362,347,15,15,15,Algún campo sin dato,1,712a6d1ec64195a1d61540a60a8c44432f920916b75a022d98ac775975eadf58,25/06/2023 22:49:33,ESCANER
