TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,69,100.0000,0,26438,13961,52.8065

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PPN,CREO,VICTORIA,UNE,MLP,CABAL,VOS,ELEFANTE,PODEMOS,AZUL,BIEN,PHG,SEMILLA,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14007,"San Marcos",12,"El Tumbador",13,1967,380,49,73,7,6,8,15,4,2,2,2,2,0,10,0,1,181,19,9,209,0,209,--,380,171,181,209,209,Algún campo sin dato,1,8cddd617626c835e8e6da652af4ace5f2d4f352fb99bb88614254c5db3d568f0,26/06/2023 02:06:33,ESCANER
14008,"San Marcos",12,"El Tumbador",13,1967,380,65,72,10,3,12,17,3,0,0,3,0,0,8,0,4,197,14,2,213,1,214,--,380,166,197,213,214,Algún campo sin dato,1,1d3935c3b3beb1f0169197132422a03a6d58522a83e56376b3af071d213ba567,26/06/2023 02:19:48,ESCANER
14009,"San Marcos",12,"El Tumbador",13,1967,380,61,75,16,6,8,9,4,1,0,1,1,0,4,0,5,191,20,3,214,0,214,--,380,166,191,214,214,Algún campo sin dato,1,675e57d7eb4c42a5d95ad7c58f3767b1b98a4efb1105740967822d0cef1598d1,25/06/2023 22:44:04,ESCANER
14010,"San Marcos",12,"El Tumbador",13,1967,380,57,60,12,6,4,14,6,0,1,2,0,0,8,0,5,175,5,0,180,0,180,--,380,200,175,180,180,Algún campo sin dato,1,3f437c513180d8ca10288821824c547f342053feae2d5c97923e9b96bb2f0000,25/06/2023 23:17:55,ESCANER
14011,"San Marcos",12,"El Tumbador",13,1967,348,43,67,12,3,9,14,2,1,0,1,0,0,11,0,4,168,2,0,170,0,170,--,345,175,167,169,169,Sumas Asentadas sin cuadrar,1,bfd89b13d545a05202134b4b0206258b8739412c7b92fe82513af08744b3ec1c,26/06/2023 01:43:41,ESCANER
14012,"San Marcos",12,"El Tumbador",13,1967,348,41,58,7,0,8,14,3,1,0,2,0,0,3,0,3,140,1,2,143,0,143,--,348,205,140,143,143,Algún campo sin dato,1,9a563fb02248c91f65fe5786298edd49e94642537b0425d25a0cf7bf81fee323,26/06/2023 01:25:55,ESCANER
14013,"San Marcos",12,"El Tumbador",13,1968,380,106,60,12,0,6,0,0,2,1,3,2,1,0,1,1,195,17,11,225,0,225,2,380,155,195,223,223,Sumas Asentadas sin cuadrar,1,25bacd89ee11d33fcda28d87e19b6485902a8f84e8d57861f3be4f53728bb475,25/06/2023 22:27:02,ESCANER
14014,"San Marcos",12,"El Tumbador",13,1968,317,71,32,14,1,3,1,2,2,1,3,1,2,1,0,1,135,19,2,156,0,156,0,317,161,135,156,156,,1,cf1c5c134f7124ee9159b2d2f69af139edc5118cead93f8fa4cd6df3c233c04a,25/06/2023 22:42:25,ESCANER
14015,"San Marcos",12,"El Tumbador",13,1968,316,69,39,11,1,1,1,0,4,3,1,0,0,2,1,2,135,6,1,142,0,142,--,316,174,135,142,142,Algún campo sin dato,1,873967b6627461f6a5d4d555458021bb34cc5131ab7bcf026db0252ecf8afbb9,25/06/2023 23:21:50,ESCANER
14016,"San Marcos",12,"El Tumbador",13,1969,380,92,76,19,4,6,1,2,1,0,2,1,1,0,0,1,206,25,2,233,0,233,--,380,147,206,233,233,Algún campo sin dato,1,6e3622480d23890febe4025c561b0c751bf551380d52b310acc2b0a781a0afbb,26/06/2023 02:01:46,ESCANER
14017,"San Marcos",12,"El Tumbador",13,1969,380,99,79,27,0,7,0,1,0,1,1,0,1,1,0,0,217,31,10,258,0,258,--,377,119,217,258,258,Algún campo sin dato,1,9ea9222c89682cfaccd35df04d880b81a8d2b977d30107440f66d33462d86ddb,26/06/2023 01:58:21,ESCANER
14018,"San Marcos",12,"El Tumbador",13,1969,380,99,93,23,1,8,3,2,0,0,4,0,0,0,0,0,233,42,2,277,0,277,--,380,103,233,277,277,Algún campo sin dato,1,bb3cf45c0816896ed49aab1fba7610790f35e9f0affb9ca16bf97ced9cc4475d,26/06/2023 02:00:05,ESCANER
14019,"San Marcos",12,"El Tumbador",13,1969,380,106,88,20,0,1,2,0,0,0,2,1,3,2,0,2,227,22,1,250,0,250,--,380,130,227,250,250,Algún campo sin dato,1,8abbb6e81062d69759a671860f4e946b9e3e2735562ce93d37a746645110fa80,26/06/2023 02:21:10,ESCANER
14020,"San Marcos",12,"El Tumbador",13,1969,380,78,63,16,2,3,1,1,3,1,2,0,3,1,0,2,176,20,3,199,0,199,--,380,181,176,199,199,Algún campo sin dato,1,ca667e735510fe393c73b14c87d9b329348842109d4b5c5fc2ba59748fa690fc,26/06/2023 01:45:58,ESCANER
14021,"San Marcos",12,"El Tumbador",13,1969,322,62,65,14,0,3,0,2,0,0,2,0,0,0,1,2,151,2,1,154,3,157,--,322,165,151,154,157,Algún campo sin dato,1,0332c6f75ab4f1b6e57dd9e847d4d60216cbb29c70bca863a09ff02ff916ded0,25/06/2023 23:28:38,ESCANER
14022,"San Marcos",12,"El Tumbador",13,1969,322,54,66,17,0,5,1,1,0,0,2,0,0,1,0,0,147,4,0,151,0,151,--,322,171,147,151,151,Algún campo sin dato,1,374383869dab577bedf650fa3fe48a15210336db9767597c30b76af2e58eaa67,26/06/2023 01:04:44,ESCANER
14023,"San Marcos",12,"El Tumbador",13,1970,380,62,79,37,1,12,3,2,7,0,4,2,1,2,0,2,214,38,3,255,0,255,--,380,125,214,255,255,Algún campo sin dato,1,5d019f66768e012497eaedcca5e607665716acadbe9539be50772d49d2f3467f,26/06/2023 00:32:14,ESCANER
14024,"San Marcos",12,"El Tumbador",13,1970,380,55,75,28,1,8,0,5,0,0,0,0,1,2,0,0,175,32,2,209,0,209,--,380,171,175,209,209,Algún campo sin dato,1,2fdf0bb780570e864881d6677ee4ebd2584060df21c54dccc79e5791caa33a35,25/06/2023 23:13:30,ESCANER
14025,"San Marcos",12,"El Tumbador",13,1970,380,52,78,14,2,7,6,0,3,1,4,1,0,0,0,2,170,21,3,194,0,194,--,380,186,170,194,194,Algún campo sin dato,1,c4c562778386ca92b13e364b371927a2a88801de4f381635010fba46e7ff0600,26/06/2023 00:24:27,ESCANER
14026,"San Marcos",12,"El Tumbador",13,1970,380,60,83,14,2,6,2,0,2,0,0,1,0,3,0,3,176,19,2,197,0,197,--,380,183,176,197,197,Algún campo sin dato,1,d4035e7b6636c6edd68fe7a3daf2933788c3ec2dad3af0f76fa79eab408feb90,26/06/2023 00:42:37,ESCANER
14027,"San Marcos",12,"El Tumbador",13,1970,321,36,69,13,1,7,2,1,3,1,1,1,0,0,0,1,136,8,2,146,1,147,--,321,174,136,146,147,Algún campo sin dato,1,36f7baf620c47d5f6d74e9890dc465453eecc68746e225ab8f2fcbe444b0c1b2,26/06/2023 00:00:57,ESCANER
14028,"San Marcos",12,"El Tumbador",13,1970,321,33,52,17,0,4,1,0,2,1,3,0,1,1,0,0,115,3,0,118,0,118,--,321,203,115,118,118,Algún campo sin dato,1,d0c519086a1c9a29b4b6e19d6c9f81aa8946aaee7a73c895b2e4ade240e3b84a,25/06/2023 23:32:30,ESCANER
14029,"San Marcos",12,"El Tumbador",13,1971,600,47,22,3,0,6,0,0,0,3,3,1,1,0,1,1,88,13,4,105,0,105,--,--,--,88,105,105,Algún campo sin dato,1,43b4e88db8eaf358134bab0b685ce128a0c3f2a3802ebdc95c214866fa354a95,26/06/2023 00:18:22,ESCANER
14030,"San Marcos",12,"El Tumbador",13,1971,600,37,18,2,1,5,1,3,1,0,1,0,1,0,1,3,74,5,1,80,0,80,--,600,520,74,80,80,Algún campo sin dato,1,f0a4eb3c78b5e806e2c4202e49df8955e897b7a9cb3015255f4bcf2f7d0b2ff0,26/06/2023 00:01:49,ESCANER
14031,"San Marcos",12,"El Tumbador",13,1971,368,18,15,6,0,2,2,0,1,0,0,0,1,0,0,1,46,3,0,49,0,49,--,--,--,46,49,49,Algún campo sin dato,1,afc3b5e284422dd9d058d905fd26a912f11c47fd2a848e3bb53100d3188d455c,25/06/2023 22:58:46,ESCANER
14032,"San Marcos",12,"El Tumbador",13,1971,368,12,7,2,0,0,1,0,3,1,1,0,1,0,0,1,29,3,0,32,0,32,--,368,336,29,32,32,Algún campo sin dato,1,e797cf096421e7b8c48963132ccfe3997f770957457e24f549309c905be9a205,25/06/2023 21:48:49,ESCANER
