TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
98,97,98.9795,96,97.9591,1,34446,18528,53.7885

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,ELEFANTE,BIEN,AZUL,UNE,WINAQ,PODEMOS,VICTORIA,VIVA,VAMOS,VOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13555,"San Marcos",12,"Concepción Tutuapa",6,1875,380,86,3,11,82,2,1,0,0,2,3,0,0,0,190,17,12,219,0,219,--,380,161,190,219,219,Algún campo sin dato,1,d36dcb36bd783d8af6244bf0703763ac645e937f3395f9b0a75f93c64e3adfce,25/06/2023 22:01:08,ESCANER
13556,"San Marcos",12,"Concepción Tutuapa",6,1875,380,94,2,13,85,2,2,0,0,3,2,1,0,0,204,19,7,230,0,230,--,380,150,204,230,230,Algún campo sin dato,1,0539ddd13943136588d3869c1739609af333bab98e6cb98b29fd20ac025f94ee,25/06/2023 22:29:31,ESCANER
13557,"San Marcos",12,"Concepción Tutuapa",6,1875,380,89,1,8,107,0,3,2,0,3,2,2,0,1,118,22,8,248,0,248,--,380,129,218,248,248,Sumas Asentadas sin cuadrar,1,9de0da8ffda6b5303218d0f1594dd51279fd3fc9cb0368d2759ac741ec615500,26/06/2023 00:34:20,ESCANER
13558,"San Marcos",12,"Concepción Tutuapa",6,1875,380,85,3,3,116,1,3,0,0,5,2,0,1,0,219,32,11,262,0,262,--,380,118,219,262,262,Algún campo sin dato,1,bb1d746e889d62640277ab0936595b9905d2f20a63ef39aabc1a11dbae05f940,26/06/2023 00:14:06,ESCANER
13559,"San Marcos",12,"Concepción Tutuapa",6,1875,380,85,2,6,122,0,2,0,0,11,2,1,1,1,233,19,15,267,0,267,--,380,113,233,267,267,Algún campo sin dato,1,880441397bf047aeca8aca7f3ee33584554a9599a3f62adc8737ff643cf28b1b,25/06/2023 22:18:03,ESCANER
13560,"San Marcos",12,"Concepción Tutuapa",6,1876,380,71,0,4,106,0,0,3,0,3,0,0,1,0,188,8,4,200,0,200,--,380,180,188,200,200,Algún campo sin dato,1,0b39582b86ad24388d46a1179e5cddb14b6a35726ec71953326e3694b05e8d3a,26/06/2023 00:33:44,ESCANER
13561,"San Marcos",12,"Concepción Tutuapa",6,1876,380,82,1,6,73,0,4,1,2,5,1,0,0,0,175,11,10,196,0,196,--,350,154,175,196,196,Algún campo sin dato,1,0141bb56548af63e9cc1d4a4879eb4d609a469a9a90643a51f86f5e1e9fd7c15,26/06/2023 01:14:07,ESCANER
13562,"San Marcos",12,"Concepción Tutuapa",6,1876,380,76,1,5,83,0,3,1,0,3,1,0,0,0,173,9,4,186,0,186,--,380,194,173,186,186,Algún campo sin dato,1,15e435fb49097c9970bd723dce5f0e622434dba89d7f3cb87f98935e644ed439,26/06/2023 00:44:51,ESCANER
13563,"San Marcos",12,"Concepción Tutuapa",6,1876,368,65,1,4,107,0,3,0,0,5,1,0,0,0,186,8,3,197,0,197,--,368,171,186,197,197,Algún campo sin dato,1,1c2311368523c54c01a6508df6f0ae7f8912c1e30241bf9b0ad41fbd82de8921,25/06/2023 22:50:18,ESCANER
13564,"San Marcos",12,"Concepción Tutuapa",6,1876,368,49,0,4,88,0,0,1,0,4,1,0,0,0,147,5,1,153,0,153,0,368,215,147,153,153,,1,13cbe988aeef955d88ec947272efdbdd346bc8453c9c5a1405056cee2d891475,25/06/2023 21:07:49,ESCANER
13565,"San Marcos",12,"Concepción Tutuapa",6,1877,380,77,6,17,66,3,13,0,2,1,2,1,1,0,189,21,8,218,0,218,--,380,162,189,218,218,Algún campo sin dato,1,e9e6e0b7b14363dfa86be446c048e1b879ed0df87baac3ded583fbdf57f6d31e,25/06/2023 23:28:38,ESCANER
13566,"San Marcos",12,"Concepción Tutuapa",6,1877,380,84,8,22,63,3,10,1,0,0,0,3,0,0,194,31,11,236,0,236,--,380,144,194,236,236,Algún campo sin dato,1,a52cf22bca3c77f5f3d4b70732c90bc911903caeae42bc51c3317d66dc4541fb,25/06/2023 22:43:30,ESCANER
13567,"San Marcos",12,"Concepción Tutuapa",6,1877,380,79,5,21,97,1,6,0,0,2,2,3,0,0,216,26,6,248,0,248,--,380,132,216,248,248,Algún campo sin dato,1,f4d223d3eec6cfa5062928a7de4f26973138141442d2d01dd066f139438d91b3,25/06/2023 23:31:57,ESCANER
13568,"San Marcos",12,"Concepción Tutuapa",6,1877,380,113,0,17,52,5,23,3,0,2,9,1,1,0,226,17,8,251,0,251,--,380,129,226,251,251,Algún campo sin dato,1,24cd6df3f900a730ff481ca5c783e519c09b4f894e3f0f967f5b4005489dd56b,25/06/2023 23:29:12,ESCANER
