TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
65,65,100.0000,65,100.0000,0,24299,13892,57.1710

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,SEMILLA,BIEN,VIVA,UNE,VAMOS,VOS,VICTORIA,CAMBIO,VALOR,PODEMOS,PPN,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9961,"Totonicapán",8,"San Cristóbal Totonicapán",2,1278,380,21,3,5,11,13,9,13,4,1,0,13,13,36,4,146,24,4,174,0,174,--,380,206,146,174,174,Algún campo sin dato,1,4637a020c0cd57510ff607d21646839e8dcb42f0bfca8e748f9f8c9fb431f6eb,25/06/2023 23:29:05,ESCANER
9962,"Totonicapán",8,"San Cristóbal Totonicapán",2,1278,380,17,3,4,16,15,15,26,7,3,0,23,15,34,3,181,21,14,216,0,216,0,380,163,181,216,216,,1,3917a3d8394d2bdc36b76032afb9f3bab4d798602664a4dc7a1fd6e38415393a,26/06/2023 03:05:54,ESCANER
9963,"Totonicapán",8,"San Cristóbal Totonicapán",2,1278,380,22,1,7,20,9,26,29,3,1,0,9,20,42,0,188,29,5,222,2,225,0,380,155,189,223,225,Sumas Asentadas sin cuadrar,1,ee5dc6e594980921beebd3172de24c62e7bc029415f83db9f8709e0da3a1eb73,26/06/2023 03:15:29,ESCANER
9964,"Totonicapán",8,"San Cristóbal Totonicapán",2,1278,380,21,1,8,18,10,15,20,5,1,0,21,12,47,6,185,19,6,210,0,210,0,380,170,185,210,210,,1,4260426cf62e44944941da19e50624cc54edc13c6ad1268c601c44a03d9440f3,25/06/2023 23:01:08,ESCANER
9965,"Totonicapán",8,"San Cristóbal Totonicapán",2,1278,380,27,3,4,20,13,21,21,3,0,0,17,23,19,2,173,27,5,205,0,205,0,380,175,173,205,205,,1,d41cea357312d0754abb307f49e9fc07937707bde0826ff5aac032ea0f988245,26/06/2023 02:17:57,ESCANER
9966,"Totonicapán",8,"San Cristóbal Totonicapán",2,1279,380,5,2,2,12,7,17,18,3,2,0,18,20,33,6,145,39,2,186,0,186,0,377,191,145,186,186,,1,3ebdea7ba3ac8fc035870becb3a161dacf7cd9f0376d7063a861f40df172ff8d,26/06/2023 02:13:09,ESCANER
9967,"Totonicapán",8,"San Cristóbal Totonicapán",2,1279,380,11,4,3,13,10,16,10,2,2,0,36,51,22,2,182,25,6,213,0,213,0,376,163,182,213,213,,1,f6f9849f4f484543e902db9421793b21e5bedb9a4ab43608a2a71d09b742fab9,26/06/2023 03:10:06,ESCANER
9968,"Totonicapán",8,"San Cristóbal Totonicapán",2,1279,380,19,1,5,24,14,35,17,4,2,0,15,21,44,2,203,32,7,242,0,242,0,380,135,203,242,242,,1,6f56dbb9f8f236d767214126dacca33061bfc0946bd1d494dc1c69954eea8c48,26/06/2023 03:14:57,ESCANER
9969,"Totonicapán",8,"San Cristóbal Totonicapán",2,1280,380,13,1,2,21,12,18,17,6,0,0,18,12,35,4,159,16,0,175,0,175,0,380,205,159,175,175,,1,386f464a90b0266f7434bad67b9284848f80057a86c97481c985dab0d03bbcb7,26/06/2023 03:05:33,ESCANER
9970,"Totonicapán",8,"San Cristóbal Totonicapán",2,1280,380,28,1,7,14,10,22,25,4,2,0,21,15,26,5,180,13,1,194,0,194,--,380,186,180,194,194,Algún campo sin dato,1,46d763fcfcc74edf7ac8503fe90688addf04bc4f64ebecca3f38dee23d982e25,25/06/2023 23:44:38,ESCANER
9971,"Totonicapán",8,"San Cristóbal Totonicapán",2,1280,380,14,1,3,23,10,13,18,4,2,0,16,18,29,2,153,9,2,164,0,164,0,380,216,153,164,164,,1,3baa04d459fe32fc272e91ca30fcb3f9b55314f740f7badf75a5cd07df47d726,25/06/2023 23:22:49,ESCANER
9972,"Totonicapán",8,"San Cristóbal Totonicapán",2,1281,380,18,0,4,10,13,19,23,6,0,0,12,9,22,4,140,5,1,146,0,146,0,380,234,140,146,146,,1,d396493162970bb22187bb8d7392858929e8231acc8908f306a756e487cc5d26,25/06/2023 22:47:04,ESCANER
9973,"Totonicapán",8,"San Cristóbal Totonicapán",2,1281,380,23,0,2,17,15,13,20,3,1,1,11,26,36,2,170,3,1,174,0,174,0,380,206,170,174,174,,1,fa0aa0524d566207cdf43bf75f288f5f657f572b504722bafb56ec19f6b32a29,26/06/2023 02:30:10,ESCANER
9974,"Totonicapán",8,"San Cristóbal Totonicapán",2,1281,247,17,0,2,7,3,15,8,6,0,0,7,12,13,1,91,3,0,94,0,94,0,247,153,91,94,94,,1,b210fca1949ab8f2eaadb43a03e4e1ea00300872b2f963b859ccf8a1e4df367e,25/06/2023 22:35:43,ESCANER
