TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
76,76,100.0000,76,100.0000,0,29355,12335,42.0200

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VAMOS,UNE,TODOS,PODEMOS,CABAL,AZUL,VIVA,VALOR,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15461,"Huehuetenango",13,"Soloma",8,2248,400,1,12,11,8,45,50,1,13,13,1,155,1,0,156,2,158,--,400,242,155,156,158,Algún campo sin dato,1,b771a161511ebbef3c8463f79cf461242ac7ef2e7080534cfc1f2b3e7377b80d,25/06/2023 23:36:48,ESCANER
15462,"Huehuetenango",13,"Soloma",8,2248,340,2,8,16,7,40,35,0,11,7,1,127,4,2,133,0,133,--,340,207,127,133,133,Algún campo sin dato,1,4c48ff84eb3e2a56e9a9f3617e9ef9619f0bb298ba254442dc95861e7ff8d2fd,26/06/2023 01:22:47,ESCANER
15463,"Huehuetenango",13,"Soloma",8,2248,340,0,7,13,12,33,22,0,11,6,0,104,3,2,109,0,109,--,340,231,104,109,109,Algún campo sin dato,1,fa65329d757e03a1ec50523212c3d3cda405d9f6764ceaed02748c9377b711e6,25/06/2023 22:40:57,ESCANER
15464,"Huehuetenango",13,"Soloma",8,2249,380,0,4,25,11,93,27,9,9,18,0,196,2,13,211,0,211,--,380,169,196,211,211,Algún campo sin dato,1,c909a323a56ae84eb31d5fa77fa707b1ef0bd46d9f0eebc364538ad5eefb8d7c,26/06/2023 02:09:59,ESCANER
15465,"Huehuetenango",13,"Soloma",8,2249,248,1,0,17,12,39,13,3,8,12,0,105,5,6,116,0,116,--,248,132,105,116,116,Algún campo sin dato,1,2fc374d05d86c92326bbe7b94a5c5af2fe3fc57b36cbdf14e73344f1642affdc,25/06/2023 22:25:11,ESCANER
15466,"Huehuetenango",13,"Soloma",8,2249,248,0,4,14,6,58,9,4,4,11,0,110,2,5,117,0,117,--,248,131,110,117,117,Algún campo sin dato,1,827d4efa1a86ac461c97caa831cf6609c322e65df7971001ec3a77d53b6100d9,26/06/2023 00:18:22,ESCANER
15467,"Huehuetenango",13,"Soloma",8,2250,380,0,17,9,9,61,46,0,2,12,0,156,5,9,170,0,170,--,380,210,156,170,170,Algún campo sin dato,1,239fa80f790ae3bcc915c04e147f2d9a7b20047db533096d7132b939679776f0,26/06/2023 01:07:18,ESCANER
15468,"Huehuetenango",13,"Soloma",8,2250,380,1,12,13,4,71,54,1,3,3,0,162,8,7,177,0,177,--,380,203,162,177,177,Algún campo sin dato,1,caac06ab8806a416a7f075ef0cef8ec5df0badd3fd5f22c5f9dffc30667d41e2,26/06/2023 01:31:59,ESCANER
15469,"Huehuetenango",13,"Soloma",8,2250,380,0,26,8,3,41,60,2,3,9,2,154,4,3,161,7,168,1,377,216,154,161,168,,1,08ce2196a4d6aa7d4f086643728a395b114790185ca82517c61325c23c356b2d,26/06/2023 01:43:07,ESCANER
15470,"Huehuetenango",13,"Soloma",8,2250,380,2,18,10,9,60,39,2,4,19,0,163,5,0,163,0,168,--,--,--,163,168,168,Sumas Asentadas sin cuadrar,1,4d485cfd7e9c3e91cb46a3145e9cddd5bdaf0410a8cdab0c0cfaa556b6644907,26/06/2023 03:28:07,ESCANER
15471,"Huehuetenango",13,"Soloma",8,2250,317,0,22,3,4,40,30,0,2,13,0,114,0,3,117,0,117,--,317,200,114,117,117,Algún campo sin dato,1,5cd970f992928c80dc0ae439630cb92f6c9c75543c1d87a889d8a5ed4b353993,26/06/2023 00:08:34,ESCANER
15472,"Huehuetenango",13,"Soloma",8,2250,317,0,15,3,6,45,39,0,3,6,0,117,7,2,126,188,314,--,314,188,117,126,314,Algún campo sin dato,1,c55bfd1644dcf27d23dd92f6ee6359ac5c606960a4d096d4fe784db66e658749,26/06/2023 00:58:28,ESCANER
15473,"Huehuetenango",13,"Soloma",8,2251,380,11,22,6,10,35,16,1,2,11,0,114,6,5,125,0,125,2,380,253,114,125,125,,1,37ffe4ad41172d1b0f705e05f13aadc55213409391ddcea929e4c3775884adc2,26/06/2023 00:32:21,ESCANER
15474,"Huehuetenango",13,"Soloma",8,2251,380,5,17,5,20,45,18,4,1,6,1,122,6,4,132,0,132,--,369,238,122,132,132,Algún campo sin dato,1,d757aeed3498283e13ca647230e9085c14ea51cd9b223cf14cade3e8aaa6351c,26/06/2023 00:44:51,ESCANER
15475,"Huehuetenango",13,"Soloma",8,2251,380,9,54,6,4,45,29,2,1,6,1,157,5,14,176,0,176,--,380,204,157,176,176,Algún campo sin dato,1,84c16bdaa5dbb48b0eb93ef4adeed87080ac81b771be49a228959d239a33d899,26/06/2023 00:48:42,ESCANER
15476,"Huehuetenango",13,"Soloma",8,2251,380,4,24,2,10,52,15,2,3,6,0,118,4,6,128,0,128,--,380,252,118,128,128,Algún campo sin dato,1,df86803c9ce2ed4d58f748ba3127bcbbe3224c8635dd59516951ff921be81726,26/06/2023 00:55:06,ESCANER
15477,"Huehuetenango",13,"Soloma",8,2251,380,7,26,3,10,36,18,0,3,3,0,106,2,1,109,0,109,--,380,271,106,109,109,Algún campo sin dato,1,5c258faf03a9ff120f7d921e8ba15e9ed2977f8045d44022e02e53c6576fac8d,25/06/2023 23:48:12,ESCANER
15478,"Huehuetenango",13,"Soloma",8,2251,292,2,18,4,6,33,14,0,0,8,0,85,0,0,85,0,85,--,292,207,85,85,85,Algún campo sin dato,1,215b1b94d85cf6b627ba676d13eafc23aee00fa94cc1cb26b9e088861c2dc250,26/06/2023 00:04:37,ESCANER
15479,"Huehuetenango",13,"Soloma",8,2251,291,2,16,3,11,23,11,3,0,5,0,74,0,0,74,0,74,--,288,214,74,74,74,Algún campo sin dato,1,188ba0311bb9336617520a22ede4ca590c004dedc9b4c6659807fb65123f63d7,26/06/2023 00:19:24,ESCANER
15480,"Huehuetenango",13,"Soloma",8,2252,380,3,16,18,4,34,60,5,2,3,0,145,11,6,162,0,162,--,380,218,145,162,162,Algún campo sin dato,1,59048c1c5cb071896921d327728da5f972e59f3c20bdc2d2d84d2c7a8af8903a,26/06/2023 00:54:43,ESCANER
15481,"Huehuetenango",13,"Soloma",8,2252,380,2,20,18,6,23,73,5,1,6,2,156,5,5,166,--,--,--,380,214,156,166,166,Algún campo sin dato,1,ca0e24e989b170f89522e38fa8c052e878534ea35de58d40c799bd75e645ee51,26/06/2023 00:36:05,ESCANER
15482,"Huehuetenango",13,"Soloma",8,2252,380,1,72,13,4,38,16,3,2,3,1,153,8,5,166,0,166,--,380,214,153,166,166,Algún campo sin dato,1,552c70bf9b461489dae858fd6df58d8d9a876f2b4a971288a1701d5b16acac62,26/06/2023 01:48:03,ESCANER
15483,"Huehuetenango",13,"Soloma",8,2252,380,3,51,21,2,32,38,1,3,8,0,159,8,4,171,1,172,--,380,208,159,171,172,Algún campo sin dato,1,5bfe5b7384bf78a1135796cf635d7f5f22e32c816fbc3c9fbb03ad129d0f697f,26/06/2023 01:33:06,ESCANER
15484,"Huehuetenango",13,"Soloma",8,2252,380,1,47,13,3,32,26,3,2,8,0,135,6,11,152,0,152,--,380,228,135,152,152,Algún campo sin dato,1,035149c3bc8853ab2cf39e41b0793f8e18cd309e4711609297836aea2b123a5c,26/06/2023 00:10:17,ESCANER
15485,"Huehuetenango",13,"Soloma",8,2252,380,1,28,12,3,26,38,2,0,4,0,114,4,2,120,0,120,--,380,260,114,120,120,Algún campo sin dato,1,8b8d8956e9e98c67df4d281fda03f73cd7dceb67341aad7c100f82c062576664,26/06/2023 00:13:36,ESCANER
15486,"Huehuetenango",13,"Soloma",8,2252,380,0,36,15,1,19,44,5,1,2,0,123,2,1,126,0,126,--,380,254,123,126,126,Algún campo sin dato,1,f244d6608bb3e87344043d16c808852524957ead82fa73298143f1aaab7f0460,26/06/2023 01:01:21,ESCANER
15487,"Huehuetenango",13,"Soloma",8,2252,380,0,35,18,2,31,43,4,1,3,0,137,1,1,139,0,139,--,377,238,137,139,139,Algún campo sin dato,1,d18a728e0df177cf41b047342477d2dd23d8f0694e29212cc7b0993694f86ef3,26/06/2023 01:35:52,ESCANER
15488,"Huehuetenango",13,"Soloma",8,2252,308,0,33,10,1,25,34,1,1,6,0,111,0,2,113,0,113,--,308,195,111,113,113,Algún campo sin dato,1,eeb0ae5be45c47e8a6cc984ed9047566720f5b6eb7b33345c549bbf63e401e31,26/06/2023 01:35:00,ESCANER
15489,"Huehuetenango",13,"Soloma",8,2252,307,1,26,7,1,19,27,2,3,4,--,90,1,6,97,0,97,--,307,210,90,97,97,Algún campo sin dato,1,2bb0334b117bb0475bd18403a43b3a3bbd74d8751fc4f78b0d840ecc9e8154a9,26/06/2023 01:11:30,ESCANER
15490,"Huehuetenango",13,"Soloma",8,2253,554,0,10,5,7,13,12,1,0,2,0,50,1,2,53,0,53,--,551,498,50,53,53,Algún campo sin dato,1,c46bd874e833bbc746d29c1bb7ad80faf6ecfe7a3390f51ea2f0ec0247af7153,25/06/2023 22:40:22,ESCANER
15491,"Huehuetenango",13,"Soloma",8,2253,553,0,4,0,2,7,6,1,1,2,0,23,3,2,28,0,28,--,550,522,23,28,28,Algún campo sin dato,1,01c5546e0e60654f3678c24e0fd24fd3f6a1a436acd23e4cc002f7e022482a55,25/06/2023 21:24:32,ESCANER
