TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25563,16477,64.4564

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MLP,U R N G - MAIZ,PODEMOS,PHG,TODOS,AZUL,ELEFANTE,BIEN,VALOR,CABAL,WINAQ,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15543,"Huehuetenango",13,"Ixtahuacán",9,2261,380,14,17,1,3,48,6,16,1,0,47,1,5,0,4,7,170,18,15,203,0,203,--,380,177,170,203,203,Algún campo sin dato,1,ee8657d8b8a2acbc98206c1038bc81ceed493aca768eb68e68d992ef2ed456d6,25/06/2023 23:29:25,ESCANER
15544,"Huehuetenango",13,"Ixtahuacán",9,2261,286,14,20,0,0,61,1,16,3,0,32,1,3,2,9,1,163,13,3,179,0,179,--,286,104,163,179,179,Algún campo sin dato,1,6ef046dff75947eee6d65e89e3419dffeca8499eefd21d1a77de3de8997cbbc2,26/06/2023 01:56:14,ESCANER
15545,"Huehuetenango",13,"Ixtahuacán",9,2261,285,16,8,2,1,36,3,11,0,1,37,2,2,2,8,2,131,13,7,151,0,151,--,285,134,131,151,151,Algún campo sin dato,1,b3db9390d1b502310ad93a8a05770795922112b202910076cc344ae9adb29eff,26/06/2023 01:36:43,ESCANER
15546,"Huehuetenango",13,"Ixtahuacán",9,2262,380,91,17,0,2,32,13,3,2,0,35,1,31,3,0,3,233,26,14,273,0,273,--,380,107,233,273,273,Algún campo sin dato,1,7836e8790acd7155b53df7418e7e37467c901ca445409d536df98bffab9d2a07,26/06/2023 04:33:04,ESCANER
15547,"Huehuetenango",13,"Ixtahuacán",9,2262,380,97,15,1,3,28,5,4,2,0,35,1,44,10,0,2,247,21,8,276,0,276,--,380,104,247,276,276,Algún campo sin dato,1,aeba7e3a9ad611f4b9753d6d61ab12035fa4539fa28b757f881db26af97b8a82,26/06/2023 00:03:38,ESCANER
15548,"Huehuetenango",13,"Ixtahuacán",9,2262,257,47,5,1,0,24,5,1,1,0,23,0,27,1,0,1,136,15,5,156,0,156,--,254,98,136,156,156,Algún campo sin dato,1,fafa4fdc9f60fd848b1571a44e4998880b08580e565e2f688929364305f70169,25/06/2023 22:41:03,ESCANER
15549,"Huehuetenango",13,"Ixtahuacán",9,2262,257,59,13,1,0,27,5,1,0,0,18,0,21,2,0,1,148,10,2,160,0,160,--,257,97,148,160,160,Algún campo sin dato,1,ed112efc727b21e18ba3194ff9481a2d242784e85ee241409596a88b20d5d595,26/06/2023 00:11:11,ESCANER
15550,"Huehuetenango",13,"Ixtahuacán",9,2263,380,49,15,4,2,55,3,14,2,1,64,2,38,0,2,9,260,20,12,292,0,292,--,380,88,260,292,292,Algún campo sin dato,1,73836777580389b09ae9c65ead4c340fc453b8850ff6b7a461f2af2cc32831f6,25/06/2023 23:44:05,ESCANER
15551,"Huehuetenango",13,"Ixtahuacán",9,2263,380,47,18,1,1,98,2,19,4,4,31,2,24,0,1,4,256,21,13,290,0,290,--,381,91,256,290,290,Algún campo sin dato,1,2b7425516278963d4506bdebb6714c99a70a08a9ded94166b0be07e5618350fa,26/06/2023 04:31:14,ESCANER
15552,"Huehuetenango",13,"Ixtahuacán",9,2263,380,47,15,7,1,58,4,16,1,9,48,1,26,1,2,3,239,19,9,267,0,267,--,380,113,239,267,267,Algún campo sin dato,1,40b4932df07b5220ac6d45ee4900af3e9319e77b9b21f67b6d06e6f231acb197,25/06/2023 22:50:40,ESCANER
