TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,68,98.5507,1,24355,16541,67.9162

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CREO,MLP,UNE,BIEN,AZUL,TODOS,WINAQ,VIVA,VAMOS,PODEMOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13471,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,380,101,0,0,81,9,38,4,1,3,0,0,237,15,3,255,0,255,--,380,125,237,255,255,Algún campo sin dato,1,97e6ea9a36b7be7a34dbfb1172d1a972d77230380abff58fbd3c274ceb042328,26/06/2023 00:20:19,ESCANER
13472,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,380,108,0,1,64,4,24,3,5,2,1,0,212,11,8,231,1,232,--,380,148,212,231,232,Algún campo sin dato,1,851852d209ba79a13f88da3cb423ef754e296234b1cfc4f3f6e66abd12fa1a60,26/06/2023 01:26:38,ESCANER
13473,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,269,90,0,1,57,3,12,0,0,0,0,0,163,7,1,172,1,172,0,--,--,163,171,172,Sumas Asentadas sin cuadrar,1,e168778c6134583f8f934949b29b636bb189569d2f7bd2bb8446a7c2ff03f41d,26/06/2023 04:34:14,ESCANER
13474,"San Marcos",12,"San Miguel Ixtahuacán",5,1859,269,73,0,0,35,2,18,5,0,0,0,0,133,5,1,139,0,139,--,269,130,133,139,139,Algún campo sin dato,1,d912f3d92580182c52eba0e5ae256fd2bb8826667cd646e0af741b9601060a72,25/06/2023 22:32:02,ESCANER
13475,"San Marcos",12,"San Miguel Ixtahuacán",5,1860,380,134,0,3,65,7,11,2,1,2,0,0,225,44,15,284,0,284,--,380,96,225,284,284,Algún campo sin dato,1,d83f93556419f601fbc52c3ead5e91d883afdc2cea03b8e50464eae9b663d622,26/06/2023 00:53:46,ESCANER
13476,"San Marcos",12,"San Miguel Ixtahuacán",5,1860,380,128,0,8,86,6,16,2,3,2,0,0,251,39,10,300,0,300,--,380,80,251,300,300,Algún campo sin dato,1,98dee7863cf46fbe232d47208d3e35338023e4257825f0b184c1ac28e979f595,26/06/2023 01:04:16,ESCANER
13477,"San Marcos",12,"San Miguel Ixtahuacán",5,1860,380,116,0,5,81,5,16,1,0,1,0,0,225,25,6,256,0,256,--,380,124,225,256,256,Algún campo sin dato,1,36fde668c851954e12b944934521ad4be1882bafd70c7984bff9bebe0e5f3dfd,25/06/2023 22:52:11,ESCANER
13478,"San Marcos",12,"San Miguel Ixtahuacán",5,1860,380,122,0,7,74,1,12,0,1,0,0,0,217,28,5,250,0,250,--,380,130,217,250,250,Algún campo sin dato,1,33da9fb09c8469865582fec8125631ac08969b666e6071ab8f4b85b735601074,26/06/2023 00:15:15,ESCANER
13479,"San Marcos",12,"San Miguel Ixtahuacán",5,1860,380,105,0,1,87,1,25,0,1,2,0,0,222,18,5,245,0,245,--,380,135,222,245,245,Algún campo sin dato,1,79bf9083bf253706652f458b60e0ffc7343791b688f6868b975fa60827d5eac2,26/06/2023 01:15:32,ESCANER
13480,"San Marcos",12,"San Miguel Ixtahuacán",5,1860,380,102,0,2,86,5,20,0,1,5,0,1,222,17,8,247,0,247,--,380,133,222,247,247,Algún campo sin dato,1,832dc84a619c99de47b667c54ccc31dd5cb5cee0992377d3360ecb5b74465dbe,26/06/2023 00:22:13,ESCANER
13481,"San Marcos",12,"San Miguel Ixtahuacán",5,1860,380,116,0,1,65,0,15,0,1,1,0,0,199,9,2,210,0,210,--,380,170,199,210,210,Algún campo sin dato,1,0c5a48df6c4090b976e0251fb31851dd0116d70e3c4808689f865193e6d5415a,26/06/2023 00:35:23,ESCANER
13482,"San Marcos",12,"San Miguel Ixtahuacán",5,1861,211,80,0,2,39,1,6,0,2,0,0,0,130,5,2,137,0,137,--,211,74,130,137,137,Algún campo sin dato,1,86025f37ed7a8f93fcd73f3f0e12bf4fa3709457c3355dea15d9e19f5323f386,26/06/2023 00:03:57,ESCANER
13483,"San Marcos",12,"San Miguel Ixtahuacán",5,1861,211,67,0,0,33,0,8,0,1,0,0,0,109,1,2,112,1,113,--,211,98,109,112,113,Algún campo sin dato,1,41edb653a78eb36b4641d8f5d089d530f5ba7cc14c4fd684d911ac10d0375eba,26/06/2023 00:09:43,ESCANER
