TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
126,126,100.0000,126,100.0000,0,45765,21289,46.5180

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,U R N G - MAIZ,AZUL,VAMOS,TODOS,CABAL,VALOR,UNIONISTA,VIVA,CAMBIO,UR,PPN,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15019,"Huehuetenango",13,"Chiantla",2,2153,380,24,8,9,90,5,18,6,1,6,0,0,1,0,168,23,13,204,0,204,--,380,176,168,204,204,Algún campo sin dato,1,472f72b76f2b0a92111c5c30908092c739e9806aeb52d6df63bc189afab6d400,26/06/2023 01:58:27,ESCANER
15020,"Huehuetenango",13,"Chiantla",2,2153,380,23,2,2,100,7,11,4,0,6,0,1,0,0,156,10,6,172,0,172,--,380,208,156,172,172,Algún campo sin dato,1,5e2ef9ec2beadbb9ce416e5eae9a0df0d851d31467b8d00003e0dab1940f3b66,25/06/2023 23:51:40,ESCANER
15021,"Huehuetenango",13,"Chiantla",2,2154,332,20,2,0,99,5,15,2,0,3,0,0,2,0,148,8,2,158,0,158,--,332,174,148,158,158,Algún campo sin dato,1,1d6bc1e853fb3eeaf0fc71bc907c6957d5fc9c3d9be9cc325ed3b33b1202d444,25/06/2023 23:19:10,ESCANER
15022,"Huehuetenango",13,"Chiantla",2,2154,332,21,0,0,87,4,12,3,1,0,0,0,1,0,129,7,4,140,0,140,--,332,192,129,140,140,Algún campo sin dato,1,48a1d064de5249a8649f3c0d208c1c426f3a8efe445a51c273c850b978aea9ca,26/06/2023 00:31:14,ESCANER
15023,"Huehuetenango",13,"Chiantla",2,2155,380,64,3,2,36,8,10,31,2,2,1,0,0,1,160,19,7,186,0,186,--,380,194,160,186,186,Algún campo sin dato,1,f7e8b56cd035b5956721cceef52545d2ae2ab922c5de75dc9a32728f09fe1f59,26/06/2023 01:07:02,ESCANER
15024,"Huehuetenango",13,"Chiantla",2,2155,380,80,5,1,31,2,10,36,1,5,0,1,1,0,173,34,8,215,0,215,--,379,164,173,215,215,Algún campo sin dato,1,8e5177c8210e8aab1cea522b2a3c8d815f60e67cdad73b72d33cb5580675b683,26/06/2023 01:19:41,ESCANER
15025,"Huehuetenango",13,"Chiantla",2,2155,380,70,4,9,44,2,5,28,0,3,0,1,1,0,167,24,6,197,0,197,--,380,183,167,197,197,Algún campo sin dato,1,fcc3e819ca8afaafc738b2834674a6c474fee7c4bbbe4ba8aeca79826076a190,26/06/2023 01:24:25,ESCANER
15026,"Huehuetenango",13,"Chiantla",2,2155,380,40,2,3,26,1,7,30,0,5,1,1,0,0,116,18,13,147,0,147,--,380,233,116,147,147,Algún campo sin dato,1,363060730dfcfeeb7cd0378d7fac8190d04f899e8da71c450bb264418ff4f599,26/06/2023 00:07:15,ESCANER
15027,"Huehuetenango",13,"Chiantla",2,2155,199,16,0,0,19,4,5,15,0,2,0,0,0,0,61,5,0,66,0,66,--,199,133,61,66,66,Algún campo sin dato,1,9be8a7d1dcb0ff4e43ea81191c797023c4e308149a2a606abc2d4c1f2b04fef8,25/06/2023 22:35:40,ESCANER
15028,"Huehuetenango",13,"Chiantla",2,2155,198,23,2,0,13,0,4,18,0,2,0,0,0,0,62,11,2,75,0,75,--,198,123,62,75,75,Algún campo sin dato,1,81747de3c86299e21b347a92bc311b87f3b643ccdb6b3728c23b0cb45372132c,26/06/2023 00:26:29,ESCANER
